Core_ID,Family,Genus,Binomial_Species,Latitude,Longitude,Elevation,Year,Month,Day,References,Image
507198,Ranunculaceae,Anemone,Anemone canadensis,39.96,-105.53,2644,1965,7,11,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507198,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144695_lg.jpg
507199,Ranunculaceae,Anemone,Anemone canadensis,39.64,-105.45,2545,1972,7,5,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507199,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144707_lg.jpg
507203,Ranunculaceae,Anemone,Anemone canadensis,39.54,-105.26,2407,1977,6,21,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507203,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144712_lg.jpg
507207,Ranunculaceae,Anemone,Anemone canadensis,40.74,-105.41,2207,1971,7,2,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507207,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144701_lg.jpg
507208,Ranunculaceae,Anemone,Anemone canadensis,40.57,-105.4,2275,1985,7,19,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507208,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144710_lg.jpg
507209,Ranunculaceae,Anemone,Anemone canadensis,40.56,-105.12,1563,1972,6,24,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507209,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144704_lg.jpg
507211,Ranunculaceae,Anemone,Anemone canadensis,40.57,-105.08,1530,1899,6,12,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507211,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144702_lg.jpg
507212,Ranunculaceae,Anemone,Anemone canadensis,40.57,-105.09,1538,1896,6,16,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507212,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144694_lg.jpg
507213,Ranunculaceae,Anemone,Anemone canadensis,40.57,-105.09,1538,1895,6,13,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507213,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144698_lg.jpg
507214,Ranunculaceae,Anemone,Anemone canadensis,40.56,-105.02,1490,1895,8,9,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507214,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144693_lg.jpg
