Core_ID,Family,Genus,Binomial_Species,Latitude,Longitude,Elevation,Year,Month,Day,References,Image
507309,Ranunculaceae,Aquilegia,Aquilegia barnebyi,39.55,-107.31,1981,1945,6,20,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507309,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144824_lg.jpg
507310,Ranunculaceae,Aquilegia,Aquilegia barnebyi,39.68,-107.96,2505,1982,7,8,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507310,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144837_lg.jpg
507311,Ranunculaceae,Aquilegia,Aquilegia barnebyi,39.57,-107.2,2239,1947,6,2,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507311,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144822_lg.jpg
507312,Ranunculaceae,Aquilegia,Aquilegia barnebyi,39.56,-107.25,1888,1977,5,26,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507312,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144820_lg.jpg
507314,Ranunculaceae,Aquilegia,Aquilegia barnebyi,39.86,-107.77,2358,1981,6,19,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507314,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144825_lg.jpg
507315,Ranunculaceae,Aquilegia,Aquilegia barnebyi,40.02,-108.13,2062,1982,6,18,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507315,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144836_lg.jpg
507318,Ranunculaceae,Aquilegia,Aquilegia barnebyi,39.83,-108.02,2264,1982,7,5,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507318,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144834_lg.jpg
507320,Ranunculaceae,Aquilegia,Aquilegia barnebyi,39.8,-108,2238,1982,7,2,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507320,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144838_lg.jpg
507321,Ranunculaceae,Aquilegia,Aquilegia barnebyi,39.99,-108.11,1999,1982,6,18,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507321,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144835_lg.jpg
507323,Ranunculaceae,Aquilegia,Aquilegia barnebyi,39.81,-107.98,2176,1978,7,2,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507323,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144830_lg.jpg
507324,Ranunculaceae,Aquilegia,Aquilegia barnebyi,39.8,-108.02,2247,1982,7,2,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507324,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144829_lg.jpg
507327,Ranunculaceae,Aquilegia,Aquilegia barnebyi,39.73,-107.98,2255,1979,7,2,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507327,https://swbiodiversity.org//imglib/seinet/soro/CS/0010/102332_lg.jpg
507328,Ranunculaceae,Aquilegia,Aquilegia barnebyi,39.72,-107.98,2405,1978,7,2,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507328,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144832_lg.jpg
507329,Ranunculaceae,Aquilegia,Aquilegia barnebyi,39.99,-108.11,1999,1982,6,26,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507329,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144828_lg.jpg
507437,Ranunculaceae,Aquilegia,Aquilegia barnebyi,39.6,-107.16,2009,1983,6,28,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507437,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144821_lg.jpg
507438,Ranunculaceae,Aquilegia,Aquilegia barnebyi,39.6,-107.16,2009,1984,7,5,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507438,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144823_lg.jpg
2809513,Ranunculaceae,Aquilegia,Aquilegia barnebyi,39.8214,-107.9442,2270,1948,1,14,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2809513,http://sweetgum.nybg.org/images3/571/939/00353219.jpg
2809634,Ranunculaceae,Aquilegia,Aquilegia barnebyi,40.0909,-110.565,2165,1980,6,17,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2809634,http://sweetgum.nybg.org/images3/2196/081/00483482.jpg
2809747,Ranunculaceae,Aquilegia,Aquilegia barnebyi,40.0909,-110.565,2165,1980,6,17,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2809747,http://sweetgum.nybg.org/images3/2196/082/00483483.jpg
