Core_ID,Family,Genus,Binomial_Species,Latitude,Longitude,Elevation,Year,Month,Day,References,Image
1130691,Ranunculaceae,Aquilegia,Aquilegia jonesii,43.4345,-109.6255,3289,1996,6,5,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1130691,https://rmh.uwyo.edu/images/jpeg.php?Image=USFS0036495
1131652,Ranunculaceae,Aquilegia,Aquilegia jonesii,43.3771,-109.5657,3284,1996,7,16,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1131652,https://rmh.uwyo.edu/images/jpeg.php?Image=USFS0036494
1131706,Ranunculaceae,Aquilegia,Aquilegia jonesii,43.3771,-109.5458,3398,1996,7,18,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1131706,https://rmh.uwyo.edu/images/jpeg.php?Image=USFS0036172
1132529,Ranunculaceae,Aquilegia,Aquilegia jonesii,44.78889,-109.3306,2306,1989,6,19,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1132529,https://rmh.uwyo.edu/images/jpeg.php?Image=USFS0039375
1132779,Ranunculaceae,Aquilegia,Aquilegia jonesii,44.55778,-109.2697,2489,1989,6,24,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1132779,https://rmh.uwyo.edu/images/jpeg.php?Image=USFS0039374
1133740,Ranunculaceae,Aquilegia,Aquilegia jonesii,43.4754,-109.6196,2608,1997,6,29,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1133740,https://rmh.uwyo.edu/images/jpeg.php?Image=USFS0039376
1169459,Ranunculaceae,Aquilegia,Aquilegia jonesii,44.65917,-109.37,2959,1988,7,26,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1169459,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0060721
1189318,Ranunculaceae,Aquilegia,Aquilegia jonesii,43.3778,-109.5632,3405,1998,8,11,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1189318,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0022233
1337409,Ranunculaceae,Aquilegia,Aquilegia jonesii,43.4536,-109.6078,2703,2005,7,19,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1337409,https://rmh.uwyo.edu/images/jpeg.php?Image=USFS0032697
1340222,Ranunculaceae,Aquilegia,Aquilegia jonesii,42.7663,-108.8685,2442,2005,6,21,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1340222,https://rmh.uwyo.edu/images/jpeg.php?Image=USFS0032696
1341747,Ranunculaceae,Aquilegia,Aquilegia jonesii,43.4081,-109.5773,2926,2006,6,11,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1341747,https://rmh.uwyo.edu/images/jpeg.php?Image=USFS0032690
1417272,Ranunculaceae,Aquilegia,Aquilegia jonesii,44.83795,-107.9303,2734,2004,7,30,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1417272,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0239837
1417273,Ranunculaceae,Aquilegia,Aquilegia jonesii,44.7404,-107.7594,2843,2004,7,31,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1417273,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0239826
1429506,Ranunculaceae,Aquilegia,Aquilegia jonesii,44.8178,-109.3309,1911,1988,5,30,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1429506,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0060722
1429539,Ranunculaceae,Aquilegia,Aquilegia jonesii,44.6441,-109.4321,2851,1988,6,7,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1429539,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0060724
