Core_ID,Family,Genus,Binomial_Species,Latitude,Longitude,Elevation,Year,Month,Day,References,Image
490841,Ericaceae,Chimaphila,Chimaphila umbellata,37.28,-106.5,3430,1986,8,23,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=490841,https://swbiodiversity.org//imglib/seinet/soro/CS/0012/125532_lg.jpg
490842,Ericaceae,Chimaphila,Chimaphila umbellata,38.09,-105.58,2974,1948,8,9,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=490842,https://swbiodiversity.org//imglib/seinet/soro/CS/0012/125517_lg.jpg
490843,Ericaceae,Chimaphila,Chimaphila umbellata,39.36,-105.08,2367,1985,8,29,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=490843,https://swbiodiversity.org//imglib/seinet/soro/CS/0012/125515_lg.jpg
490844,Ericaceae,Chimaphila,Chimaphila umbellata,40.06,-105.99,2856,1979,8,29,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=490844,https://swbiodiversity.org//imglib/seinet/soro/CS/0012/125530_lg.jpg
490845,Ericaceae,Chimaphila,Chimaphila umbellata,40.43,-105.84,3250,1961,9,8,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=490845,https://swbiodiversity.org//imglib/seinet/soro/CS/0012/125518_lg.jpg
490846,Ericaceae,Chimaphila,Chimaphila umbellata,40.37,-105.85,3027,1961,9,18,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=490846,https://swbiodiversity.org//imglib/seinet/soro/CS/0012/125529_lg.jpg
490847,Ericaceae,Chimaphila,Chimaphila umbellata,37.45,-107.59,3275,1934,7,25,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=490847,https://swbiodiversity.org//imglib/seinet/soro/CS/0012/125516_lg.jpg
490848,Ericaceae,Chimaphila,Chimaphila umbellata,40.32,-105.62,2827,1898,8,17,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=490848,https://swbiodiversity.org//imglib/seinet/soro/CS/0012/125528_lg.jpg
490849,Ericaceae,Chimaphila,Chimaphila umbellata,40.56,-105.3,2013,1969,9,30,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=490849,https://swbiodiversity.org//imglib/seinet/soro/CS/0012/125522_lg.jpg
490850,Ericaceae,Chimaphila,Chimaphila umbellata,40.63,-105.56,2628,1961,6,28,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=490850,https://swbiodiversity.org//imglib/seinet/soro/CS/0012/125527_lg.jpg
490851,Ericaceae,Chimaphila,Chimaphila umbellata,40.34,-105.65,2828,1920,7,5,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=490851,https://swbiodiversity.org//imglib/seinet/soro/CS/0012/125525_lg.jpg
490852,Ericaceae,Chimaphila,Chimaphila umbellata,40.34,-105.67,2925,1921,7,9,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=490852,https://swbiodiversity.org//imglib/seinet/soro/CS/0012/125524_lg.jpg
490853,Ericaceae,Chimaphila,Chimaphila umbellata,40.73,-105.67,2870,1960,7,5,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=490853,https://swbiodiversity.org//imglib/seinet/soro/CS/0012/125526_lg.jpg
490854,Ericaceae,Chimaphila,Chimaphila umbellata,40.79,-105.88,2577,1944,9,2,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=490854,https://swbiodiversity.org//imglib/seinet/soro/CS/0012/125523_lg.jpg
490855,Ericaceae,Chimaphila,Chimaphila umbellata,39.84,-107.78,2751,1982,8,1,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=490855,https://swbiodiversity.org//imglib/seinet/soro/CS/0012/125531_lg.jpg
490857,Ericaceae,Chimaphila,Chimaphila umbellata,40.77,-106.77,2475,1950,8,13,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=490857,https://swbiodiversity.org//imglib/seinet/soro/CS/0012/125520_lg.jpg
490858,Ericaceae,Chimaphila,Chimaphila umbellata,40.47,-106.77,2418,1965,7,26,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=490858,https://swbiodiversity.org//imglib/seinet/soro/CS/0012/125519_lg.jpg
528553,Ericaceae,Chimaphila,Chimaphila umbellata,40.69,-106.81,2572,2001,8,22,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=528553,https://swbiodiversity.org//imglib/seinet/soro/CS/0012/125514_lg.jpg
2779284,Ericaceae,Chimaphila,Chimaphila umbellata,40.85,-109.5,2728,1994,9,2,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2779284,http://sweetgum.nybg.org/images3/3771/043/00188264.jpg
2785161,Ericaceae,Chimaphila,Chimaphila umbellata,40.75,-109.48,2574,1994,8,1,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2785161,http://sweetgum.nybg.org/images3/3775/177/00188263.jpg
2822270,Ericaceae,Chimaphila,Chimaphila umbellata,40.5838,-110.7024,2667,1999,8,10,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2822270,http://sweetgum.nybg.org/images3/3771/062/00404292.jpg
2855918,Ericaceae,Chimaphila,Chimaphila umbellata,40.80833,-109.4683,2537,2003,7,30,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2855918,http://sweetgum.nybg.org/images3/3771/069/00737384.jpg
3042481,ERICACEAE,Chimaphila,Chimaphila umbellata,39.93423,-105.5896,2922,1985,7,29,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3042481,https://swbiodiversity.org//imglib/h_seinet/seinet/DBG_KHD/KHD00039/KHD00039672_lg.jpg
3042585,ERICACEAE,Chimaphila,Chimaphila umbellata,40.33309,-105.68,3073,1970,8,6,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3042585,https://swbiodiversity.org//imglib/h_seinet/seinet/DBG_KHD/KHD00039/KHD00039674_lg.jpg
3042795,ERICACEAE,Chimaphila,Chimaphila umbellata,40.33309,-105.68,3073,1970,7,24,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3042795,https://swbiodiversity.org//imglib/h_seinet/seinet/DBG_KHD/KHD00039/KHD00039675_lg.jpg
3045058,ERICACEAE,Chimaphila,Chimaphila umbellata,39.26378,-105.1046,2785,1989,8,28,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3045058,https://swbiodiversity.org//imglib/h_seinet/seinet/DBG_KHD/KHD00039/KHD00039673_lg.jpg
3046495,ERICACEAE,Chimaphila,Chimaphila umbellata,39.86249,-105.4186,2782,1994,7,24,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3046495,https://swbiodiversity.org//imglib/h_seinet/seinet/DBG_KHD/KHD00039/KHD00039671_lg.jpg
