Core_ID,Family,Genus,Binomial_Species,Latitude,Longitude,Elevation,Year,Month,Day,References,Image
477618,Asteraceae,Cirsium,Cirsium tracyi,40.52,-108.86,2027,1987,6,25,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=477618,https://swbiodiversity.org//imglib/seinet/soro/CS/0010/109767_lg.jpg
477619,Asteraceae,Cirsium,Cirsium tracyi,40.52,-108.84,2051,1987,6,25,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=477619,https://swbiodiversity.org//imglib/seinet/soro/CS/0010/109766_lg.jpg
477623,Asteraceae,Cirsium,Cirsium tracyi,39.84,-108.13,2178,1982,6,28,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=477623,https://swbiodiversity.org//imglib/seinet/soro/CS/0010/109762_lg.jpg
477632,Asteraceae,Cirsium,Cirsium tracyi,37.35,-107.3,2484,1985,8,3,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=477632,https://swbiodiversity.org//imglib/seinet/soro/CS/0010/109777_lg.jpg
477727,Asteraceae,Cirsium,Cirsium tracyi,37.25,-106.45,3227,1987,8,15,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=477727,https://swbiodiversity.org//imglib/seinet/soro/CS/0010/109769_lg.jpg
477728,Asteraceae,Cirsium,Cirsium tracyi,40.67,-107.45,2046,1982,7,6,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=477728,https://swbiodiversity.org//imglib/seinet/soro/CS/0010/109768_lg.jpg
477773,Asteraceae,Cirsium,Cirsium tracyi,37.05,-106.43,3148,1987,7,17,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=477773,https://swbiodiversity.org//imglib/seinet/soro/CS/0010/109781_lg.jpg
477775,Asteraceae,Cirsium,Cirsium tracyi,39.57,-107.53,1731,1949,6,9,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=477775,https://swbiodiversity.org//imglib/seinet/soro/CS/0010/109771_lg.jpg
477777,Asteraceae,Cirsium,Cirsium tracyi,37.48,-107.89,2412,1934,6,17,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=477777,https://swbiodiversity.org//imglib/seinet/soro/CS/0010/109764_lg.jpg
477791,Asteraceae,Cirsium,Cirsium tracyi,40.74,-107.54,2009,1948,9,3,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=477791,https://swbiodiversity.org//imglib/seinet/soro/CS/0010/109782_lg.jpg
477794,Asteraceae,Cirsium,Cirsium tracyi,40.52,-108.97,1798,1945,7,8,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=477794,https://swbiodiversity.org//imglib/seinet/soro/CS/0010/109773_lg.jpg
477795,Asteraceae,Cirsium,Cirsium tracyi,40.44,-108.48,1719,1946,6,20,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=477795,https://swbiodiversity.org//imglib/seinet/soro/CS/0010/109783_lg.jpg
