Core_ID,Family,Genus,Binomial_Species,Latitude,Longitude,Elevation,Year,Month,Day,References,Image
156215,Asteraceae,Cirsium,Cirsium undulatum,36.85,-106,3010,2001,8,19,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=156215,https://swbiodiversity.org//imglib/h_seinet/seinet/CCH/ASU0303/ASU0303077_lg.jpg
477702,Asteraceae,Cirsium,Cirsium undulatum,39.25,-105.34,2543,1987,7,23,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=477702,https://swbiodiversity.org//imglib/seinet/soro/CS/0010/109790_lg.jpg
477768,Asteraceae,Cirsium,Cirsium undulatum,39.99,-105.25,1654,1961,6,29,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=477768,https://swbiodiversity.org//imglib/seinet/soro/CS/0010/109788_lg.jpg
477769,Asteraceae,Cirsium,Cirsium undulatum,39.99,-105.25,1654,1961,6,29,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=477769,https://swbiodiversity.org//imglib/seinet/soro/CS/0010/109799_lg.jpg
477780,Asteraceae,Cirsium,Cirsium undulatum,40.59,-105.16,1621,1967,6,30,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=477780,https://swbiodiversity.org//imglib/seinet/soro/CS/0010/109791_lg.jpg
477784,Asteraceae,Cirsium,Cirsium undulatum,40.66,-105.35,2041,1972,7,1,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=477784,https://swbiodiversity.org//imglib/seinet/soro/CS/0010/109798_lg.jpg
477786,Asteraceae,Cirsium,Cirsium undulatum,37.18,-105.05,2752,1987,8,17,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=477786,https://swbiodiversity.org//imglib/seinet/soro/CS/0010/109797_lg.jpg
477799,Asteraceae,Cirsium,Cirsium undulatum,39.38,-105.42,2487,1901,7,27,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=477799,https://swbiodiversity.org//imglib/seinet/soro/CS/0010/109792_lg.jpg
519506,Asteraceae,Cirsium,Cirsium undulatum,40.32,-105.21,1758,2000,5,29,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=519506,https://swbiodiversity.org//imglib/seinet/soro/CS/0010/109796_lg.jpg
524213,Asteraceae,Cirsium,Cirsium undulatum,40.56,-105.17,1692,2003,7,10,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=524213,https://swbiodiversity.org//imglib/seinet/soro/CS/0010/109787_lg.jpg
1134814,Asteraceae,Cirsium,Cirsium undulatum,44.7467,-109.4352,2151,1997,7,18,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1134814,https://rmh.uwyo.edu/images/jpeg.php?Image=USFS0037890
1137459,Asteraceae,Cirsium,Cirsium undulatum,44.4066,-109.3253,2059,1997,7,26,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1137459,https://rmh.uwyo.edu/images/jpeg.php?Image=USFS0037889
1166891,Asteraceae,Cirsium,Cirsium undulatum,44.5295,-109.6782,2255,1987,7,9,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1166891,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0045015
1177656,Asteraceae,Cirsium,Cirsium undulatum,43.8507,-108.8225,2063,1993,6,29,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1177656,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0045018
1178765,Asteraceae,Cirsium,Cirsium undulatum,45.2262,-109.0364,1196,1994,6,5,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1178765,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0103714
1181447,Asteraceae,Cirsium,Cirsium undulatum,45.1823,-111.8679,2312,1995,6,15,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1181447,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0103869
1185984,Asteraceae,Cirsium,Cirsium undulatum,43.5908,-108.2058,1343,1997,6,22,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1185984,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0020478
1187898,Asteraceae,Cirsium,Cirsium undulatum,43.6628,-108.0265,1593,1998,6,12,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1187898,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0020396
1237401,Asteraceae,Cirsium,Cirsium undulatum,44.0127,-107.2777,1717,2004,6,15,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1237401,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0283108
1303159,Asteraceae,Cirsium,Cirsium undulatum,36.665,-105.1068,2377,2005,7,12,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1303159,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0112666
1304286,Asteraceae,Cirsium,Cirsium undulatum,36.5919,-106.1114,2772,2005,7,27,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1304286,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0112665
1304730,Asteraceae,Cirsium,Cirsium undulatum,36.6509,-105.9729,2491,2005,8,2,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1304730,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0112654
1306819,Asteraceae,Cirsium,Cirsium undulatum,36.2925,-105.7105,2428,2005,5,17,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1306819,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0111992
1313250,Asteraceae,Cirsium,Cirsium undulatum,36.1978,-105.6798,2335,2006,6,27,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1313250,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0154604
1314506,Asteraceae,Cirsium,Cirsium undulatum,36.8062,-105.2996,2821,2006,7,14,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1314506,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0154625
1314696,Asteraceae,Cirsium,Cirsium undulatum,36.7247,-105.1818,2732,2006,7,15,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1314696,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0154624
1314730,Asteraceae,Cirsium,Cirsium undulatum,36.7337,-105.1494,2584,2006,7,15,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1314730,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0154623
1318411,Asteraceae,Cirsium,Cirsium undulatum,44.2918,-108.9041,1755,2001,7,25,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1318411,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0096963
1394237,Asteraceae,Cirsium,Cirsium undulatum,35.82902,-106.6456,2135,2002,6,11,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1394237,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0108074
1396041,Asteraceae,Cirsium,Cirsium undulatum,35.8522,-106.6318,2420,2002,7,12,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1396041,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0108085
1396534,Asteraceae,Cirsium,Cirsium undulatum,35.955,-106.7417,2629,2002,7,21,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1396534,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0108084
1397360,Asteraceae,Cirsium,Cirsium undulatum,35.821,-106.694,2436,2003,6,7,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1397360,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0108081
1399719,Asteraceae,Cirsium,Cirsium undulatum,35.835,-105.641,2701,2003,7,20,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1399719,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0108079
1400398,Asteraceae,Cirsium,Cirsium undulatum,35.787,-105.848,2706,2003,8,1,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1400398,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0108077
1401424,Asteraceae,Cirsium,Cirsium undulatum,35.8267,-105.6234,2791,2003,8,17,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1401424,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0108075
1403337,Asteraceae,Cirsium,Cirsium undulatum,35.5348,-105.4175,2152,2004,8,7,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1403337,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0108083
1403341,Asteraceae,Cirsium,Cirsium undulatum,35.5348,-105.4175,2152,2004,8,7,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1403341,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0108082
1430902,Asteraceae,Cirsium,Cirsium undulatum,42.2979,-105.1946,1595,1989,6,25,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1430902,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0283100
1431141,Asteraceae,Cirsium,Cirsium undulatum,42.2979,-105.1946,1595,1989,6,25,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1431141,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0283085
1442933,Asteraceae,Cirsium,Cirsium undulatum,35.96817,-106.4933,2663,2001,6,26,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1442933,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0070615
1442944,Asteraceae,Cirsium,Cirsium undulatum,35.96817,-106.4933,2663,2001,6,26,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1442944,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0070616
1454074,Asteraceae,Cirsium,Cirsium undulatum,44.9739,-107.6934,1905,1996,8,9,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1454074,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0283087
1455501,Asteraceae,Cirsium,Cirsium undulatum,35.82769,-106.617,2482,2001,7,30,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1455501,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0070617
1476003,Asteraceae,Cirsium,Cirsium undulatum,35.94243,-106.5067,2868,2003,7,24,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1476003,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0070614
1616016,Asteraceae,Cirsium,Cirsium undulatum,43.2706,-110.5636,2366,1990,8,21,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1616016,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0282871
1622537,Asteraceae,Cirsium,Cirsium undulatum,43.93889,-108.5375,1660,1983,6,29,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1622537,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0094912
1625631,Asteraceae,Cirsium,Cirsium undulatum,44.9937,-108.9338,1387,1987,6,21,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1625631,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0094911
1627991,Asteraceae,Cirsium,Cirsium undulatum,44.8775,-109.2522,1371,1988,6,9,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1627991,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0094910
1634007,Asteraceae,Cirsium,Cirsium undulatum,44.0853,-107.2806,2191,1980,6,17,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1634007,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0283066
1634213,Asteraceae,Cirsium,Cirsium undulatum,43.5811,-107.464,1734,1980,7,8,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1634213,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0091591
1635184,Asteraceae,Cirsium,Cirsium undulatum,44.3314,-106.8114,1834,1980,7,20,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1635184,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0283065
1637921,Asteraceae,Cirsium,Cirsium undulatum,43.7664,-108.6622,1767,1983,6,23,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1637921,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0094913
1642643,Asteraceae,Cirsium,Cirsium undulatum,42.4966,-107.6714,1915,1985,8,4,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1642643,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0283063
1642738,Asteraceae,Cirsium,Cirsium undulatum,42.6292,-108.2192,2055,1985,8,10,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1642738,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0283012
1642909,Asteraceae,Cirsium,Cirsium undulatum,42.5986,-107.7894,2041,1985,8,17,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1642909,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0283122
1644174,Asteraceae,Cirsium,Cirsium undulatum,42.6439,-108.6298,1840,1986,6,20,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1644174,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0045020
1644193,Asteraceae,Cirsium,Cirsium undulatum,42.6439,-108.6298,1840,1986,6,20,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1644193,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0045019
1644249,Asteraceae,Cirsium,Cirsium undulatum,42.482,-107.2585,1951,1986,6,21,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1644249,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0283115
1644263,Asteraceae,Cirsium,Cirsium undulatum,42.482,-107.2585,1951,1986,6,21,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1644263,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0283113
1644342,Asteraceae,Cirsium,Cirsium undulatum,42.6146,-108.2583,2110,1986,6,27,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1644342,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0283033
1644427,Asteraceae,Cirsium,Cirsium undulatum,42.5999,-108.2779,2100,1986,7,20,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1644427,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0283032
1644496,Asteraceae,Cirsium,Cirsium undulatum,42.7759,-108.0628,2072,1986,7,27,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1644496,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0283030
1654888,Asteraceae,Cirsium,Cirsium undulatum,43.3758,-106.8325,1778,1979,7,3,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1654888,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0283028
1655646,Asteraceae,Cirsium,Cirsium undulatum,44.4767,-106.7336,1405,1979,7,21,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1655646,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0283050
