Core_ID,Family,Genus,Binomial_Species,Latitude,Longitude,Elevation,Year,Month,Day,References,Image
507541,Ranunculaceae,Clematis,Clematis hirsutissima,37.18,-106.95,2329,1978,6,21,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507541,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/145150_lg.jpg
507543,Ranunculaceae,Clematis,Clematis hirsutissima,39.64,-105.45,2545,1972,6,15,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507543,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/145145_lg.jpg
507544,Ranunculaceae,Clematis,Clematis hirsutissima,39.64,-105.45,2545,1972,6,20,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507544,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/145146_lg.jpg
507548,Ranunculaceae,Clematis,Clematis hirsutissima,39.58,-107.95,2681,1961,6,8,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507548,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/145153_lg.jpg
507549,Ranunculaceae,Clematis,Clematis hirsutissima,38.49,-107.18,2527,1945,6,26,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507549,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/145148_lg.jpg
507550,Ranunculaceae,Clematis,Clematis hirsutissima,38.56,-106.92,2391,1967,6,8,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507550,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/145149_lg.jpg
507553,Ranunculaceae,Clematis,Clematis hirsutissima,40.67,-106.54,2507,1976,4,25,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507553,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/145152_lg.jpg
507555,Ranunculaceae,Clematis,Clematis hirsutissima,40.52,-105.14,1726,1961,5,14,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507555,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/145107_lg.jpg
507556,Ranunculaceae,Clematis,Clematis hirsutissima,40.71,-105.31,1888,1972,7,10,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507556,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/145117_lg.jpg
507559,Ranunculaceae,Clematis,Clematis hirsutissima,40.63,-105.25,2081,1896,5,31,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507559,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/145154_lg.jpg
507564,Ranunculaceae,Clematis,Clematis hirsutissima,40.55,-105.17,1720,1898,7,9,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507564,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/145159_lg.jpg
507568,Ranunculaceae,Clematis,Clematis hirsutissima,40.92,-108.94,2559,1982,6,30,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507568,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/145116_lg.jpg
507570,Ranunculaceae,Clematis,Clematis hirsutissima,38.44,-107.64,2464,1957,6,19,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507570,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/145121_lg.jpg
507572,Ranunculaceae,Clematis,Clematis hirsutissima,38.15,-107.8,2401,1949,6,12,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507572,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/145131_lg.jpg
507576,Ranunculaceae,Clematis,Clematis hirsutissima,39.9,-108.13,2282,1982,6,15,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507576,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/145109_lg.jpg
507577,Ranunculaceae,Clematis,Clematis hirsutissima,39.76,-107.94,2283,1949,6,14,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507577,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/145130_lg.jpg
507578,Ranunculaceae,Clematis,Clematis hirsutissima,39.74,-108.37,2306,1982,6,24,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507578,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/145113_lg.jpg
507581,Ranunculaceae,Clematis,Clematis hirsutissima,39.92,-108,2418,1982,7,1,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507581,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/145114_lg.jpg
507582,Ranunculaceae,Clematis,Clematis hirsutissima,39.8,-108.07,2103,1982,6,29,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507582,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/145115_lg.jpg
507583,Ranunculaceae,Clematis,Clematis hirsutissima,39.87,-107.75,2320,1981,4,24,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507583,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/145108_lg.jpg
507584,Ranunculaceae,Clematis,Clematis hirsutissima,39.89,-107.98,2301,1979,6,5,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507584,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/145128_lg.jpg
507585,Ranunculaceae,Clematis,Clematis hirsutissima,40.49,-106.95,2013,1948,5,18,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507585,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/145135_lg.jpg
507587,Ranunculaceae,Clematis,Clematis hirsutissima,40.76,-106.75,2588,1977,6,5,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507587,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/145133_lg.jpg
507590,Ranunculaceae,Clematis,Clematis hirsutissima,39.68,-106.1,2684,1972,6,21,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507590,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/145142_lg.jpg
507591,Ranunculaceae,Clematis,Clematis hirsutissima,38.99,-105.05,2578,1935,6,9,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507591,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/145138_lg.jpg
516907,Ranunculaceae,Clematis,Clematis hirsutissima,40.53,-105.14,1672,1999,4,25,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=516907,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/145137_lg.jpg
517409,Ranunculaceae,Clematis,Clematis hirsutissima,37.37,-108.19,2534,1994,5,13,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=517409,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/145125_lg.jpg
518952,Ranunculaceae,Clematis,Clematis hirsutissima,39.89,-105.26,1927,1999,5,27,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=518952,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/145110_lg.jpg
520718,Ranunculaceae,Clematis,Clematis hirsutissima,40.2,-106.05,2859,1993,6,22,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=520718,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/145147_lg.jpg
521612,Ranunculaceae,Clematis,Clematis hirsutissima,38.57,-106.81,2748,1997,6,7,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=521612,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/145151_lg.jpg
521901,Ranunculaceae,Clematis,Clematis hirsutissima,40.69,-105.48,2155,2001,6,4,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=521901,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/145139_lg.jpg
524058,Ranunculaceae,Clematis,Clematis hirsutissima,40.56,-105.17,1692,2003,4,28,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=524058,https://swbiodiversity.org//imglib/seinet/soro/CS/0012/126810_lg.jpg
530974,Ranunculaceae,Clematis,Clematis hirsutissima,40.02,-106.32,2398,2004,5,25,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=530974,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/145127_lg.jpg
1184646,Ranunculaceae,Clematis,Clematis hirsutissima,43.49,-110.2179,2335,1996,7,9,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1184646,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0240701
2811080,Ranunculaceae,Clematis,Clematis hirsutissima,43.7924,-110.9549,2645,1988,8,7,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2811080,http://sweetgum.nybg.org/images3/2214/518/00486067.jpg
2811393,Ranunculaceae,Clematis,Clematis hirsutissima,42.728254,-111.532445,1892,1937,5,12,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2811393,http://sweetgum.nybg.org/images3/2214/525/00486074.jpg
2811646,Ranunculaceae,Clematis,Clematis hirsutissima,43.117085,-110.875981,2287,1949,7,14,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2811646,http://sweetgum.nybg.org/images3/2214/526/00486075.jpg
2811836,Ranunculaceae,Clematis,Clematis hirsutissima,40.875332,-109.533978,2256,1932,6,11,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2811836,http://sweetgum.nybg.org/images3/2214/516/00486065.jpg
2818241,Ranunculaceae,Clematis,Clematis hirsutissima,40.87984,-109.3475,2157,1983,6,20,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2818241,http://sweetgum.nybg.org/images3/2214/510/00486059.jpg
2819408,Ranunculaceae,Clematis,Clematis hirsutissima,39.62986,-111.2935,2855,1977,7,12,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2819408,http://sweetgum.nybg.org/images3/2214/508/00486057.jpg
2820480,Ranunculaceae,Clematis,Clematis hirsutissima,39.50325,-111.311,3074,1977,6,18,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2820480,http://sweetgum.nybg.org/images3/2214/514/00486063.jpg
2822232,Ranunculaceae,Clematis,Clematis hirsutissima,39.888,-110.901,2867,1993,8,11,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2822232,http://sweetgum.nybg.org/images3/2214/538/00486087.jpg
2835905,Ranunculaceae,Clematis,Clematis hirsutissima,39.60811,-110.2985,2731,1977,6,23,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2835905,http://sweetgum.nybg.org/images3/2214/515/00486064.jpg
2857556,Ranunculaceae,Clematis,Clematis hirsutissima,44.02,-113.47,2370,1971,7,8,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2857556,http://sweetgum.nybg.org/images3/2214/847/00746776.jpg
2882294,Ranunculaceae,Clematis,Clematis hirsutissima,42.97,-111.36,2041,1988,6,27,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2882294,http://sweetgum.nybg.org/images3/244/268/v-109-01057380.jpg
2883650,Ranunculaceae,Clematis,Clematis hirsutissima,42.6066667,-111.1252778,2034,2003,6,21,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2883650,http://sweetgum.nybg.org/images3/244/245/v-109-01057357.jpg
2883694,Ranunculaceae,Clematis,Clematis hirsutissima,42.8675,-111.4508333,1988,2000,7,2,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2883694,http://sweetgum.nybg.org/images3/244/269/v-109-01057381.jpg
2884068,Ranunculaceae,Clematis,Clematis hirsutissima,42.775,-111.2558,2008,2000,7,1,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2884068,http://sweetgum.nybg.org/images3/244/227/v-109-01057339.jpg
2885791,Ranunculaceae,Clematis,Clematis hirsutissima,42.9908,-111.4489,1999,2000,5,22,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2885791,http://sweetgum.nybg.org/images3/244/226/v-109-01057338.jpg
2891756,Ranunculaceae,Clematis,Clematis hirsutissima,40.4865,-111.09861,2797,2008,6,30,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2891756,http://sweetgum.nybg.org/images3/276/900/v-109-01111420.jpg
3030292,Ranunculaceae,Clematis,Clematis hirsutissima,38.697729,-107.035468,2632,1955,6,25,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3030292,https://swbiodiversity.org//imglib/h_seinet/intermt/RMBL/RMBL0003/RMBL0003268_lg.jpg
3035741,RANUNCULACEAE,Clematis,Clematis hirsutissima,37.979106,-105.345299,2553,1953,7,1,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3035741,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00039/KHD00039988_lg.jpg
3037321,RANUNCULACEAE,Clematis,Clematis hirsutissima,39.80194,-105.51361,2638,1982,5,27,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3037321,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00039/KHD00039982_lg.jpg
3038677,RANUNCULACEAE,Clematis,Clematis hirsutissima,40.525635,-105.207741,1758,1979,4,27,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3038677,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00039/KHD00039981_lg.jpg
3041514,RANUNCULACEAE,Clematis,Clematis hirsutissima,37.24221,-105.044581,2643,1985,8,1,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3041514,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00039/KHD00039990_lg.jpg
3044707,RANUNCULACEAE,Clematis,Clematis hirsutissima,37.286282,-108.038464,2493,1948,6,11,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3044707,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00039/KHD00039978_lg.jpg
3044718,RANUNCULACEAE,Clematis,Clematis hirsutissima,37.286282,-108.038464,2493,1948,6,11,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3044718,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00039/KHD00039979_lg.jpg
3044726,RANUNCULACEAE,Clematis,Clematis hirsutissima,38.894801,-104.971529,2274,1931,6,13,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3044726,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00039/KHD00039977_lg.jpg
3044747,RANUNCULACEAE,Clematis,Clematis hirsutissima,38.477017,-106.139282,2704,1948,5,31,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3044747,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00039/KHD00039985_lg.jpg
3044775,RANUNCULACEAE,Clematis,Clematis hirsutissima,37.181499,-107.03334,2102,1947,5,30,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3044775,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00039/KHD00039987_lg.jpg
3045421,RANUNCULACEAE,Clematis,Clematis hirsutissima,37.313363,-104.754203,2125,1983,6,15,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3045421,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00039/KHD00039991_lg.jpg
3046844,RANUNCULACEAE,Clematis,Clematis hirsutissima,38.9984,-105.500278,3073,1903,5,14,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3046844,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00039/KHD00039975_lg.jpg
3046856,RANUNCULACEAE,Clematis,Clematis hirsutissima,39.730607,-105.238079,2229,1912,6,23,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3046856,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00039/KHD00039976_lg.jpg
3048449,RANUNCULACEAE,Clematis,Clematis hirsutissima,39.533426,-105.313226,2482,1999,5,27,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3048449,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00012/KHD00012303_lg.jpg
3048577,RANUNCULACEAE,Clematis,Clematis hirsutissima,39.533426,-105.313226,2482,1999,6,21,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3048577,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00012/KHD00012686_lg.jpg
3050027,RANUNCULACEAE,Clematis,Clematis hirsutissima,38.594442,-106.865989,2522,1977,5,30,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3050027,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00003/KHD00003279_lg.jpg
3050028,RANUNCULACEAE,Clematis,Clematis hirsutissima,38.594431,-106.828443,2627,1997,6,17,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3050028,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00003/KHD00003280_lg.jpg
3051733,RANUNCULACEAE,Clematis,Clematis hirsutissima,39.948105,-108.20001,2129,1993,8,22,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3051733,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00014/KHD00014474_lg.jpg
3055256,RANUNCULACEAE,Clematis,Clematis hirsutissima,38.453292,-107.337435,2383,1950,6,24,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3055256,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00018/KHD00018890_lg.jpg
