Core_ID,Family,Genus,Binomial_Species,Latitude,Longitude,Elevation,Year,Month,Day,References,Image
507634,Ranunculaceae,Clematis,Clematis occidentalis var. grosseserrata,40.2,-105.53,2612,1965,6,13,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507634,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/145240_lg.jpg
507635,Ranunculaceae,Clematis,Clematis occidentalis var. grosseserrata,40.25,-105.79,2982,1950,8,2,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507635,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/145234_lg.jpg
507636,Ranunculaceae,Clematis,Clematis occidentalis var. grosseserrata,40.73,-105.6,2576,1972,6,25,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507636,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/145239_lg.jpg
507639,Ranunculaceae,Clematis,Clematis occidentalis var. grosseserrata,40.73,-105.52,2480,1970,7,10,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507639,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/145232_lg.jpg
507643,Ranunculaceae,Clematis,Clematis occidentalis var. grosseserrata,40.62,-105.34,2442,1898,6,13,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507643,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/145233_lg.jpg
507644,Ranunculaceae,Clematis,Clematis occidentalis var. grosseserrata,40.7,-105.63,2361,1945,6,14,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507644,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/145241_lg.jpg
507645,Ranunculaceae,Clematis,Clematis occidentalis var. grosseserrata,40.63,-105.31,2300,1985,5,30,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507645,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/145242_lg.jpg
522519,Ranunculaceae,Clematis,Clematis occidentalis var. grosseserrata,40.57,-105.39,2286,2001,5,25,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=522519,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/145231_lg.jpg
526162,Ranunculaceae,Clematis,Clematis occidentalis var. grosseserrata,40.68,-105.34,2226,2002,5,25,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=526162,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/145228_lg.jpg
1132608,Ranunculaceae,Clematis,Clematis occidentalis var. grosseserrata,44.84806,-109.55222,2128,1989,6,21,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1132608,https://rmh.uwyo.edu/images/jpeg.php?Image=USFS0039461
1132659,Ranunculaceae,Clematis,Clematis occidentalis var. grosseserrata,44.96528,-109.84139,2358,1989,6,23,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1132659,https://rmh.uwyo.edu/images/jpeg.php?Image=USFS0039460
1133924,Ranunculaceae,Clematis,Clematis occidentalis var. grosseserrata,43.6914,-109.8188,2276,1997,7,1,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1133924,https://rmh.uwyo.edu/images/jpeg.php?Image=USFS0039462
1134413,Ranunculaceae,Clematis,Clematis occidentalis var. grosseserrata,44.4763,-109.7247,2108,1997,7,12,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1134413,https://rmh.uwyo.edu/images/jpeg.php?Image=USFS0039463
