Core_ID,Family,Genus,Binomial_Species,Latitude,Longitude,Elevation,Year,Month,Day,References,Image
507646,Ranunculaceae,Clematis,Clematis orientalis,39.72,-105.64,3293,1956,8,14,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507646,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/145247_lg.jpg
507647,Ranunculaceae,Clematis,Clematis orientalis,39.74,-105.39,2190,1984,9,17,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507647,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/145246_lg.jpg
507648,Ranunculaceae,Clematis,Clematis orientalis,39.7,-105.69,3100,1964,8,21,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507648,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/145243_lg.jpg
507649,Ranunculaceae,Clematis,Clematis orientalis,39.78,-105.46,2412,1974,8,21,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507649,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/145248_lg.jpg
507650,Ranunculaceae,Clematis,Clematis orientalis,38.01,-107.67,2575,1960,10,15,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507650,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/145249_lg.jpg
519283,Ranunculaceae,Clematis,Clematis orientalis,39.75,-105.19,1842,1984,9,18,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=519283,https://swbiodiversity.org//imglib/seinet/soro/CS/0010/102343_lg.jpg
522551,Ranunculaceae,Clematis,Clematis orientalis,39.7,-105.71,2908,2000,9,10,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=522551,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/145245_lg.jpg
2834203,Ranunculaceae,Clematis,Clematis orientalis,40.308364,-111.499744,2377,1977,7,29,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2834203,http://sweetgum.nybg.org/images3/2214/730/00487374.jpg
3040917,RANUNCULACEAE,Clematis,Clematis orientalis,39.749763,-105.18326,1845,1984,9,18,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3040917,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00039/KHD00039951_lg.jpg
3044574,RANUNCULACEAE,Clematis,Clematis orientalis,39.704263,-105.69643,2748,1970,9,4,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3044574,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00039/KHD00039953_lg.jpg
3044786,RANUNCULACEAE,Clematis,Clematis orientalis,38.837992,-104.820288,1842,1936,7,14,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3044786,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00039/KHD00039950_lg.jpg
3047542,RANUNCULACEAE,Clematis,Clematis orientalis,38.9984,-105.500278,3073,1919,9,1,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3047542,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00039/KHD00039954_lg.jpg
3048945,RANUNCULACEAE,Clematis,Clematis orientalis,39.77158,-105.134593,1660,1999,7,27,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3048945,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00039/KHD00039949_lg.jpg
3054415,RANUNCULACEAE,Clematis,Clematis orientalis,39.742805,-105.396677,2353,1995,9,23,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3054415,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00017/KHD00017910_lg.jpg
3054416,RANUNCULACEAE,Clematis,Clematis orientalis,39.742805,-105.396677,2353,1995,9,23,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3054416,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00017/KHD00017909_lg.jpg
3110631,Ranunculaceae,Clematis,Clematis orientalis,38.014418,-107.672687,2575,1998,8,13,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3110631,https://api.idigbio.org/v2/media/a4ed8737a79e67d52c7358596a196fda
3405274,Ranunculaceae,Clematis,Clematis orientalis,39.55,-107.31972,1818,1986,9,27,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3405274,https://api.idigbio.org/v2/media/5bd6a8824f16912a9c5447fe916718a2?size=fullsize
6033920,Ranunculaceae,Clematis,Clematis orientalis,39.7009,-105.70615,2736,1994,8,6,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=6033920,https://herbarium.sanjuancollege.edu/herbphotos/SJNM-V-005/SJNM-V-0059900.jpg
6781733,Ranunculaceae,Clematis,Clematis orientalis,39.790245,-105.16634,1705,1981,9,21,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=6781733,https://swbiodiversity.org//imglib/h_seinet/seinet/DBG_KHD/KHD00057/KHD00057923_lg.jpg
