Core_ID,Family,Genus,Binomial_Species,Latitude,Longitude,Elevation,Year,Month,Day,References,Image
1916369,Primulaceae,Dodecatheon,Dodecatheon pulchellum,35.87044,-106.5274,2871,2009,6,19,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1916369,https://swbiodiversity.org//imglib/h_seinet/seinet/TEUI/TEUI/TEUI0003/TEUI0003379_lg.jpg
2771537,Primulaceae,Dodecatheon,Dodecatheon pulchellum,44.36574,-115.13565,2015,1940,6,24,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2771537,http://sweetgum.nybg.org/images3/3072/595/00223648.jpg
2771909,Primulaceae,Dodecatheon,Dodecatheon pulchellum,40.878427,-109.745101,2542,1932,6,9,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2771909,http://sweetgum.nybg.org/images3/3072/586/00223639.jpg
2772176,Primulaceae,Dodecatheon,Dodecatheon pulchellum,40.6897,-111.1028,3018,1946,6,8,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2772176,http://sweetgum.nybg.org/images3/3072/590/00223643.jpg
2779633,Primulaceae,Dodecatheon,Dodecatheon pulchellum,39.55,-110.42,1915,1977,6,21,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2779633,http://sweetgum.nybg.org/images3/3072/566/00223619.jpg
2780728,Primulaceae,Dodecatheon,Dodecatheon pulchellum,40.72,-109.53,2646,1976,6,30,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2780728,http://sweetgum.nybg.org/images3/3072/548/00223601.jpg
2781033,Primulaceae,Dodecatheon,Dodecatheon pulchellum,39.55,-111.23,2606,1977,6,18,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2781033,http://sweetgum.nybg.org/images3/3072/579/00223632.jpg
2782172,Primulaceae,Dodecatheon,Dodecatheon pulchellum,40.92,-110.75,2765,1981,6,28,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2782172,http://sweetgum.nybg.org/images3/3072/477/00223449.jpg
2782529,Primulaceae,Dodecatheon,Dodecatheon pulchellum,41.17,-111.2,2160,1984,7,28,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2782529,http://sweetgum.nybg.org/images3/3072/693/00223852.jpg
2785121,Primulaceae,Dodecatheon,Dodecatheon pulchellum,40.72,-109.4,2433,1994,5,31,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2785121,http://sweetgum.nybg.org/images3/3072/610/00223669.jpg
2785124,Primulaceae,Dodecatheon,Dodecatheon pulchellum,40.67,-109.43,2430,1994,5,25,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2785124,http://sweetgum.nybg.org/images3/3072/577/00223630.jpg
2785141,Primulaceae,Dodecatheon,Dodecatheon pulchellum,40.65,-109.53,2244,1994,5,17,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2785141,http://sweetgum.nybg.org/images3/3072/609/00223668.jpg
2785150,Primulaceae,Dodecatheon,Dodecatheon pulchellum,40.67,-109.45,2419,1994,5,23,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2785150,http://sweetgum.nybg.org/images3/3072/625/00223693.jpg
2785169,Primulaceae,Dodecatheon,Dodecatheon pulchellum,40.65,-109.55,2321,1994,5,26,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2785169,http://sweetgum.nybg.org/images3/3072/551/00223604.jpg
2805389,Primulaceae,Dodecatheon,Dodecatheon pulchellum,42.98,-111.4,1950,1991,6,5,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2805389,http://sweetgum.nybg.org/images3/3072/478/00223450.jpg
