Core_ID,Family,Genus,Binomial_Species,Latitude,Longitude,Elevation,Year,Month,Day,References,Image
516873,Gentianaceae,Gentianopsis,Gentianopsis thermalis,40.6,-105.88,3031,1998,8,25,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=516873,https://swbiodiversity.org//imglib/seinet/soro/CS/0016/164755_lg.jpg
521488,Gentianaceae,Gentianopsis,Gentianopsis thermalis,37.71,-107.74,3081,1988,8,23,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=521488,https://swbiodiversity.org//imglib/seinet/soro/CS/0016/164754_lg.jpg
528533,Gentianaceae,Gentianopsis,Gentianopsis thermalis,40.93,-106.92,2599,2001,7,31,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=528533,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/130200_lg.jpg
530277,Gentianaceae,Gentianopsis,Gentianopsis thermalis,40.53,-105.83,3372,2001,8,9,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=530277,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/130204_lg.jpg
531396,Gentianaceae,Gentianopsis,Gentianopsis thermalis,40.08,-106.4,2282,2004,7,14,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=531396,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/130199_lg.jpg
1130200,Gentianaceae,Gentianopsis,Gentianopsis thermalis,43.4898,-109.7989,3047,1996,8,3,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1130200,https://rmh.uwyo.edu/data/gmapviewer.php?Image=USFS0037475
1135282,Gentianaceae,Gentianopsis,Gentianopsis thermalis,43.4754,-109.7391,2987,1997,7,26,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1135282,https://rmh.uwyo.edu/data/gmapviewer.php?Image=USFS0041382
1135339,Gentianaceae,Gentianopsis,Gentianopsis thermalis,43.4489,-109.745,3092,1997,7,26,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1135339,https://rmh.uwyo.edu/data/gmapviewer.php?Image=USFS0041381
1135838,Gentianaceae,Gentianopsis,Gentianopsis thermalis,43.4898,-109.779,3091,1997,8,1,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1135838,https://rmh.uwyo.edu/data/gmapviewer.php?Image=USFS0041380
1190975,Gentianaceae,Gentianopsis,Gentianopsis thermalis,44.5572,-110.3027,2403,1999,8,7,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1190975,https://rmh.uwyo.edu/data/gmapviewer.php?Image=RM0024209
