Core_ID,Family,Genus,Binomial_Species,Latitude,Longitude,Elevation,Year,Month,Day,References,Image
494534,Geraniaceae,Geranium,Geranium richardsonii,39.68,-107.96,2505,1982,7,8,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=494534,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/130386_lg.jpg
494539,Geraniaceae,Geranium,Geranium richardsonii,38.04,-107.12,3001,1969,8,3,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=494539,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/130381_lg.jpg
494540,Geraniaceae,Geranium,Geranium richardsonii,38.98,-106.94,3609,1959,7,16,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=494540,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/130384_lg.jpg
494576,Geraniaceae,Geranium,Geranium richardsonii,39.09,-105.08,2472,1898,7,18,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=494576,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/130462_lg.jpg
494577,Geraniaceae,Geranium,Geranium richardsonii,38.92,-106.03,2904,1954,7,12,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=494577,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/130395_lg.jpg
494578,Geraniaceae,Geranium,Geranium richardsonii,39.64,-105.45,2545,1972,6,19,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=494578,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/130391_lg.jpg
494580,Geraniaceae,Geranium,Geranium richardsonii,37.14,-106.51,3346,1986,7,20,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=494580,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/130389_lg.jpg
494581,Geraniaceae,Geranium,Geranium richardsonii,37.05,-106.24,2764,1986,6,18,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=494581,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/130387_lg.jpg
494582,Geraniaceae,Geranium,Geranium richardsonii,37.27,-106.62,3375,1945,8,3,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=494582,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/130394_lg.jpg
494583,Geraniaceae,Geranium,Geranium richardsonii,37.66,-108.33,2499,1983,8,17,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=494583,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/130396_lg.jpg
494584,Geraniaceae,Geranium,Geranium richardsonii,37.67,-107.95,3142,1898,7,1,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=494584,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/130458_lg.jpg
494585,Geraniaceae,Geranium,Geranium richardsonii,39.64,-108.24,2444,1982,7,12,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=494585,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/130392_lg.jpg
494586,Geraniaceae,Geranium,Geranium richardsonii,39.53,-107.94,2119,1978,7,14,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=494586,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/130406_lg.jpg
494588,Geraniaceae,Geranium,Geranium richardsonii,39.9,-105.58,2829,1962,7,1,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=494588,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/130397_lg.jpg
494589,Geraniaceae,Geranium,Geranium richardsonii,40.47,-105.87,3218,1957,8,13,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=494589,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/130402_lg.jpg
494591,Geraniaceae,Geranium,Geranium richardsonii,38.5,-107.44,2780,1969,8,5,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=494591,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/130401_lg.jpg
494592,Geraniaceae,Geranium,Geranium richardsonii,38.76,-107.1,2894,1968,6,30,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=494592,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/130403_lg.jpg
494593,Geraniaceae,Geranium,Geranium richardsonii,38.04,-107.12,3001,1969,8,3,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=494593,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/130398_lg.jpg
494594,Geraniaceae,Geranium,Geranium richardsonii,38.86,-107.09,3103,1967,7,23,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=494594,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/130407_lg.jpg
494595,Geraniaceae,Geranium,Geranium richardsonii,39.02,-107.06,3485,1978,8,2,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=494595,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/130376_lg.jpg
494596,Geraniaceae,Geranium,Geranium richardsonii,38.93,-107.02,2999,1975,8,4,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=494596,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/130388_lg.jpg
494597,Geraniaceae,Geranium,Geranium richardsonii,40.8,-106.98,2457,1987,7,30,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=494597,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/130399_lg.jpg
494598,Geraniaceae,Geranium,Geranium richardsonii,40.39,-106.61,2827,1980,7,23,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=494598,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/130390_lg.jpg
494599,Geraniaceae,Geranium,Geranium richardsonii,40.52,-105.96,3020,1980,7,24,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=494599,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/130400_lg.jpg
494600,Geraniaceae,Geranium,Geranium richardsonii,37.27,-107.88,1995,1898,6,28,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=494600,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/130456_lg.jpg
