Core_ID,Family,Genus,Binomial_Species,Latitude,Longitude,Elevation,Year,Month,Day,References,Image
509200,Rosaceae,Geum,Geum triflorum,37.27,-106.98,2194,1956,6,12,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=509200,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/147214_lg.jpg
509202,Rosaceae,Geum,Geum triflorum,38.68,-106.38,3481,1966,6,28,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=509202,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/147200_lg.jpg
509203,Rosaceae,Geum,Geum triflorum,37.02,-106.23,2765,1986,6,6,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=509203,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/147201_lg.jpg
509204,Rosaceae,Geum,Geum triflorum,37.1,-106.24,2725,1985,6,6,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=509204,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/147218_lg.jpg
509205,Rosaceae,Geum,Geum triflorum,37.07,-106.33,2977,1985,6,27,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=509205,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/147219_lg.jpg
509206,Rosaceae,Geum,Geum triflorum,37.28,-106.62,3205,1985,7,20,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=509206,https://swbiodiversity.org//imglib/seinet/soro/CS/0010/102415_lg.jpg
509207,Rosaceae,Geum,Geum triflorum,38.95,-108.09,2751,1942,7,9,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=509207,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/147216_lg.jpg
509208,Rosaceae,Geum,Geum triflorum,37.78,-107.94,3004,1974,6,14,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=509208,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/147210_lg.jpg
509209,Rosaceae,Geum,Geum triflorum,39.69,-106.74,2145,1945,6,20,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=509209,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/147212_lg.jpg
509210,Rosaceae,Geum,Geum triflorum,39.77,-107.29,3152,1954,7,16,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=509210,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/147193_lg.jpg
509211,Rosaceae,Geum,Geum triflorum,39.79,-107.77,2906,1981,6,26,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=509211,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/147217_lg.jpg
509212,Rosaceae,Geum,Geum triflorum,40.05,-107.02,2953,1936,6,27,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=509212,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/147194_lg.jpg
509213,Rosaceae,Geum,Geum triflorum,39.74,-107.3,3316,1939,7,11,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=509213,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/147215_lg.jpg
509214,Rosaceae,Geum,Geum triflorum,38.78,-106.46,3507,1961,7,4,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=509214,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/147208_lg.jpg
509215,Rosaceae,Geum,Geum triflorum,38.97,-106.99,2962,1959,6,28,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=509215,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/147209_lg.jpg
509217,Rosaceae,Geum,Geum triflorum,38.76,-107.1,2894,1967,7,3,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=509217,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/147202_lg.jpg
509218,Rosaceae,Geum,Geum triflorum,38.84,-106.55,2901,1962,6,22,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=509218,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/147211_lg.jpg
509220,Rosaceae,Geum,Geum triflorum,40.82,-106.6,2919,1974,7,6,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=509220,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/147204_lg.jpg
509222,Rosaceae,Geum,Geum triflorum,40.4,-106.07,2736,1978,6,30,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=509222,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/147203_lg.jpg
509223,Rosaceae,Geum,Geum triflorum,40.54,-105.38,2507,1945,6,14,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=509223,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/147233_lg.jpg
509224,Rosaceae,Geum,Geum triflorum,40.74,-105.52,2361,1971,7,2,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=509224,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/147236_lg.jpg
509226,Rosaceae,Geum,Geum triflorum,40.37,-105.51,2336,1935,7,5,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=509226,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/147237_lg.jpg
509227,Rosaceae,Geum,Geum triflorum,40.37,-105.51,2336,1899,8,5,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=509227,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/147205_lg.jpg
509229,Rosaceae,Geum,Geum triflorum,40.76,-105.61,2629,1960,6,23,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=509229,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/147232_lg.jpg
509231,Rosaceae,Geum,Geum triflorum,40.91,-109.01,2320,1982,6,14,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=509231,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/147227_lg.jpg
509232,Rosaceae,Geum,Geum triflorum,40.58,-108.71,2215,1960,6,12,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=509232,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/147241_lg.jpg
509237,Rosaceae,Geum,Geum triflorum,40.76,-106.75,2588,1977,6,5,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=509237,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/147247_lg.jpg
509238,Rosaceae,Geum,Geum triflorum,37.99,-106.42,3054,1941,7,4,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=509238,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/147231_lg.jpg
509239,Rosaceae,Geum,Geum triflorum,37.86,-106.56,3367,1984,7,9,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=509239,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/147228_lg.jpg
