Core_ID,Family,Genus,Binomial_Species,Latitude,Longitude,Elevation,Year,Month,Day,References,Image
479616,Asteraceae,Helenium,Helenium autumnale,40.45,-108.38,1772,1981,8,23,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=479616,https://swbiodiversity.org//imglib/seinet/soro/CS/0011/112015_lg.jpg
1270175,Asteraceae,Helenium,Helenium autumnale,41.8572,-111.0203,1893,1994,8,23,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1270175,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0296240
1270234,Asteraceae,Helenium,Helenium autumnale,41.7531,-110.5286,2097,1994,8,23,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1270234,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0296239
1387080,Asteraceae,Helenium,Helenium autumnale,41.9238,-105.4236,2004,1948,8,23,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1387080,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0296236
1387747,Asteraceae,Helenium,Helenium autumnale,41.2148,-105.7733,2211,1952,7,21,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1387747,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0296238
1389114,Asteraceae,Helenium,Helenium autumnale,41.4358,-105.7894,2172,1960,8,17,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1389114,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0296237
1406348,Asteraceae,Helenium,Helenium autumnale,42.5112,-107.0423,1807,1981,8,20,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1406348,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0296227
1406958,Asteraceae,Helenium,Helenium autumnale,41.3258,-105.6025,2177,1929,8,15,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1406958,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0296231
1407314,Asteraceae,Helenium,Helenium autumnale,41.7203,-105.6822,2134,1895,8,10,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1407314,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0296235
1410173,Asteraceae,Helenium,Helenium autumnale,41.3258,-105.6025,2177,1900,8,19,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1410173,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0296234
1410174,Asteraceae,Helenium,Helenium autumnale,41.3258,-105.6025,2177,1900,8,19,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1410174,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0296233
1428834,Asteraceae,Helenium,Helenium autumnale,41.3991,-105.8558,2190,1937,8,8,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1428834,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0296221
1430319,Asteraceae,Helenium,Helenium autumnale,41.3258,-105.6025,2177,1913,7,28,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1430319,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0296220
1434544,Asteraceae,Helenium,Helenium autumnale,41.5831,-109.9728,1918,1930,9,5,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1434544,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0296222
