Core_ID,Family,Genus,Binomial_Species,Latitude,Longitude,Elevation,Year,Month,Day,References,Image
478022,Asteraceae,Hymenoxys,Hymenoxys hoopesii,37.1,-106.44,3442,1902,8,2,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=478022,https://swbiodiversity.org//imglib/seinet/soro/CS/0011/113064_lg.jpg
478024,Asteraceae,Hymenoxys,Hymenoxys hoopesii,37.23,-106.62,3539,1986,8,22,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=478024,https://swbiodiversity.org//imglib/seinet/soro/CS/0011/113066_lg.jpg
478025,Asteraceae,Hymenoxys,Hymenoxys hoopesii,37.31,-106.61,3284,1945,8,2,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=478025,https://swbiodiversity.org//imglib/seinet/soro/CS/0011/113063_lg.jpg
478029,Asteraceae,Hymenoxys,Hymenoxys hoopesii,39.42,-106.63,2962,1946,7,10,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=478029,https://swbiodiversity.org//imglib/seinet/soro/CS/0011/113043_lg.jpg
478030,Asteraceae,Hymenoxys,Hymenoxys hoopesii,38.49,-105.11,1753,1935,7,14,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=478030,https://swbiodiversity.org//imglib/seinet/soro/CS/0011/113029_lg.jpg
478032,Asteraceae,Hymenoxys,Hymenoxys hoopesii,39.59,-107.88,2336,1979,8,8,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=478032,https://swbiodiversity.org//imglib/seinet/soro/CS/0011/113070_lg.jpg
478033,Asteraceae,Hymenoxys,Hymenoxys hoopesii,40.02,-107.12,3182,1955,7,26,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=478033,https://swbiodiversity.org//imglib/seinet/soro/CS/0011/113044_lg.jpg
478034,Asteraceae,Hymenoxys,Hymenoxys hoopesii,39.68,-108,2491,1979,7,13,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=478034,https://swbiodiversity.org//imglib/seinet/soro/CS/0011/113062_lg.jpg
478037,Asteraceae,Hymenoxys,Hymenoxys hoopesii,38.49,-107.18,2571,1945,6,26,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=478037,https://swbiodiversity.org//imglib/seinet/soro/CS/0011/113045_lg.jpg
478038,Asteraceae,Hymenoxys,Hymenoxys hoopesii,38.62,-107.39,3318,1969,7,30,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=478038,https://swbiodiversity.org//imglib/seinet/soro/CS/0011/113041_lg.jpg
478039,Asteraceae,Hymenoxys,Hymenoxys hoopesii,38.62,-107.39,3318,1969,7,30,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=478039,https://swbiodiversity.org//imglib/seinet/soro/CS/0011/113032_lg.jpg
478040,Asteraceae,Hymenoxys,Hymenoxys hoopesii,38.76,-107.1,2893,1966,8,12,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=478040,https://swbiodiversity.org//imglib/seinet/soro/CS/0011/113038_lg.jpg
478043,Asteraceae,Hymenoxys,Hymenoxys hoopesii,38.86,-107.13,2860,1967,7,9,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=478043,https://swbiodiversity.org//imglib/seinet/soro/CS/0011/113036_lg.jpg
478045,Asteraceae,Hymenoxys,Hymenoxys hoopesii,38.22,-107.53,2753,1963,7,12,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=478045,https://swbiodiversity.org//imglib/seinet/soro/CS/0011/113035_lg.jpg
