Core_ID,Family,Genus,Binomial_Species,Latitude,Longitude,Elevation,Year,Month,Day,References,Image
250651,Iridaceae,Iris,Iris missouriensis,39.7436111,-105.4852778,2374,2005,6,23,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=250651,https://api.idigbio.org/v2/media/4724a82f4fe69eb835efd65be7856778
495420,Iridaceae,Iris,Iris missouriensis,37.46,-105.86,2299,1944,6,7,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=495420,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/131357_lg.jpg
495421,Iridaceae,Iris,Iris missouriensis,37.19,-107.25,2080,1965,6,1,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=495421,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/131365_lg.jpg
495422,Iridaceae,Iris,Iris missouriensis,40.13,-105.36,2346,1971,6,22,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=495422,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/131356_lg.jpg
495423,Iridaceae,Iris,Iris missouriensis,39.64,-105.45,2545,1972,6,19,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=495423,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/131360_lg.jpg
495424,Iridaceae,Iris,Iris missouriensis,37.11,-106.24,2708,1985,6,12,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=495424,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/131368_lg.jpg
495425,Iridaceae,Iris,Iris missouriensis,37.07,-106.23,2605,1985,6,28,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=495425,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/131367_lg.jpg
495427,Iridaceae,Iris,Iris missouriensis,39.12,-104.91,2191,1944,6,7,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=495427,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/131358_lg.jpg
495428,Iridaceae,Iris,Iris missouriensis,40.08,-106.38,2253,1979,6,28,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=495428,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/131383_lg.jpg
495429,Iridaceae,Iris,Iris missouriensis,40.26,-105.83,2668,1961,6,26,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=495429,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/131380_lg.jpg
495430,Iridaceae,Iris,Iris missouriensis,40.91,-106.45,2823,1977,7,28,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=495430,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/131379_lg.jpg
495431,Iridaceae,Iris,Iris missouriensis,40.53,-106.28,2577,1974,7,24,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=495431,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/131382_lg.jpg
495432,Iridaceae,Iris,Iris missouriensis,40.56,-106.52,2547,1947,7,22,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=495432,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/131378_lg.jpg
495434,Iridaceae,Iris,Iris missouriensis,39.88,-105.2,1828,1973,6,11,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=495434,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/131381_lg.jpg
495436,Iridaceae,Iris,Iris missouriensis,40.74,-105.41,2207,1971,7,2,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=495436,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/131393_lg.jpg
495437,Iridaceae,Iris,Iris missouriensis,40.57,-105.09,1538,1896,5,12,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=495437,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/131389_lg.jpg
495438,Iridaceae,Iris,Iris missouriensis,40.85,-105.44,2159,1972,7,4,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=495438,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/131392_lg.jpg
495443,Iridaceae,Iris,Iris missouriensis,39.24,-107.68,2493,1969,6,14,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=495443,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/131402_lg.jpg
495444,Iridaceae,Iris,Iris missouriensis,37.62,-106.72,2868,1984,6,11,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=495444,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/131398_lg.jpg
495445,Iridaceae,Iris,Iris missouriensis,40.92,-108.94,2559,1982,6,30,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=495445,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/131397_lg.jpg
495446,Iridaceae,Iris,Iris missouriensis,38.45,-107.17,2331,1945,6,26,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=495446,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/131359_lg.jpg
495452,Iridaceae,Iris,Iris missouriensis,37.68,-106.33,2401,1984,6,3,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=495452,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/131405_lg.jpg
495453,Iridaceae,Iris,Iris missouriensis,38.22,-106.59,2967,1959,7,13,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=495453,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/131410_lg.jpg
495455,Iridaceae,Iris,Iris missouriensis,39.68,-106.08,2678,1972,6,24,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=495455,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/131406_lg.jpg
495456,Iridaceae,Iris,Iris missouriensis,39.68,-106.1,2684,1972,6,21,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=495456,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/131407_lg.jpg
518313,Iridaceae,Iris,Iris missouriensis,40.95,-105.34,2162,1948,6,6,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=518313,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/131362_lg.jpg
519532,Iridaceae,Iris,Iris missouriensis,40.74,-105.54,2393,2000,5,27,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=519532,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/131394_lg.jpg
520267,Iridaceae,Iris,Iris missouriensis,40.41,-106.37,2816,1993,6,30,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=520267,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/131374_lg.jpg
520273,Iridaceae,Iris,Iris missouriensis,40.09,-106.18,2430,1993,6,11,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=520273,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/131376_lg.jpg
520909,Iridaceae,Iris,Iris missouriensis,38.49,-106.57,2677,1998,5,31,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=520909,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/131375_lg.jpg
522661,Iridaceae,Iris,Iris missouriensis,40.9,-105.46,2224,2002,6,13,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=522661,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/131388_lg.jpg
525846,Iridaceae,Iris,Iris missouriensis,40.31,-106.07,2790,1993,7,8,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=525846,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/131371_lg.jpg
527278,Iridaceae,Iris,Iris missouriensis,40.94,-106.01,2410,2005,7,3,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=527278,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/131386_lg.jpg
527323,Iridaceae,Iris,Iris missouriensis,40.8,-105.55,2492,2005,6,26,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=527323,https://swbiodiversity.org//imglib/seinet/soro/CS/0016/164760_lg.jpg
529097,Iridaceae,Iris,Iris missouriensis,38.44,-106.77,2634,1998,6,11,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=529097,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/131372_lg.jpg
530203,Iridaceae,Iris,Iris missouriensis,39.82,-105.55,2764,2003,6,8,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=530203,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/131370_lg.jpg
1133122,Iridaceae,Iris,Iris missouriensis,44.5079,-109.406,2099,1997,6,20,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1133122,https://rmh.uwyo.edu/images/jpeg.php?Image=USFS0040610
1137327,Iridaceae,Iris,Iris missouriensis,44.4211,-109.3051,1815,1997,7,26,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1137327,https://rmh.uwyo.edu/images/jpeg.php?Image=USFS0040609
1137504,Iridaceae,Iris,Iris missouriensis,44.4066,-109.3454,2167,1997,7,26,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1137504,https://rmh.uwyo.edu/images/jpeg.php?Image=USFS0040608
1160795,Iridaceae,Iris,Iris missouriensis,44.10778,-109.35132,2476,2003,6,27,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1160795,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0065573
