Core_ID,Family,Genus,Binomial_Species,Latitude,Longitude,Elevation,Year,Month,Day,References,Image
274359,Fabaceae,Lathyrus,Lathyrus lanszwertii var. leucanthus,35.93,-106.4933,2742,2007,6,18,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=274359,https://swbiodiversity.org//imglib/h_seinet/seinet/TEUI/TEUI/TEUI0001/TEUI0001133_lg.jpg
492595,Fabaceae,Lathyrus,Lathyrus lanszwertii var. leucanthus,37.08,-106.33,3042,1986,6,17,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=492595,https://swbiodiversity.org//imglib/seinet/soro/CS/0012/127941_lg.jpg
492596,Fabaceae,Lathyrus,Lathyrus lanszwertii var. leucanthus,37.11,-106.31,2894,1985,6,13,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=492596,https://swbiodiversity.org//imglib/seinet/soro/CS/0012/127937_lg.jpg
492597,Fabaceae,Lathyrus,Lathyrus lanszwertii var. leucanthus,37.01,-106.45,3047,1952,6,24,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=492597,https://swbiodiversity.org//imglib/seinet/soro/CS/0012/127931_lg.jpg
492598,Fabaceae,Lathyrus,Lathyrus lanszwertii var. leucanthus,37.01,-106.45,3047,1952,6,24,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=492598,https://swbiodiversity.org//imglib/seinet/soro/CS/0012/127934_lg.jpg
492599,Fabaceae,Lathyrus,Lathyrus lanszwertii var. leucanthus,37.01,-106.45,3047,1952,6,24,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=492599,https://swbiodiversity.org//imglib/seinet/soro/CS/0012/127932_lg.jpg
492600,Fabaceae,Lathyrus,Lathyrus lanszwertii var. leucanthus,37.11,-106.33,2962,1986,6,7,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=492600,https://swbiodiversity.org//imglib/seinet/soro/CS/0012/127936_lg.jpg
492625,Fabaceae,Lathyrus,Lathyrus lanszwertii var. leucanthus,37.37,-107.96,2798,1934,6,6,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=492625,https://swbiodiversity.org//imglib/seinet/soro/CS/0012/127940_lg.jpg
520928,Fabaceae,Lathyrus,Lathyrus lanszwertii var. leucanthus,38.68,-106.64,3606,1998,7,3,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=520928,https://swbiodiversity.org//imglib/seinet/soro/CS/0012/127935_lg.jpg
528962,Fabaceae,Lathyrus,Lathyrus lanszwertii var. leucanthus,38.85,-107.3,2513,1997,6,21,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=528962,https://swbiodiversity.org//imglib/seinet/soro/CS/0012/127929_lg.jpg
531019,Fabaceae,Lathyrus,Lathyrus lanszwertii var. leucanthus,38.24,-106.88,3295,1998,8,11,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=531019,https://swbiodiversity.org//imglib/seinet/soro/CS/0012/127928_lg.jpg
1267121,Fabaceae,Lathyrus,Lathyrus lanszwertii var. leucanthus,41.0536,-106.9744,2748,1979,7,18,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1267121,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0174809
1267979,Fabaceae,Lathyrus,Lathyrus lanszwertii var. leucanthus,41.0985,-107.1263,2534,1988,7,13,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1267979,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0174805
1301588,Fabaceae,Lathyrus,Lathyrus lanszwertii var. leucanthus,36.8052,-106.1597,3075,2005,6,14,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1301588,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0121583
1301768,Fabaceae,Lathyrus,Lathyrus lanszwertii var. leucanthus,36.0907,-105.6108,2757,2005,6,17,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1301768,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0121569
1301797,Fabaceae,Lathyrus,Lathyrus lanszwertii var. leucanthus,36.3048,-105.4076,2927,2005,6,18,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1301797,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0121581
