Core_ID,Family,Genus,Binomial_Species,Latitude,Longitude,Elevation,Year,Month,Day,References,Image
496921,Liliaceae,Lilium,Lilium philadelphicum,39.64,-105.45,2545,1972,7,5,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=496921,https://swbiodiversity.org//imglib/seinet/soro/CS/0010/101685_lg.jpg
496922,Liliaceae,Lilium,Lilium philadelphicum,38.18,-105.56,2467,1946,6,29,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=496922,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/133211_lg.jpg
496926,Liliaceae,Lilium,Lilium philadelphicum,40.61,-105.19,1679,1896,7,2,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=496926,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/133220_lg.jpg
496927,Liliaceae,Lilium,Lilium philadelphicum,40.62,-105.22,1973,1897,7,11,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=496927,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/133217_lg.jpg
496928,Liliaceae,Lilium,Lilium philadelphicum,40.62,-105.22,1973,1897,7,11,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=496928,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/133218_lg.jpg
496929,Liliaceae,Lilium,Lilium philadelphicum,40.62,-105.35,2335,1896,7,1,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=496929,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/133216_lg.jpg
496930,Liliaceae,Lilium,Lilium philadelphicum,40.56,-105.18,1949,1922,7,5,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=496930,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/133219_lg.jpg
496931,Liliaceae,Lilium,Lilium philadelphicum,40.34,-105.57,2432,1921,7,17,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=496931,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/133213_lg.jpg
1127947,Liliaceae,Lilium,Lilium philadelphicum,39.3251,-105.413,2669,1996,8,8,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1127947,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0209427
1386757,Liliaceae,Lilium,Lilium philadelphicum,41.2319,-105.3901,2670,1947,7,25,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1386757,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0152514
1388303,Liliaceae,Lilium,Lilium philadelphicum,41.2716,-105.4138,2578,1956,6,25,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1388303,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0152515
1398697,Liliaceae,Lilium,Lilium philadelphicum,35.761,-105.45,2632,2003,7,6,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1398697,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0116812
1398784,Liliaceae,Lilium,Lilium philadelphicum,35.736,-105.523,2895,2003,7,7,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1398784,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0116811
1409845,Liliaceae,Lilium,Lilium philadelphicum,42.2549,-105.4882,2284,1900,7,10,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1409845,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0152828
1411765,Liliaceae,Lilium,Lilium philadelphicum,42.2693,-105.4687,2537,1975,8,7,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1411765,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0152823
1431313,Liliaceae,Lilium,Lilium philadelphicum,41.2823,-105.3741,2491,1964,7,13,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1431313,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0152824
1433253,Liliaceae,Lilium,Lilium philadelphicum,42.2693,-105.4687,2537,1982,7,17,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1433253,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0152820
1436203,Liliaceae,Lilium,Lilium philadelphicum,41.2823,-105.3741,2491,1964,7,16,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1436203,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0152822
1439838,Liliaceae,Lilium,Lilium philadelphicum,44.5704,-106.9595,2001,1956,7,6,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1439838,https://rmh.uwyo.edu/images/jpeg.php?Image=USFS0067638
1448947,Liliaceae,Lilium,Lilium philadelphicum,44.5851,-106.9595,1955,1912,7,10,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1448947,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0152821
1450321,Liliaceae,Lilium,Lilium philadelphicum,44.6439,-107.0203,1328,1909,6,29,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1450321,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0152827
