Core_ID,Family,Genus,Binomial_Species,Latitude,Longitude,Elevation,Year,Month,Day,References,Image
274342,Caprifoliaceae,Linnaea,Linnaea borealis,35.92672,-106.4933,2742,2007,6,18,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=274342,https://swbiodiversity.org//imglib/h_seinet/seinet/TEUI/TEUI/TEUI0004/TEUI0004883_lg.jpg
2104120,Caprifoliaceae,Linnaea,Linnaea borealis,37.70738,-107.60605,3311,2004,7,26,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2104120,https://api.idigbio.org/v2/media/8f5e83317fe4fe668e51d59aa7cdb66c
2444057,Linnaeaceae,Linnaea,Linnaea borealis,44.34195,-115.79221,1405,2010,7,11,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2444057,http://bry.byu.edu/Herbarium/imgbry/01/0179/BRYV0179131_lg.jpg
3028027,Caprifoliaceae,Linnaea,Linnaea borealis,39.005764,-107.037089,3380,1956,7,21,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3028027,https://swbiodiversity.org//imglib/h_seinet/intermt/RMBL/RMBL0001/RMBL0001315_lg.jpg
3039936,CAPRIFOLIACEAE,Linnaea,Linnaea borealis,40.939251,-105.980289,2403,1909,7,18,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3039936,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00030/KHD00030311_lg.jpg
3041297,CAPRIFOLIACEAE,Linnaea,Linnaea borealis,38.039978,-107.132379,3012,1985,7,11,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3041297,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00030/KHD00030309_lg.jpg
3042012,CAPRIFOLIACEAE,Linnaea,Linnaea borealis,40.345152,-105.652265,2637,1970,7,14,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3042012,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00030/KHD00030306_lg.jpg
3045660,CAPRIFOLIACEAE,Linnaea,Linnaea borealis,40.285328,-105.741014,2984,1950,8,2,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3045660,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00030/KHD00030308_lg.jpg
3046461,CAPRIFOLIACEAE,Linnaea,Linnaea borealis,39.877804,-105.436489,2968,1993,8,1,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3046461,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00030/KHD00030307_lg.jpg
3048069,CAPRIFOLIACEAE,Linnaea,Linnaea borealis,39.078404,-106.052093,2931,1997,8,8,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3048069,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00030/KHD00030314_lg.jpg
3048947,CAPRIFOLIACEAE,Linnaea,Linnaea borealis,40.107079,-105.74079,2792,1968,8,3,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3048947,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00030/KHD00030315_lg.jpg
3051208,CAPRIFOLIACEAE,Linnaea,Linnaea borealis,39.681483,-105.61384,2864,1929,9,1,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3051208,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00007/KHD00007526_lg.jpg
3051209,CAPRIFOLIACEAE,Linnaea,Linnaea borealis,39.903086,-105.587572,2869,1914,7,22,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3051209,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00007/KHD00007527_lg.jpg
3053215,CAPRIFOLIACEAE,Linnaea,Linnaea borealis,39.138129,-106.493466,3732,1986,8,21,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3053215,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00016/KHD00016603_lg.jpg
