Core_ID,Family,Genus,Binomial_Species,Latitude,Longitude,Elevation,Year,Month,Day,References,Image
1129634,Linaceae,Linum,Linum lewisii,41.8057,-106.3139,2154,1997,6,16,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1129634,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0250433
1130576,Linaceae,Linum,Linum lewisii,44.3748,-109.5837,3078,1996,7,25,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1130576,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0057051
1130763,Linaceae,Linum,Linum lewisii,44.479,-109.2648,1696,1996,6,9,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1130763,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0057050
1130874,Linaceae,Linum,Linum lewisii,44.8191,-109.2935,1848,1996,6,13,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1130874,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0057058
1130943,Linaceae,Linum,Linum lewisii,44.8191,-109.2935,1848,1996,6,13,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1130943,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0057057
1131003,Linaceae,Linum,Linum lewisii,44.5133,-109.1286,1556,1996,6,16,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1131003,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0057056
1131081,Linaceae,Linum,Linum lewisii,44.479,-109.3051,1727,1996,7,10,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1131081,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0057055
1131291,Linaceae,Linum,Linum lewisii,44.3023,-109.483,1860,1996,7,12,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1131291,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0057052
1131599,Linaceae,Linum,Linum lewisii,43.4058,-109.5857,2609,1996,7,16,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1131599,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0057054
1131886,Linaceae,Linum,Linum lewisii,43.5906,-109.9383,2664,1996,7,20,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1131886,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0057053
1132940,Linaceae,Linum,Linum lewisii,44.68778,-109.51167,2504,1989,6,27,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1132940,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0057042
1133086,Linaceae,Linum,Linum lewisii,44.4935,-109.3858,1864,1997,6,20,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1133086,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0057037
1133406,Linaceae,Linum,Linum lewisii,43.5618,-109.759,2396,1997,6,25,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1133406,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0057035
1133437,Linaceae,Linum,Linum lewisii,43.5906,-109.5798,2286,1997,6,25,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1133437,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0057038
1133466,Linaceae,Linum,Linum lewisii,43.6469,-109.9219,2417,1997,6,27,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1133466,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0057036
1133730,Linaceae,Linum,Linum lewisii,43.4754,-109.6196,2512,1997,6,29,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1133730,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0057040
1134777,Linaceae,Linum,Linum lewisii,44.2153,-109.6039,3006,1997,7,16,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1134777,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0057041
1137012,Linaceae,Linum,Linum lewisii,44.4763,-109.5435,2220,1997,6,14,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1137012,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0057049
1137191,Linaceae,Linum,Linum lewisii,44.7757,-109.4555,2376,1997,6,18,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1137191,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0057034
1137448,Linaceae,Linum,Linum lewisii,44.4066,-109.3253,2037,1997,7,26,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1137448,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0057043
1142924,Linaceae,Linum,Linum lewisii,42.3397,-106.0919,2203,1997,6,5,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1142924,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0250430
1143480,Linaceae,Linum,Linum lewisii,42.3397,-106.0919,2203,1997,6,5,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1143480,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0250431
1144977,Linaceae,Linum,Linum lewisii,42.3252,-107.4159,2013,1997,6,9,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1144977,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0250429
1145254,Linaceae,Linum,Linum lewisii,42.3252,-107.4159,2013,1997,6,9,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1145254,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0250428
1148309,Linaceae,Linum,Linum lewisii,42.5112,-106.3935,2014,1997,6,11,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1148309,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0250427
1148453,Linaceae,Linum,Linum lewisii,41.9221,-105.6543,2128,1997,6,25,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1148453,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0250426
1163702,Linaceae,Linum,Linum lewisii,44.5053,-109.5435,2491,1986,6,22,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1163702,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0056992
1165450,Linaceae,Linum,Linum lewisii,44.4763,-109.6643,2081,1986,6,13,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1165450,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0056991
1165520,Linaceae,Linum,Linum lewisii,44.479,-109.3454,1654,1986,6,15,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1165520,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0056993
1165925,Linaceae,Linum,Linum lewisii,44.4908,-109.624,2203,1987,6,16,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1165925,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0056995
1166040,Linaceae,Linum,Linum lewisii,44.4183,-109.5435,2439,1987,6,20,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1166040,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0056980
1166133,Linaceae,Linum,Linum lewisii,44.4908,-109.9261,2009,1987,6,23,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1166133,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0056994
1166309,Linaceae,Linum,Linum lewisii,44.5053,-109.6039,2254,1987,6,25,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1166309,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0056996
1168560,Linaceae,Linum,Linum lewisii,44.5875,-109.4555,2557,1988,6,22,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1168560,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0057007
1169506,Linaceae,Linum,Linum lewisii,44.65917,-109.37,2979,1988,7,26,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1169506,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0057045
