Core_ID,Family,Genus,Binomial_Species,Latitude,Longitude,Elevation,Year,Month,Day,References,Image
513027,Phrymaceae,Mimulus,Mimulus guttatus,37.48,-106.81,3308,1951,7,1,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=513027,https://swbiodiversity.org//imglib/seinet/soro/CS/0015/151720_lg.jpg
513031,Phrymaceae,Mimulus,Mimulus guttatus,40.04,-105.17,1564,1973,5,31,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=513031,https://swbiodiversity.org//imglib/seinet/soro/CS/0015/151733_lg.jpg
513032,Phrymaceae,Mimulus,Mimulus guttatus,37.03,-106.48,3127,1985,7,23,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=513032,https://swbiodiversity.org//imglib/seinet/soro/CS/0015/151762_lg.jpg
513033,Phrymaceae,Mimulus,Mimulus guttatus,37.37,-106.53,3265,1986,7,18,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=513033,https://swbiodiversity.org//imglib/seinet/soro/CS/0015/151745_lg.jpg
513034,Phrymaceae,Mimulus,Mimulus guttatus,37.18,-106.58,3608,1945,8,6,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=513034,https://swbiodiversity.org//imglib/seinet/soro/CS/0015/151747_lg.jpg
513036,Phrymaceae,Mimulus,Mimulus guttatus,37.23,-106.34,2922,1986,8,19,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=513036,https://swbiodiversity.org//imglib/seinet/soro/CS/0015/151744_lg.jpg
513037,Phrymaceae,Mimulus,Mimulus guttatus,37.19,-105.4,2454,1956,9,9,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=513037,https://swbiodiversity.org//imglib/seinet/soro/CS/0015/151737_lg.jpg
513038,Phrymaceae,Mimulus,Mimulus guttatus,37,-105.19,3187,1986,8,11,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=513038,https://swbiodiversity.org//imglib/seinet/soro/CS/0015/151743_lg.jpg
513039,Phrymaceae,Mimulus,Mimulus guttatus,37.67,-107.95,3142,1898,7,1,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=513039,https://swbiodiversity.org//imglib/seinet/soro/CS/0015/151753_lg.jpg
513041,Phrymaceae,Mimulus,Mimulus guttatus,39.8,-107.58,2916,1933,8,10,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=513041,https://swbiodiversity.org//imglib/seinet/soro/CS/0015/151725_lg.jpg
