Core_ID,Family,Genus,Binomial_Species,Latitude,Longitude,Elevation,Year,Month,Day,References,Image
490884,Ericaceae,Moneses,Moneses uniflora,40.57,-105.59,2756,1896,7,7,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=490884,
490887,Ericaceae,Moneses,Moneses uniflora,40.58,-105.64,2893,1896,7,7,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=490887,
490889,Ericaceae,Moneses,Moneses uniflora,37.03,-106.48,3127,1985,7,23,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=490889,
490890,Ericaceae,Moneses,Moneses uniflora,37.14,-106.4,2828,1986,8,24,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=490890,
490891,Ericaceae,Moneses,Moneses uniflora,37.18,-106.58,3608,1945,8,6,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=490891,
490892,Ericaceae,Moneses,Moneses uniflora,37.12,-106.47,3538,1986,8,19,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=490892,
490893,Ericaceae,Moneses,Moneses uniflora,39.9,-105.87,2950,1974,8,19,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=490893,
490894,Ericaceae,Moneses,Moneses uniflora,38.99,-107.01,2996,1959,7,28,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=490894,
490895,Ericaceae,Moneses,Moneses uniflora,38.76,-107.1,2894,1967,7,29,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=490895,
490896,Ericaceae,Moneses,Moneses uniflora,38.86,-107.13,2829,1967,9,2,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=490896,
490897,Ericaceae,Moneses,Moneses uniflora,38.22,-106.27,2726,1944,8,14,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=490897,
490898,Ericaceae,Moneses,Moneses uniflora,37.58,-107.55,2959,1985,8,4,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=490898,
490899,Ericaceae,Moneses,Moneses uniflora,37.57,-107.56,3222,1934,7,19,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=490899,
490900,Ericaceae,Moneses,Moneses uniflora,39.08,-106.38,2811,1898,7,15,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=490900,
490901,Ericaceae,Moneses,Moneses uniflora,40.52,-105.89,3255,1935,8,6,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=490901,
490902,Ericaceae,Moneses,Moneses uniflora,40.56,-105.58,2943,1924,8,20,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=490902,
490903,Ericaceae,Moneses,Moneses uniflora,40.59,-105.71,3353,1961,8,11,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=490903,
490905,Ericaceae,Moneses,Moneses uniflora,37.56,-106.79,3030,1985,9,3,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=490905,
490907,Ericaceae,Moneses,Moneses uniflora,37.56,-106.57,3486,1984,8,3,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=490907,
490909,Ericaceae,Moneses,Moneses uniflora,40.78,-106.77,2555,1962,7,25,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=490909,
490910,Ericaceae,Moneses,Moneses uniflora,38.32,-106.19,3311,1971,8,19,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=490910,
490911,Ericaceae,Moneses,Moneses uniflora,38.14,-105.7,3525,1942,8,11,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=490911,
490914,Ericaceae,Moneses,Moneses uniflora,39.46,-105.93,3700,1972,7,27,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=490914,
490915,Ericaceae,Moneses,Moneses uniflora,39.7,-106.14,2897,1972,7,11,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=490915,
516672,Ericaceae,Moneses,Moneses uniflora,37.28,-106.74,2715,1998,8,10,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=516672,
518169,Ericaceae,Moneses,Moneses uniflora,40.2,-106.14,3195,1994,7,11,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=518169,
526508,Ericaceae,Moneses,Moneses uniflora,40.08,-105.55,3184,2004,7,28,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=526508,
530195,Ericaceae,Moneses,Moneses uniflora,39.71,-106.01,3119,2003,8,19,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=530195,
1130006,Ericaceae,Moneses,Moneses uniflora,44.6743,-109.739,2569,1996,7,29,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1130006,
1135304,Ericaceae,Moneses,Moneses uniflora,43.4754,-109.7391,2961,1997,7,26,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1135304,
1163905,Ericaceae,Moneses,Moneses uniflora,44.6164,-109.8807,2484,1986,7,12,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1163905,
1164093,Ericaceae,Moneses,Moneses uniflora,44.544,-109.3947,2093,1986,8,4,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1164093,
1164382,Ericaceae,Moneses,Moneses uniflora,44.5585,-109.7795,2818,1986,8,14,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1164382,
1165072,Ericaceae,Moneses,Moneses uniflora,44.4618,-109.906,2179,1986,8,27,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1165072,
1166535,Ericaceae,Moneses,Moneses uniflora,44.4618,-109.9463,2580,1987,6,30,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1166535,
1166540,Ericaceae,Moneses,Moneses uniflora,44.3054,-109.2244,2970,1987,7,3,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1166540,
1167414,Ericaceae,Moneses,Moneses uniflora,44.6309,-109.4352,2802,1987,8,9,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1167414,
1167508,Ericaceae,Moneses,Moneses uniflora,44.4473,-109.765,2112,1987,8,12,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1167508,
1167541,Ericaceae,Moneses,Moneses uniflora,44.4328,-109.7851,2099,1987,8,14,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1167541,
1168529,Ericaceae,Moneses,Moneses uniflora,44.5585,-109.4352,2321,1988,6,22,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1168529,
1168674,Ericaceae,Moneses,Moneses uniflora,44.6019,-109.4555,2727,1988,6,22,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1168674,
1168710,Ericaceae,Moneses,Moneses uniflora,44.6019,-109.4352,2469,1988,6,22,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1168710,
1169164,Ericaceae,Moneses,Moneses uniflora,44.4328,-109.4629,2075,1988,7,11,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1169164,
1170187,Ericaceae,Moneses,Moneses uniflora,44.6309,-109.82,3041,1988,8,17,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1170187,
1179628,Ericaceae,Moneses,Moneses uniflora,45.2061,-109.638,1922,1994,6,26,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1179628,
1180337,Ericaceae,Moneses,Moneses uniflora,45.1614,-109.6587,2358,1994,7,19,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1180337,
1180445,Ericaceae,Moneses,Moneses uniflora,45.2523,-109.9713,2017,1994,7,20,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1180445,
1180956,Ericaceae,Moneses,Moneses uniflora,45.0804,-110.6271,2091,1994,8,10,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1180956,
