Core_ID,Family,Genus,Binomial_Species,Latitude,Longitude,Elevation,Year,Month,Day,References,Image
498843,Onagraceae,Oenothera,Oenothera howardii,40.02,-105.2,1605,1933,6,21,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=498843,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/135552_lg.jpg
498845,Onagraceae,Oenothera,Oenothera howardii,39.54,-105.08,1659,1969,5,24,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=498845,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/135550_lg.jpg
498846,Onagraceae,Oenothera,Oenothera howardii,40.51,-105.07,1509,1898,6,10,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=498846,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/135548_lg.jpg
498847,Onagraceae,Oenothera,Oenothera howardii,40.51,-105.07,1509,1898,7,9,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=498847,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/135547_lg.jpg
498848,Onagraceae,Oenothera,Oenothera howardii,40.65,-105.13,1564,1898,6,7,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=498848,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/135549_lg.jpg
498849,Onagraceae,Oenothera,Oenothera howardii,40.62,-105.11,1532,1895,6,1,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=498849,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/135551_lg.jpg
498850,Onagraceae,Oenothera,Oenothera howardii,40.53,-105.13,1601,1896,6,12,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=498850,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/135546_lg.jpg
498851,Onagraceae,Oenothera,Oenothera howardii,38.28,-104.76,1505,1983,7,21,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=498851,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/135554_lg.jpg
519046,Onagraceae,Oenothera,Oenothera howardii,39.75,-105.19,1842,1983,7,1,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=519046,https://swbiodiversity.org//imglib/seinet/soro/CS/0010/101813_lg.jpg
520887,Onagraceae,Oenothera,Oenothera howardii,40.28,-105.17,1594,2001,5,25,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=520887,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/135302_lg.jpg
521631,Onagraceae,Oenothera,Oenothera howardii,39.75,-105.19,1842,1983,6,30,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=521631,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/135301_lg.jpg
527008,Onagraceae,Oenothera,Oenothera howardii,40.47,-105.12,1591,2000,5,18,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=527008,https://swbiodiversity.org//imglib/seinet/soro/CS/0013/135545_lg.jpg
2885541,Onagraceae,Oenothera,Oenothera howardii,40.6,-109.43,1813,1980,6,19,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2885541,http://sweetgum.nybg.org/images3/2189/090/00998862.jpg
2888108,Onagraceae,Oenothera,Oenothera howardii,40.98804,-109.7987,2117,1966,6,6,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2888108,http://sweetgum.nybg.org/images3/2189/067/00998839.jpg
2898109,Onagraceae,Oenothera,Oenothera howardii,40.94261,-109.4354,1946,2007,6,9,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2898109,http://sweetgum.nybg.org/images3/2189/211/01083087.jpg
3038696,ONAGRACEAE,Oenothera,Oenothera howardii,40.99712,-105.3883,2248,1979,6,8,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3038696,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00012/KHD00012937_lg.jpg
3039257,ONAGRACEAE,Oenothera,Oenothera howardii,39.90669,-105.1926,1812,1995,6,2,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3039257,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00005/KHD00005640_lg.jpg
3051854,ONAGRACEAE,Oenothera,Oenothera howardii,39.82337,-105.0984,1683,2003,6,10,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3051854,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00014/KHD00014749_lg.jpg
