Core_ID,Family,Genus,Binomial_Species,Latitude,Longitude,Elevation,Year,Month,Day,References,Image
514738,Solanaceae,Physalis,Physalis heterophylla,39.52,-105.07,1679,1955,7,18,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=514738,https://swbiodiversity.org//imglib/seinet/soro/CS/0015/153691_lg.jpg
514751,Solanaceae,Physalis,Physalis heterophylla,39.55,-105.13,1777,1954,7,22,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=514751,https://swbiodiversity.org//imglib/seinet/soro/CS/0015/153679_lg.jpg
514828,Solanaceae,Physalis,Physalis heterophylla,40.57,-105.03,1497,1897,7,10,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=514828,https://swbiodiversity.org//imglib/seinet/soro/CS/0015/153692_lg.jpg
514829,Solanaceae,Physalis,Physalis heterophylla,40.55,-105.14,1624,1895,7,24,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=514829,https://swbiodiversity.org//imglib/seinet/soro/CS/0015/153678_lg.jpg
514830,Solanaceae,Physalis,Physalis heterophylla,40.61,-105.3,2250,1895,6,25,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=514830,https://swbiodiversity.org//imglib/seinet/soro/CS/0015/153686_lg.jpg
514833,Solanaceae,Physalis,Physalis heterophylla,40.59,-105.19,1842,1895,7,24,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=514833,https://swbiodiversity.org//imglib/seinet/soro/CS/0015/153685_lg.jpg
524120,Solanaceae,Physalis,Physalis heterophylla,40.57,-105.18,1891,2003,7,24,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=524120,https://swbiodiversity.org//imglib/seinet/soro/CS/0015/153680_lg.jpg
3038392,SOLANACEAE,Physalis,Physalis heterophylla,39.99961,-105.3063,2087,1939,6,8,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3038392,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00007/KHD00007042_lg.jpg
3038393,Solanaceae,Physalis,Physalis heterophylla,40.02892,-105.2105,1593,1941,8,21,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3038393,https://swbiodiversity.org//imglib/seinet/swnode/DBG_KHD/KHD00007/KHD00007043_lg.jpg
3045265,SOLANACEAE,Physalis,Physalis heterophylla,39.55016,-105.0991,1697,1981,8,25,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3045265,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00036/KHD00036714_lg.jpg
3048317,SOLANACEAE,Physalis,Physalis heterophylla,39.85583,-105.4167,2821,1998,7,12,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3048317,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00007/KHD00007045_lg.jpg
3198724,SOLANACEAE,Physalis,Physalis heterophylla,40.99429,-105.0216,1968,2010,7,20,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3198724,https://swbiodiversity.org//imglib/seinet/swnode/DBG_KHD/KHD00024/KHD00024043_lg.jpg
6802554,Solanaceae,Physalis,Physalis heterophylla,39.54194,-105.1133,1736,2006,7,16,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=6802554,https://swbiodiversity.org//imglib/h_seinet/seinet/DBG_KHD/KHD00058/KHD00058193_lg.jpg
