Core_ID,Family,Genus,Binomial_Species,Latitude,Longitude,Elevation,Year,Month,Day,References,Image
1133414,Rosaceae,Rosa,Rosa sayi,43.5618,-109.759,2333,1997,6,25,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1133414,https://rmh.uwyo.edu/images/jpeg.php?Image=USFS0040435
1133709,Rosaceae,Rosa,Rosa sayi,43.4754,-109.6196,2608,1997,6,29,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1133709,https://rmh.uwyo.edu/images/jpeg.php?Image=USFS0040434
1134292,Rosaceae,Rosa,Rosa sayi,43.4202,-109.5857,2487,1997,7,8,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1134292,https://rmh.uwyo.edu/images/jpeg.php?Image=USFS0040433
1134434,Rosaceae,Rosa,Rosa sayi,44.4328,-109.8657,2193,1997,7,13,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1134434,https://rmh.uwyo.edu/images/jpeg.php?Image=USFS0040432
1134920,Rosaceae,Rosa,Rosa sayi,44.7033,-109.4352,2062,1997,7,18,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1134920,https://rmh.uwyo.edu/images/jpeg.php?Image=USFS0040431
1135417,Rosaceae,Rosa,Rosa sayi,43.4058,-109.5857,2636,1997,7,28,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1135417,https://rmh.uwyo.edu/images/jpeg.php?Image=USFS0040430
1163522,Rosaceae,Rosa,Rosa sayi,44.5053,-109.7046,2348,1986,6,19,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1163522,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0062629
1163798,Rosaceae,Rosa,Rosa sayi,44.5875,-109.9617,2652,1986,7,12,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1163798,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0062627
1164599,Rosaceae,Rosa,Rosa sayi,44.4908,-109.9261,2125,1986,8,19,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1164599,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0062633
1164769,Rosaceae,Rosa,Rosa sayi,44.4618,-109.8053,2229,1986,8,22,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1164769,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0062632
