Core_ID,Family,Genus,Binomial_Species,Latitude,Longitude,Elevation,Year,Month,Day,References,Image
510215,Rosaceae,Rubus,Rubus deliciosus,40.13,-105.36,2346,1971,6,29,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=510215,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/148569_lg.jpg
510217,Rosaceae,Rubus,Rubus deliciosus,39.97,-105.23,1653,1896,5,23,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=510217,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/148575_lg.jpg
510218,Rosaceae,Rubus,Rubus deliciosus,40.01,-105.41,2247,1965,6,24,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=510218,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/148571_lg.jpg
510219,Rosaceae,Rubus,Rubus deliciosus,38.72,-106.17,2543,1956,7,2,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=510219,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/148567_lg.jpg
510220,Rosaceae,Rubus,Rubus deliciosus,38.72,-106.17,2543,1940,6,2,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=510220,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/148570_lg.jpg
510221,Rosaceae,Rubus,Rubus deliciosus,39.66,-105.45,3006,1972,6,28,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=510221,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/148568_lg.jpg
510223,Rosaceae,Rubus,Rubus deliciosus,39.12,-104.91,2191,1896,6,3,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=510223,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/148566_lg.jpg
510224,Rosaceae,Rubus,Rubus deliciosus,39.12,-104.91,2191,1897,6,12,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=510224,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/148573_lg.jpg
510226,Rosaceae,Rubus,Rubus deliciosus,38.85,-104.95,2442,1937,7,11,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=510226,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/148581_lg.jpg
510227,Rosaceae,Rubus,Rubus deliciosus,38.81,-105.01,3311,1935,6,5,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=510227,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/148576_lg.jpg
510228,Rosaceae,Rubus,Rubus deliciosus,38.65,-104.85,2039,1935,6,2,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=510228,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/148578_lg.jpg
510229,Rosaceae,Rubus,Rubus deliciosus,38.44,-105.49,2020,1954,7,5,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=510229,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/148586_lg.jpg
510230,Rosaceae,Rubus,Rubus deliciosus,38.49,-105.11,1784,1935,7,14,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=510230,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/148583_lg.jpg
510231,Rosaceae,Rubus,Rubus deliciosus,39.59,-107.18,2175,1951,6,7,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=510231,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/148587_lg.jpg
510232,Rosaceae,Rubus,Rubus deliciosus,39.65,-105.19,1812,1895,5,18,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=510232,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/148588_lg.jpg
510233,Rosaceae,Rubus,Rubus deliciosus,39.66,-105.2,1876,1939,5,7,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=510233,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/148589_lg.jpg
510234,Rosaceae,Rubus,Rubus deliciosus,40.67,-105.24,1698,1965,5,19,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=510234,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/148623_lg.jpg
510236,Rosaceae,Rubus,Rubus deliciosus,40.61,-105.36,2321,1895,8,18,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=510236,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/148618_lg.jpg
510240,Rosaceae,Rubus,Rubus deliciosus,40.71,-105.29,2107,1972,6,22,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=510240,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/148624_lg.jpg
510242,Rosaceae,Rubus,Rubus deliciosus,40.56,-105.15,1662,1898,5,28,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=510242,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/148616_lg.jpg
510243,Rosaceae,Rubus,Rubus deliciosus,40.56,-105.15,1662,1898,5,28,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=510243,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/148626_lg.jpg
