Core_ID,Family,Genus,Binomial_Species,Latitude,Longitude,Elevation,Year,Month,Day,References,Image
22001281,Rosaceae,Rubus,Rubus idaeus,40.53477,-105.8183,3302,1992,7,22,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=22001281,https://swbiodiversity.org//imglib/seinet/soro/GREE_GREE/00028/28760_lg.jpg
22001282,Rosaceae,Rubus,Rubus idaeus,40.37721,-105.5217,2324,2018,2,8,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=22001282,https://swbiodiversity.org//imglib/seinet/soro/GREE_GREE/00028/28761_lg.jpg
13940312,Rosaceae,Rubus,Rubus idaeus,35.8289,-106.5768,2505,2004,7,9,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13940312,https://botanydb.colorado.edu/COLO_V/01136/01136316.jpg
13940311,Rosaceae,Rubus,Rubus idaeus,35.89225,-106.5537,2867,2003,7,18,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13940311,https://botanydb.colorado.edu/COLO_V/01136/01136308.jpg
4122803,Rosaceae,Rubus,Rubus idaeus,35.91444,-106.5754,2783,2001,8,14,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4122803,https://api.idigbio.org/v2/media/f5e1dafec33a3cc0480e86ced31af4f6
22001284,Rosaceae,Rubus,Rubus idaeus,35.9485,-106.754,2588,2002,7,14,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=22001284,https://swbiodiversity.org//imglib/seinet/soro/GREE_GREE/00028/28763_lg.jpg
22001279,Rosaceae,Rubus,Rubus idaeus,35.99413,-106.4742,2853,2003,8,18,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=22001279,https://swbiodiversity.org//imglib/seinet/soro/GREE_GREE/00028/28758_lg.jpg
4029895,Rosaceae,Rubus,Rubus idaeus,36.0328,-106.8545,2886,1964,6,13,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4029895,https://api.idigbio.org/v2/media/5520e5f86b11db97656cb57415c78cd0
6046477,Rosaceae,Rubus,Rubus idaeus,35.7783,-106.361,2234,2003,7,28,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=6046477,https://herbarium.sanjuancollege.edu/herbphotos/SJNM-V-006/SJNM-V-0063114.jpg
13940308,Rosaceae,Rubus,Rubus idaeus,35.7794,-106.4366,2318,2003,6,23,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13940308,https://botanydb.colorado.edu/COLO_V/01136/01136274.jpg
22001286,Rosaceae,Rubus,Rubus idaeus,35.83195,-106.3882,2556,2002,6,29,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=22001286,https://swbiodiversity.org//imglib/seinet/soro/GREE_GREE/00028/28765_lg.jpg
22001283,Rosaceae,Rubus,Rubus idaeus,36.75105,-106.3805,2799,1946,6,10,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=22001283,https://swbiodiversity.org//imglib/seinet/soro/GREE_GREE/00028/28762_lg.jpg
4121565,Rosaceae,Rubus,Rubus idaeus,36.91797,-105.3008,3436,2007,7,7,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4121565,https://api.idigbio.org/v2/media/f6e572a80fd2be0dc906e644440b0bcd
30386129,Rosaceae,Rubus,Rubus idaeus,37.98512,-107.2228,3475,1979,8,9,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=30386129,https://herbarium.sanjuancollege.edu/herbphotos/sjnm-v-006/sjnm-v-0063112.jpg
3411368,Rosaceae,Rubus,Rubus idaeus,37.2152,-106.437,3075,1985,9,12,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3411368,https://api.idigbio.org/v2/media/2c18666718278009284ebfaaf0cdbeb4?size=fullsize
19826433,Rosaceae,Rubus,Rubus idaeus,37.6,-105.55,2907,1973,9,30,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=19826433,https://api.idigbio.org/v2/media/59a3504632ea8d07277244fe50d2f62f?size=fullsize
24717553,Rosaceae,Rubus,Rubus idaeus,37.37911,-106.3456,2845,2013,6,25,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=24717553,http://sweetgum.nybg.org/images3/3007/509/03676299.jpg
19826432,Rosaceae,Rubus,Rubus idaeus,37.46667,-106.3333,2940,1995,8,31,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=19826432,https://api.idigbio.org/v2/media/9b926143117d9ff032b495c9c732f935?size=fullsize
24620356,Rosaceae,Rubus,Rubus idaeus,36.96669,-105.1718,2851,2007,7,13,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=24620356,https://botanydb.colorado.edu/COLO_V/01136/01136407.jpg
3231630,Rosaceae,Rubus,Rubus idaeus,38.89944,-107.1071,3365,1967,7,23,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3231630,https://swbiodiversity.org//imglib/storage/portals/seinet/sernec/wsc/plantae/WSC0003/WSC0003460_lg.jpg
28903658,Rosaceae,Rubus,Rubus idaeus,37.34404,-107.706,2400,2020,6,21,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=28903658,https://swbiodiversity.org//imglib/seinet/swnode/ASU_Plants/ASU0311/ASU0311750_lg.jpg
26764317,Rosaceae,Rubus,Rubus idaeus,37.80166,-107.6633,2844,2006,8,21,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=26764317,http://bry.byu.edu/Herbarium/imgbry/02/0260/BRYV0260470_lg.jpg
16900249,Rosaceae,Rubus,Rubus idaeus,38.73302,-105.0081,3048,1973,7,21,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=16900249,https://api.idigbio.org/v2/media/4397e90d03cec4046295365df3487a27
16905229,Rosaceae,Rubus,Rubus idaeus,38.77475,-104.9126,2560,2008,9,2,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=16905229,https://api.idigbio.org/v2/media/3cded1415a4c690b61c075b2b005f088
16900247,Rosaceae,Rubus,Rubus idaeus,38.73082,-104.8901,2696,1975,9,4,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=16900247,https://api.idigbio.org/v2/media/8883f76a2fe09c1f35315daf134a7666
16900251,Rosaceae,Rubus,Rubus idaeus,38.69516,-105.0504,2749,1968,9,18,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=16900251,https://api.idigbio.org/v2/media/fbcecaf039d3fd0f53327a2ea5907ac5
16900250,Rosaceae,Rubus,Rubus idaeus,38.8486,-105.1715,2830,1981,7,9,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=16900250,https://api.idigbio.org/v2/media/ce80d758d08943cc75440d908545bcb8
16900245,Rosaceae,Rubus,Rubus idaeus,38.81723,-104.8961,2223,1978,7,20,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=16900245,https://api.idigbio.org/v2/media/f07d1342be8968a6906efef3e6bd2c1f
16900248,Rosaceae,Rubus,Rubus idaeus,38.89138,-105.187,2932,1980,7,4,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=16900248,https://api.idigbio.org/v2/media/21ef36be97c95b26ee4aeb649066bec7
16900252,Rosaceae,Rubus,Rubus idaeus,38.89141,-105.1306,3030,1985,9,9,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=16900252,https://api.idigbio.org/v2/media/50012278b3188c01aad30099af400428
16900246,Rosaceae,Rubus,Rubus idaeus,38.88972,-104.9472,2298,1978,7,28,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=16900246,https://api.idigbio.org/v2/media/a5651e80b6060c445385d1d94782ebce
4107793,Rosaceae,Rubus,Rubus idaeus,35.79967,-106.3084,2078,2003,8,5,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4107793,https://api.idigbio.org/v2/media/d02dc975cf12bf086967c90c2716b0ec
3111167,Rosaceae,Rubus,Rubus idaeus,37.44128,-108.0321,3282,1963,7,20,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3111167,https://api.idigbio.org/v2/media/3e081654c5f75c9fb9fe3cf987f9599d
20865150,Rosaceae,Rubus,Rubus idaeus,39.31359,-105.0482,2340,2017,8,7,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=20865150,https://swbiodiversity.org//imglib/seinet/swnode/DBG_KHD/KHD00072/KHD00072808_lg.jpg
20864949,Rosaceae,Rubus,Rubus idaeus,39.30975,-105.0412,2259,2017,7,11,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=20864949,https://swbiodiversity.org//imglib/storage/portals/seinet/arizona/DBG_KHD/KHD00068/KHD00068717_lg.jpg
20864769,Rosaceae,Rubus,Rubus idaeus,39.31369,-105.0464,2340,2017,6,29,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=20864769,https://swbiodiversity.org//imglib/seinet/swnode/DBG_KHD/KHD00070/KHD00070722_lg.jpg
3037473,ROSACEAE,Rubus,Rubus idaeus,39.61666,-105.4167,2440,1974,6,20,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3037473,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00038/KHD00038976_lg.jpg
3037474,ROSACEAE,Rubus,Rubus idaeus,39.61666,-105.4167,2440,1974,7,18,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3037474,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00038/KHD00038986_lg.jpg
3044302,ROSACEAE,Rubus,Rubus idaeus,39.68145,-105.65,2930,1971,7,10,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3044302,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00038/KHD00038977_lg.jpg
3044787,ROSACEAE,Rubus,Rubus idaeus,39.69007,-105.4365,2618,1936,7,15,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3044787,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00037/KHD00037055_lg.jpg
3044301,ROSACEAE,Rubus,Rubus idaeus,39.69708,-105.2283,2156,1979,6,28,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3044301,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00038/KHD00038984_lg.jpg
3039438,ROSACEAE,Rubus,Rubus idaeus,39.84796,-105.4185,2753,1993,7,4,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3039438,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00038/KHD00038985_lg.jpg
3046432,ROSACEAE,Rubus,Rubus idaeus,39.86249,-105.3435,2417,1993,6,27,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3046432,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00038/KHD00038989_lg.jpg
5734446,Rosaceae,Rubus,Rubus idaeus,39.989,-105.577,3028,1993,8,11,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=5734446,https://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/089/LSU00089800_L.JPG
3050703,ROSACEAE,Rubus,Rubus idaeus,39.93169,-105.3908,2626,2001,8,4,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3050703,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00006/KHD00006324_lg.jpg
26764451,Rosaceae,Rubus,Rubus idaeus,40.67583,-110.947,2976,1979,7,25,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=26764451,http://bry.byu.edu/Herbarium/imgbry/02/0260/BRYV0260518_lg.jpg
