Core_ID,Family,Genus,Binomial_Species,Latitude,Longitude,Elevation,Year,Month,Day,References,Image
510293,Rosaceae,Rubus,Rubus parviflorus,37.35,-106.53,3095,1945,8,1,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=510293,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/148672_lg.jpg
510294,Rosaceae,Rubus,Rubus parviflorus,37.67,-107.95,3142,1898,7,1,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=510294,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/148685_lg.jpg
510295,Rosaceae,Rubus,Rubus parviflorus,39.62,-106.47,2381,1942,8,22,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=510295,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/148690_lg.jpg
510296,Rosaceae,Rubus,Rubus parviflorus,40.11,-105.75,2601,1957,8,3,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=510296,https://swbiodiversity.org//imglib/seinet/soro/CS/0010/102473_lg.jpg
510297,Rosaceae,Rubus,Rubus parviflorus,38.85,-107.13,2963,1975,8,5,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=510297,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/148688_lg.jpg
510298,Rosaceae,Rubus,Rubus parviflorus,40.38,-106.61,2887,1935,8,6,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=510298,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/148681_lg.jpg
510300,Rosaceae,Rubus,Rubus parviflorus,37.42,-107.73,3100,1962,8,18,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=510300,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/148682_lg.jpg
510301,Rosaceae,Rubus,Rubus parviflorus,37.39,-107.96,2741,1934,6,6,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=510301,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/148671_lg.jpg
510302,Rosaceae,Rubus,Rubus parviflorus,37.48,-106.8,3340,1955,6,23,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=510302,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/148673_lg.jpg
510303,Rosaceae,Rubus,Rubus parviflorus,37.44,-106.88,2457,1948,7,2,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=510303,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/148684_lg.jpg
510304,Rosaceae,Rubus,Rubus parviflorus,39.43,-105.08,1946,1985,8,22,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=510304,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/148674_lg.jpg
510307,Rosaceae,Rubus,Rubus parviflorus,39.86,-107.75,2400,1982,8,1,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=510307,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/148675_lg.jpg
