Core_ID,Family,Genus,Binomial_Species,Latitude,Longitude,Elevation,Year,Month,Day,References,Image
2787111,Asteraceae,Rudbeckia,Rudbeckia ampla,41.29831,-106.1417,2510,1900,7,26,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2787111,http://sweetgum.nybg.org/images3/517/961/00232818.jpg
2787112,Asteraceae,Rudbeckia,Rudbeckia ampla,41.29831,-106.1417,2510,1900,7,26,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2787112,http://sweetgum.nybg.org/images3/517/962/00232819.jpg
3027430,Asteraceae,Rudbeckia,Rudbeckia ampla,38.22423,-107.0314,2916,1962,8,17,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3027430,https://swbiodiversity.org//imglib/h_seinet/intermt/RMBL/RMBL0000/RMBL0000768_lg.jpg
3027431,Asteraceae,Rudbeckia,Rudbeckia ampla,38.95135,-107.2777,2259,1958,7,29,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3027431,https://swbiodiversity.org//imglib/h_seinet/intermt/RMBL/RMBL0000/RMBL0000771_lg.jpg
3027432,Asteraceae,Rudbeckia,Rudbeckia ampla,38.51911,-107.63,2164,1965,7,20,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3027432,https://swbiodiversity.org//imglib/h_seinet/intermt/RMBL/RMBL0000/RMBL0000772_lg.jpg
3198837,ASTERACEAE,Rudbeckia,Rudbeckia ampla,40.4029,-105.6188,2657,1966,8,26,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3198837,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00023/KHD00023306_lg.jpg
3198838,ASTERACEAE,Rudbeckia,Rudbeckia ampla,40.40266,-105.6237,2630,1969,8,26,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3198838,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00023/KHD00023330_lg.jpg
3198839,ASTERACEAE,Rudbeckia,Rudbeckia ampla,40.97925,-105.1827,2045,2010,7,29,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3198839,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00024/KHD00024163_lg.jpg
3198840,ASTERACEAE,Rudbeckia,Rudbeckia ampla,40.97925,-105.1827,2045,2010,7,29,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3198840,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00024/KHD00024164_lg.jpg
3356096,Asteraceae,Rudbeckia,Rudbeckia ampla,37.60162,-106.6738,2741,2012,7,19,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3356096,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00029/KHD00029759_lg.jpg
3364844,Asteraceae,Rudbeckia,Rudbeckia ampla,38.08241,-105.5634,2711,2008,8,5,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3364844,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00046/KHD00046426_lg.jpg
3524294,Asteraceae,Rudbeckia,Rudbeckia ampla,37.54556,-107.805,2533,1996,9,9,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3524294,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD/KHD00052/KHD00052893_lg.jpg
5332701,Asteraceae,Rudbeckia,Rudbeckia ampla,41.29831,-106.1417,2510,1900,7,26,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=5332701,https://swbiodiversity.org//imglib/storage/reno/plantae/00009/9765_lg.jpg
6780758,Asteraceae,Rudbeckia,Rudbeckia ampla,37.97877,-105.0683,2759,2008,8,6,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=6780758,https://swbiodiversity.org//imglib/h_seinet/seinet/DBG_KHD/KHD00056/KHD00056753_lg.jpg
11798864,Asteraceae,Rudbeckia,Rudbeckia ampla,41.29831,-106.1417,2510,1900,7,26,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=11798864,http://mam.ansp.org/image/CM/Fullsize/108/CM108543.jpg
13794396,ROSACEAE,Rudbeckia,Rudbeckia ampla,39.45905,-105.6617,2768,1964,7,30,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13794396,https://botanydb.colorado.edu/COLO_V/01799/01799139.jpg
13855001,ASTERACEAE,Rudbeckia,Rudbeckia ampla,39.5462,-105.3233,2479,1992,7,29,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13855001,https://botanydb.colorado.edu/COLO_V/00125/00125070.jpg
13855002,ASTERACEAE,Rudbeckia,Rudbeckia ampla,39.95557,-105.3173,2094,1991,7,19,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13855002,https://botanydb.colorado.edu/COLO_V/00125/00125088.jpg
13855003,ASTERACEAE,Rudbeckia,Rudbeckia ampla,37.59932,-105.2374,2929,1987,7,22,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13855003,https://botanydb.colorado.edu/COLO_V/00125/00125096.jpg
13855004,ASTERACEAE,Rudbeckia,Rudbeckia ampla,40.35071,-105.6209,2520,1988,8,4,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13855004,https://botanydb.colorado.edu/COLO_V/00125/00125104.jpg
13855005,ASTERACEAE,Rudbeckia,Rudbeckia ampla,39.18616,-105.388,2557,1979,8,12,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13855005,https://botanydb.colorado.edu/COLO_V/00125/00125112.jpg
13855006,ASTERACEAE,Rudbeckia,Rudbeckia ampla,37.46721,-105.5158,2382,1936,7,29,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13855006,https://botanydb.colorado.edu/COLO_V/00125/00125120.jpg
13855007,ASTERACEAE,Rudbeckia,Rudbeckia ampla,37.2643,-105.9785,2322,1931,8,31,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13855007,https://botanydb.colorado.edu/COLO_V/00125/00125138.jpg
13855008,ASTERACEAE,Rudbeckia,Rudbeckia ampla,39.93833,-105.3482,2190,1907,8,24,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13855008,https://botanydb.colorado.edu/COLO_V/00125/00125146.jpg
13855009,ASTERACEAE,Rudbeckia,Rudbeckia ampla,37.27838,-106.111,2384,1984,7,10,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13855009,https://botanydb.colorado.edu/COLO_V/00125/00125153.jpg
13855010,ASTERACEAE,Rudbeckia,Rudbeckia ampla,37.27838,-106.111,2384,1984,7,10,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13855010,https://botanydb.colorado.edu/COLO_V/00125/00125161.jpg
13855011,ASTERACEAE,Rudbeckia,Rudbeckia ampla,37.20084,-105.4239,2429,1929,7,21,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13855011,https://botanydb.colorado.edu/COLO_V/00125/00125179.jpg
13855012,ASTERACEAE,Rudbeckia,Rudbeckia ampla,37.40052,-105.5164,2358,1934,8,12,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13855012,https://botanydb.colorado.edu/COLO_V/00125/00125187.jpg
13855013,ASTERACEAE,Rudbeckia,Rudbeckia ampla,40.04272,-105.4344,2462,1901,8,16,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13855013,https://botanydb.colorado.edu/COLO_V/00125/00125195.jpg
13855014,ASTERACEAE,Rudbeckia,Rudbeckia ampla,40.01093,-105.3258,1882,1921,7,16,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13855014,https://botanydb.colorado.edu/COLO_V/00125/00125203.jpg
13855015,ASTERACEAE,Rudbeckia,Rudbeckia ampla,39.54645,-105.089,1689,1981,8,30,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13855015,https://botanydb.colorado.edu/COLO_V/00125/00125211.jpg
