Core_ID,Family,Genus,Binomial_Species,Latitude,Longitude,Elevation,Year,Month,Day,References,Image
2054609,Asteraceae,Rudbeckia,Rudbeckia hirta,40.37806,-105.5175,2316,1971,7,17,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2054609,https://swbiodiversity.org//imglib/h_seinet/seinet/DES/DES00004/DES00004353_lg.jpg
3027433,Asteraceae,Rudbeckia,Rudbeckia hirta,40.08156,-105.3747,2346,1958,7,8,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3027433,https://swbiodiversity.org//imglib/h_seinet/intermt/RMBL/RMBL0000/RMBL0000769_lg.jpg
3036893,ASTERACEAE,Rudbeckia,Rudbeckia hirta,39.5478,-105.0964,1683,1982,6,19,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3036893,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00009/KHD00009317_lg.jpg
3038156,ASTERACEAE,Rudbeckia,Rudbeckia hirta,39.5478,-105.0964,1683,1981,7,6,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3038156,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00009/KHD00009327_lg.jpg
3038621,ASTERACEAE,Rudbeckia,Rudbeckia hirta,39.62662,-105.425,2342,1974,7,11,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3038621,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00009/KHD00009313_lg.jpg
3038622,ASTERACEAE,Rudbeckia,Rudbeckia hirta,39.50638,-105.553,2844,1948,7,7,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3038622,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00009/KHD00009321_lg.jpg
3038628,ASTERACEAE,Rudbeckia,Rudbeckia hirta,38.93122,-105.2272,2704,1938,7,17,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3038628,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00009/KHD00009328_lg.jpg
3039273,ASTERACEAE,Rudbeckia,Rudbeckia hirta,38.7413,-104.9152,2809,1912,7,25,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3039273,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00009/KHD00009330_lg.jpg
3039275,ASTERACEAE,Rudbeckia,Rudbeckia hirta,38.79021,-104.8874,2209,1932,8,13,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3039275,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00009/KHD00009315_lg.jpg
3039644,ASTERACEAE,Rudbeckia,Rudbeckia hirta,40.02978,-105.5356,2906,1965,8,3,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3039644,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00009/KHD00009323_lg.jpg
3044366,ASTERACEAE,Rudbeckia,Rudbeckia hirta,39.68468,-105.3855,2466,1970,7,26,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3044366,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00009/KHD00009329_lg.jpg
3044564,ASTERACEAE,Rudbeckia,Rudbeckia hirta,40.35206,-105.5897,2474,1988,7,9,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3044564,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00009/KHD00009324_lg.jpg
3044899,ASTERACEAE,Rudbeckia,Rudbeckia hirta,37.12493,-106.3672,2665,1987,7,29,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3044899,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00009/KHD00009314_lg.jpg
3045254,ASTERACEAE,Rudbeckia,Rudbeckia hirta,37.1669,-106.4401,2712,1985,9,12,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3045254,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00009/KHD00009312_lg.jpg
