Core_ID,Family,Genus,Binomial_Species,Latitude,Longitude,Elevation,Year,Month,Day,References,Image
1130048,Caryophyllaceae,Silene,Silene parryi,44.6599,-109.739,2438,1996,7,31,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1130048,https://rmh.uwyo.edu/images/jpeg.php?Image=USFS0035939
1167433,Caryophyllaceae,Silene,Silene parryi,44.6164,-109.496,3238,1987,8,9,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1167433,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0051787
1176475,Caryophyllaceae,Silene,Silene parryi,43.4898,-109.8586,2890,1992,8,7,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1176475,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0051786
1180314,Caryophyllaceae,Silene,Silene parryi,45.1614,-109.6587,2358,1994,7,19,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1180314,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0104015
1182910,Caryophyllaceae,Silene,Silene parryi,45.0205,-109.9509,2333,1995,7,19,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1182910,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0104021
1188945,Caryophyllaceae,Silene,Silene parryi,45.3142,-110.6664,2246,1998,7,27,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1188945,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0021651
1190996,Caryophyllaceae,Silene,Silene parryi,44.5717,-110.2824,2391,1999,8,7,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1190996,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0022047
1337295,Caryophyllaceae,Silene,Silene parryi,42.7698,-108.9925,3268,2005,7,17,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1337295,https://rmh.uwyo.edu/images/jpeg.php?Image=USFS0028906
1337390,Caryophyllaceae,Silene,Silene parryi,43.4536,-109.6078,2703,2005,7,19,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1337390,https://rmh.uwyo.edu/images/jpeg.php?Image=USFS0028907
1338304,Caryophyllaceae,Silene,Silene parryi,42.6746,-109.1091,3237,2005,7,28,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1338304,https://rmh.uwyo.edu/images/jpeg.php?Image=USFS0028923
1339440,Caryophyllaceae,Silene,Silene parryi,43.2051,-109.473,3429,2005,8,15,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1339440,https://rmh.uwyo.edu/images/jpeg.php?Image=USFS0028908
1344123,Caryophyllaceae,Silene,Silene parryi,43.5916,-109.9959,2771,2006,7,22,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1344123,https://rmh.uwyo.edu/images/jpeg.php?Image=USFS0028909
1440811,Caryophyllaceae,Silene,Silene parryi,43.2215,-109.6044,3092,1982,8,16,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1440811,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0051791
1441767,Caryophyllaceae,Silene,Silene parryi,43.7778,-110.018,2837,1966,7,16,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1441767,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0051790
