Core_ID,Family,Genus,Binomial_Species,Latitude,Longitude,Elevation,Year,Month,Day,References,Image
495494,Iridaceae,Sisyrinchium,Sisyrinchium pallidum,40.93,-105.88,2753,1986,7,9,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=495494,https://swbiodiversity.org//imglib/seinet/soro/CS/0010/109535_lg.jpg
524907,Iridaceae,Sisyrinchium,Sisyrinchium pallidum,40.93,-105.97,2432,2004,7,18,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=524907,https://swbiodiversity.org//imglib/seinet/soro/CS/0010/109534_lg.jpg
525521,Iridaceae,Sisyrinchium,Sisyrinchium pallidum,38.99,-105.85,2748,2001,7,11,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=525521,https://swbiodiversity.org//imglib/seinet/soro/CS/0010/109531_lg.jpg
1430315,Iridaceae,Sisyrinchium,Sisyrinchium pallidum,41.3133,-105.5844,2191,1913,7,28,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1430315,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0105258
1445163,Iridaceae,Sisyrinchium,Sisyrinchium pallidum,41.5011,-105.9146,2226,1998,7,1,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1445163,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0106681
1445164,Iridaceae,Sisyrinchium,Sisyrinchium pallidum,41.4466,-105.9347,2225,1998,7,2,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1445164,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0105259
1455437,Iridaceae,Sisyrinchium,Sisyrinchium pallidum,41.2967,-105.5651,2214,1999,7,7,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1455437,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0105257
1455714,Iridaceae,Sisyrinchium,Sisyrinchium pallidum,42.1667,-107.1817,2101,2000,7,13,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1455714,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0105255
1455813,Iridaceae,Sisyrinchium,Sisyrinchium pallidum,42.1089,-106.9481,2018,2000,8,23,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1455813,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0105256
1459783,Iridaceae,Sisyrinchium,Sisyrinchium pallidum,41.57611,-106.0697,2264,1992,7,6,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1459783,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0105273
1459784,Iridaceae,Sisyrinchium,Sisyrinchium pallidum,41.18639,-105.5853,2230,1992,7,7,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1459784,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0105282
1459785,Iridaceae,Sisyrinchium,Sisyrinchium pallidum,41.23722,-105.7394,2199,1992,7,9,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1459785,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0105285
1459786,Iridaceae,Sisyrinchium,Sisyrinchium pallidum,41.24083,-105.7586,2200,1992,7,9,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1459786,https://rmh.uwyo.edu/images/jpeg.php?Image=RM0105266
