Core_ID,Family,Genus,Binomial_Species,Latitude,Longitude,Elevation,Year,Month,Day,References,Image
175292,Violaceae,Viola,Viola adunca,40.87833,-109.7447,2542,1932,6,9,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=175292,https://swbiodiversity.org//imglib/h_seinet/intermt/UTC/UTC00009/UTC00009297_lg.jpg
181842,Violaceae,Viola,Viola adunca,37.48156,-106.8061,3308,1921,7,1,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=181842,https://swbiodiversity.org//imglib/h_seinet/intermt/UTC/UTC00022/UTC00022600_lg.jpg
181851,Violaceae,Viola,Viola adunca,39.9382,-105.5663,2888,1921,6,23,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=181851,https://swbiodiversity.org//imglib/h_seinet/intermt/UTC/UTC00022/UTC00022651_lg.jpg
182982,Violaceae,Viola,Viola adunca,39.10739,-106.7565,3283,1938,7,7,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=182982,https://swbiodiversity.org//imglib/h_seinet/intermt/UTC/UTC00028/UTC00028660_lg.jpg
185181,Violaceae,Viola,Viola adunca,40.22556,-111.1675,2318,1938,6,11,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=185181,https://swbiodiversity.org//imglib/h_seinet/intermt/UTC/UTC00035/UTC00035277_lg.jpg
191349,Violaceae,Viola,Viola adunca,44.4488,-115.2278,1945,1941,7,1,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=191349,https://swbiodiversity.org//imglib/h_seinet/intermt/UTC/UTC00057/UTC00057834_lg.jpg
192655,Violaceae,Viola,Viola adunca,40.83861,-110.0006,3282,1942,7,4,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=192655,https://swbiodiversity.org//imglib/h_seinet/intermt/UTC/UTC00064/UTC00064022_lg.jpg
199141,Violaceae,Viola,Viola adunca,43.79256,-110.8447,2753,1955,7,28,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=199141,https://swbiodiversity.org//imglib/h_seinet/intermt/UTC/UTC00091/UTC00091918_lg.jpg
202481,Violaceae,Viola,Viola adunca,37.67611,-107.5078,3833,1937,6,11,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=202481,https://swbiodiversity.org//imglib/h_seinet/intermt/UTC/UTC00104/UTC00104023_lg.jpg
203424,Violaceae,Viola,Viola adunca,40.95083,-110.4844,2888,1961,6,17,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=203424,https://swbiodiversity.org//imglib/h_seinet/intermt/UTC/UTC00107/UTC00107473_lg.jpg
