Core_ID,Family,Genus,Binomial_Species,Latitude,Longitude,Elevation,Year,Month,Day,References,Image
2084052,Violaceae,Viola,Viola labradorica,37.52823,-106.9596,3235,2003,6,28,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2084052,https://api.idigbio.org/v2/media/0b3cb761f037993d2346693469307112
2116404,Violaceae,Viola,Viola labradorica,37.99055,-107.7854,3936,2008,7,30,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2116404,https://api.idigbio.org/v2/media/63d91e9cc84fca01816dbe3f7a56fdbd
3016652,Violaceae,Viola,Viola labradorica,37.88,-105,3464,1998,7,21,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3016652,https://swbiodiversity.org//imglib/seinet/soro/CS/0015/154396_lg.jpg
3031336,Violaceae,Viola,Viola labradorica,39.0505,-107.0305,3642,1995,8,3,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3031336,https://swbiodiversity.org//imglib/h_seinet/intermt/RMBL/RMBL0004/RMBL0004244_lg.jpg
3031337,Violaceae,Viola,Viola labradorica,39.06363,-107.0502,3629,1995,8,12,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3031337,https://swbiodiversity.org//imglib/h_seinet/intermt/RMBL/RMBL0004/RMBL0004245_lg.jpg
3031338,Violaceae,Viola,Viola labradorica,39.0632,-107.0481,3629,1995,8,12,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3031338,https://swbiodiversity.org//imglib/h_seinet/intermt/RMBL/RMBL0004/RMBL0004246_lg.jpg
3031339,Violaceae,Viola,Viola labradorica,39.04773,-107.0794,3336,1994,6,15,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3031339,https://swbiodiversity.org//imglib/h_seinet/intermt/RMBL/RMBL0004/RMBL0004247_lg.jpg
3031340,Violaceae,Viola,Viola labradorica,39.05581,-107.0324,3570,1994,6,23,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3031340,https://swbiodiversity.org//imglib/h_seinet/intermt/RMBL/RMBL0004/RMBL0004248_lg.jpg
3031341,Violaceae,Viola,Viola labradorica,39.05807,-107.0473,3582,1994,7,7,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3031341,https://swbiodiversity.org//imglib/h_seinet/intermt/RMBL/RMBL0004/RMBL0004249_lg.jpg
3042535,Violaceae,Viola,Viola labradorica,40.08472,-105.5962,3326,1970,8,3,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3042535,https://swbiodiversity.org//imglib/h_seinet/seinet/DBG_KHD/KHD00035/KHD00035075_lg.jpg
