Core_ID,Family,Genus,Binomial_Species,Latitude,Longitude,Elevation,Year,Month,Day,References,Image
3031330,Violaceae,Viola,Viola scopulorum,38.15055,-107.0581,2927,1962,6,22,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3031330,https://swbiodiversity.org//imglib/h_seinet/intermt/RMBL/RMBL0004/RMBL0004242_lg.jpg
3031331,Violaceae,Viola,Viola scopulorum,38.99216,-107.03,3460,1950,7,20,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3031331,https://swbiodiversity.org//imglib/h_seinet/intermt/RMBL/RMBL0004/RMBL0004239_lg.jpg
3031334,Violaceae,Viola,Viola scopulorum,38.97442,-106.9471,3491,1929,7,13,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3031334,https://swbiodiversity.org//imglib/h_seinet/intermt/RMBL/RMBL0004/RMBL0004238_lg.jpg
3031335,Violaceae,Viola,Viola scopulorum,38.97119,-106.9555,3290,1929,7,13,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3031335,https://swbiodiversity.org//imglib/h_seinet/intermt/RMBL/RMBL0004/RMBL0004237_lg.jpg
4584921,Violaceae,Viola,Viola scopulorum,38.97497,-106.9934,3049,2013,7,10,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4584921,https://swbiodiversity.org//imglib/h_seinet/intermt/RMBL/RMBL0010/RMBL0010487_lg.jpg
6040387,Violaceae,Viola,Viola scopulorum,37.26441,-106.7122,3213,2003,7,18,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=6040387,https://herbarium.sanjuancollege.edu/herbphotos/SJNM-V-006/SJNM-V-0066877.jpg
6077865,Violaceae,Viola,Viola scopulorum,37.48167,-108.1931,2891,2002,5,14,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=6077865,https://herbarium.sanjuancollege.edu/herbphotos/SJNM-V-006/SJNM-V-0066978.jpg
8801677,Violaceae,Viola,Viola scopulorum,38.9735,-106.9587,3196,2013,7,19,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=8801677,https://api.idigbio.org/v2/media/ec04e7c415a46b4c6403f65940d2146b?size=fullsize
8801680,Violaceae,Viola,Viola scopulorum,39.00374,-106.9956,3148,2013,6,26,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=8801680,https://api.idigbio.org/v2/media/0d3a9166f7583205fd8be1ace1dbf2ef?size=fullsize
8886103,Violaceae,Viola,Viola scopulorum,38.97304,-106.9541,3290,2015,7,19,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=8886103,https://api.idigbio.org/v2/media/772cbd2f395571d17c24e89a3f124e9a?size=fullsize
11091549,Violaceae,Viola,Viola scopulorum,38.98044,-106.9989,2989,2016,7,7,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=11091549,https://api.idigbio.org/v2/media/c70cdf29be0f0fe16f8c1ef5d7bc17cb
13779072,VIOLACEAE,Viola,Viola scopulorum,38.53227,-107.6702,2243,1962,5,21,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13779072,https://botanydb.colorado.edu/COLO_V/00620/00620161.jpg
13779501,VIOLACEAE,Viola,Viola scopulorum,39.76063,-105.1962,1893,1991,5,24,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13779501,https://botanydb.colorado.edu/COLO_V/00803/00803262.jpg
13779503,VIOLACEAE,Viola,Viola scopulorum,38.12333,-105.5889,2754,1970,6,18,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13779503,https://botanydb.colorado.edu/COLO_V/00803/00803288.jpg
13779504,VIOLACEAE,Viola,Viola scopulorum,39.98581,-105.2499,1654,1908,5,23,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13779504,https://botanydb.colorado.edu/COLO_V/00803/00803296.jpg
13779505,VIOLACEAE,Viola,Viola scopulorum,40.01498,-105.2705,1641,1902,6,30,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13779505,https://botanydb.colorado.edu/COLO_V/00803/00803304.jpg
13779506,VIOLACEAE,Viola,Viola scopulorum,39.99974,-105.29,1891,2006,6,20,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13779506,https://botanydb.colorado.edu/COLO_V/00803/00803312.jpg
13779507,VIOLACEAE,Viola,Viola scopulorum,39.96137,-105.5108,2545,1932,6,24,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13779507,https://botanydb.colorado.edu/COLO_V/00803/00803320.jpg
13779508,VIOLACEAE,Viola,Viola scopulorum,39.98863,-105.3029,2264,1952,5,18,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13779508,https://botanydb.colorado.edu/COLO_V/00803/00803338.jpg
13779509,VIOLACEAE,Viola,Viola scopulorum,39.94859,-105.5639,2734,1921,6,22,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13779509,https://botanydb.colorado.edu/COLO_V/00803/00803346.jpg
13779510,VIOLACEAE,Viola,Viola scopulorum,37.59306,-105.2033,2855,1937,7,15,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13779510,https://botanydb.colorado.edu/COLO_V/00803/00803353.jpg
13779513,VIOLACEAE,Viola,Viola scopulorum,38.83867,-104.9702,2867,1914,8,1,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13779513,https://botanydb.colorado.edu/COLO_V/00803/00803387.jpg
13779517,VIOLACEAE,Viola,Viola scopulorum,38.22782,-105.1062,2008,1982,5,17,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13779517,https://botanydb.colorado.edu/COLO_V/00803/00803429.jpg
13779518,VIOLACEAE,Viola,Viola scopulorum,39.98581,-105.2499,1654,2009,5,6,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13779518,https://botanydb.colorado.edu/COLO_V/00803/00803437.jpg
13779522,VIOLACEAE,Viola,Viola scopulorum,39.98581,-105.2499,1654,1908,5,23,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13779522,https://botanydb.colorado.edu/COLO_V/00803/00803478.jpg
13779523,VIOLACEAE,Viola,Viola scopulorum,37.44084,-106.8873,2384,1954,6,10,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13779523,https://botanydb.colorado.edu/COLO_V/00803/00803486.jpg
13779524,VIOLACEAE,Viola,Viola scopulorum,37.23638,-106.4716,2770,1939,7,16,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13779524,https://botanydb.colorado.edu/COLO_V/00803/00803494.jpg
13779526,VIOLACEAE,Viola,Viola scopulorum,37.73618,-106.7316,2592,1940,6,3,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13779526,https://botanydb.colorado.edu/COLO_V/00803/00803510.jpg
13779527,VIOLACEAE,Viola,Viola scopulorum,37.73618,-106.7316,2592,1940,6,3,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13779527,https://botanydb.colorado.edu/COLO_V/00803/00803528.jpg
13779528,VIOLACEAE,Viola,Viola scopulorum,37.73051,-105.488,2853,1935,6,19,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13779528,https://botanydb.colorado.edu/COLO_V/00803/00803536.jpg
