coreID1,coreID2,species1,species2,annotation-ID1,annotation-ID2,image-ID1,image-ID2,image-URL1,image-URL2,bud1,bud2,flower1,flower2,fruit1,fruit2,is-duplicated1,is-duplicated2,setNum1,setNum2,sequence1,sequence2,username1,username2,user-ID1,user-ID2,time-spent1 (seconds),time-spent2 (seconds),date1,date2,time1,time2,dejavu-score (%),hit-id1,hit-id2,is-test1,is-test2
27166252,27166252,Agoseris_aurantiaca,Agoseris_aurantiaca,9408714,9409179,332564,332564,https://crowdcurio-experiment-images.s3.amazonaws.com/Agoseris_aurantiaca/images/Agoseris_aurantiaca.27166252.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Agoseris_aurantiaca/images/Agoseris_aurantiaca.27166252.jpg,0,1,2,1,1,1,FALSE,TRUE,1,1,3,6,A3MSYMSTHZJI98,A3MSYMSTHZJI98,15070,15070,63.99,23.69,2024/4/17,2024/4/17,17:22:57,17:24:13,67,3ZTE0JGGDXC9XP12HUX7RJU3DG3OCN,3ZTE0JGGDXC9XP12HUX7RJU3DG3OCN,FALSE,FALSE
27166219,27166219,Agoseris_aurantiaca,Agoseris_aurantiaca,9417611,9417807,332556,332556,https://crowdcurio-experiment-images.s3.amazonaws.com/Agoseris_aurantiaca/images/Agoseris_aurantiaca.27166219.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Agoseris_aurantiaca/images/Agoseris_aurantiaca.27166219.jpg,0,0,1,1,0,0,FALSE,TRUE,1,1,8,10,A1PV32JENHIAN0,A1PV32JENHIAN0,20317,20317,28.53,12.14,2024/4/17,2024/4/17,17:58:15,17:58:45,100,3ZTE0JGGDXC9XP12HUX7RJU3DG3OCN,3ZTE0JGGDXC9XP12HUX7RJU3DG3OCN,FALSE,FALSE
24406348,24406348,Agoseris_aurantiaca,Agoseris_aurantiaca,9418719,9419023,332540,332540,https://crowdcurio-experiment-images.s3.amazonaws.com/Agoseris_aurantiaca/images/Agoseris_aurantiaca.24406348.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Agoseris_aurantiaca/images/Agoseris_aurantiaca.24406348.jpg,0,0,1,1,0,0,FALSE,TRUE,2,2,7,10,A1PV32JENHIAN0,A1PV32JENHIAN0,20317,20317,10.15,9.88,2024/4/17,2024/4/17,18:00:59,18:01:40,100,3ZTE0JGGDXC9XP12HUX7RJU3DG3OCN,3ZTE0JGGDXC9XP12HUX7RJU3DG3OCN,FALSE,FALSE
24406336,24406336,Agoseris_aurantiaca,Agoseris_aurantiaca,9419635,9420030,332538,332538,https://crowdcurio-experiment-images.s3.amazonaws.com/Agoseris_aurantiaca/images/Agoseris_aurantiaca.24406336.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Agoseris_aurantiaca/images/Agoseris_aurantiaca.24406336.jpg,0,0,5,5,0,0,FALSE,TRUE,3,3,5,8,A1PV32JENHIAN0,A1PV32JENHIAN0,20317,20317,16.83,15.73,2024/4/17,2024/4/17,18:03:14,18:04:12,100,3ZTE0JGGDXC9XP12HUX7RJU3DG3OCN,3ZTE0JGGDXC9XP12HUX7RJU3DG3OCN,FALSE,FALSE
24405917,24405917,Agoseris_aurantiaca,Agoseris_aurantiaca,9420557,9421080,332528,332528,https://crowdcurio-experiment-images.s3.amazonaws.com/Agoseris_aurantiaca/images/Agoseris_aurantiaca.24405917.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Agoseris_aurantiaca/images/Agoseris_aurantiaca.24405917.jpg,0,0,4,4,0,0,FALSE,TRUE,4,4,1,7,A1PV32JENHIAN0,A1PV32JENHIAN0,20317,20317,8.29,10.24,2024/4/17,2024/4/17,18:05:31,18:07:03,100,3ZTE0JGGDXC9XP12HUX7RJU3DG3OCN,3ZTE0JGGDXC9XP12HUX7RJU3DG3OCN,FALSE,FALSE
22066351,22066351,Agoseris_aurantiaca,Agoseris_aurantiaca,9425138,9425593,332510,332510,https://crowdcurio-experiment-images.s3.amazonaws.com/Agoseris_aurantiaca/images/Agoseris_aurantiaca.22066351.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Agoseris_aurantiaca/images/Agoseris_aurantiaca.22066351.jpg,0,0,1,1,0,0,FALSE,TRUE,1,1,2,8,A3AL2W0OZSYIY5,A3AL2W0OZSYIY5,20245,20245,6.89,5.57,2024/4/17,2024/4/17,18:20:56,18:21:52,100,3ZTE0JGGDXC9XP12HUX7RJU3DG3OCN,3ZTE0JGGDXC9XP12HUX7RJU3DG3OCN,FALSE,FALSE
13863869,13863869,Agoseris_aurantiaca,Agoseris_aurantiaca,9426253,9426387,332330,332330,https://crowdcurio-experiment-images.s3.amazonaws.com/Agoseris_aurantiaca/images/Agoseris_aurantiaca.13863869.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Agoseris_aurantiaca/images/Agoseris_aurantiaca.13863869.jpg,0,0,1,1,0,0,FALSE,TRUE,2,2,5,7,A3AL2W0OZSYIY5,A3AL2W0OZSYIY5,20245,20245,5.59,6.01,2024/4/17,2024/4/17,18:23:29,18:23:48,100,3ZTE0JGGDXC9XP12HUX7RJU3DG3OCN,3ZTE0JGGDXC9XP12HUX7RJU3DG3OCN,FALSE,FALSE
13863859,13863859,Agoseris_aurantiaca,Agoseris_aurantiaca,9426757,9426857,332321,332321,https://crowdcurio-experiment-images.s3.amazonaws.com/Agoseris_aurantiaca/images/Agoseris_aurantiaca.13863859.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Agoseris_aurantiaca/images/Agoseris_aurantiaca.13863859.jpg,0,0,1,1,0,0,FALSE,TRUE,3,3,2,4,A3AL2W0OZSYIY5,A3AL2W0OZSYIY5,20245,20245,6.22,5.54,2024/4/17,2024/4/17,18:24:49,18:25:08,100,3ZTE0JGGDXC9XP12HUX7RJU3DG3OCN,3ZTE0JGGDXC9XP12HUX7RJU3DG3OCN,FALSE,FALSE
13863835,13863835,Agoseris_aurantiaca,Agoseris_aurantiaca,9427511,9427844,332302,332302,https://crowdcurio-experiment-images.s3.amazonaws.com/Agoseris_aurantiaca/images/Agoseris_aurantiaca.13863835.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Agoseris_aurantiaca/images/Agoseris_aurantiaca.13863835.jpg,0,0,1,1,0,0,FALSE,TRUE,4,4,3,10,A3AL2W0OZSYIY5,A3AL2W0OZSYIY5,20245,20245,6.92,6.66,2024/4/17,2024/4/17,18:26:51,18:27:56,100,3ZTE0JGGDXC9XP12HUX7RJU3DG3OCN,3ZTE0JGGDXC9XP12HUX7RJU3DG3OCN,FALSE,FALSE
13050166,13050166,Agoseris_aurantiaca,Agoseris_aurantiaca,9427936,9428292,332291,332291,https://crowdcurio-experiment-images.s3.amazonaws.com/Agoseris_aurantiaca/images/Agoseris_aurantiaca.13050166.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Agoseris_aurantiaca/images/Agoseris_aurantiaca.13050166.jpg,0,0,1,1,0,0,FALSE,TRUE,5,5,1,8,A3AL2W0OZSYIY5,A3AL2W0OZSYIY5,20245,20245,6.88,5.61,2024/4/17,2024/4/17,18:28:16,18:29:40,100,3ZTE0JGGDXC9XP12HUX7RJU3DG3OCN,3ZTE0JGGDXC9XP12HUX7RJU3DG3OCN,FALSE,FALSE
