coreID1,coreID2,species1,species2,annotation-ID1,annotation-ID2,image-ID1,image-ID2,image-URL1,image-URL2,bud1,bud2,flower1,flower2,fruit1,fruit2,is-duplicated1,is-duplicated2,setNum1,setNum2,sequence1,sequence2,username1,username2,user-ID1,user-ID2,time-spent1 (seconds),time-spent2 (seconds),date1,date2,time1,time2,dejavu-score (%),hit-id1,hit-id2,is-test1,is-test2
N.A.,N.A.,Anemone_cylindrica,Anemone_cylindrica,8579499,8579564,295717,295717,https://crowdcurio-experiment-images.s3.amazonaws.com/Anemone_cylindrica/images/Anemone_cylindrica.27168749.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Anemone_cylindrica/images/Anemone_cylindrica.27168749.jpg,1,1,4,4,0,0,False,True,1,1,1,7,A1KB7GR29BZZMZ,A1KB7GR29BZZMZ,19032,19032,26.47,20.83,2024-03-18,2024-03-18,21:28:57,21:30:59,100,3WYZV0QBG2XDHTNO4LO8ZCFE6E0BXT,3WYZV0QBG2XDHTNO4LO8ZCFE6E0BXT,False,False
N.A.,N.A.,Anemone_cylindrica,Anemone_cylindrica,8579657,8579691,295687,295687,https://crowdcurio-experiment-images.s3.amazonaws.com/Anemone_cylindrica/images/Anemone_cylindrica.13797409.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Anemone_cylindrica/images/Anemone_cylindrica.13797409.jpg,0,0,0,0,6,6,False,True,2,2,2,5,A1KB7GR29BZZMZ,A1KB7GR29BZZMZ,19032,19032,58.68,27.2,2024-03-18,2024-03-18,21:34:22,21:35:39,100,3WYZV0QBG2XDHTNO4LO8ZCFE6E0BXT,3WYZV0QBG2XDHTNO4LO8ZCFE6E0BXT,False,False
N.A.,N.A.,Anemone_cylindrica,Anemone_cylindrica,8579656,8579711,295705,295705,https://crowdcurio-experiment-images.s3.amazonaws.com/Anemone_cylindrica/images/Anemone_cylindrica.16906467.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Anemone_cylindrica/images/Anemone_cylindrica.16906467.jpg,0,0,0,0,8,8,False,True,1,1,5,9,AVRIZQMUYQS4N,AVRIZQMUYQS4N,18908,18908,28.35,10.42,2024-03-18,2024-03-18,21:34:15,21:36:22,100,3WYZV0QBG2XDHTNO4LO8ZCFE6E0BXT,3WYZV0QBG2XDHTNO4LO8ZCFE6E0BXT,False,False
N.A.,N.A.,Anemone_cylindrica,Anemone_cylindrica,8579757,8579806,295665,295665,https://crowdcurio-experiment-images.s3.amazonaws.com/Anemone_cylindrica/images/Anemone_cylindrica.6781758.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Anemone_cylindrica/images/Anemone_cylindrica.6781758.jpg,6,6,0,0,0,0,False,True,2,2,2,6,AVRIZQMUYQS4N,AVRIZQMUYQS4N,18908,18908,13.52,8.36,2024-03-18,2024-03-18,21:38:41,21:40:16,100,3WYZV0QBG2XDHTNO4LO8ZCFE6E0BXT,3WYZV0QBG2XDHTNO4LO8ZCFE6E0BXT,False,False
N.A.,N.A.,Anemone_cylindrica,Anemone_cylindrica,8579912,8579964,295614,295614,https://crowdcurio-experiment-images.s3.amazonaws.com/Anemone_cylindrica/images/Anemone_cylindrica.507222.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Anemone_cylindrica/images/Anemone_cylindrica.507222.jpg,1,0,1,2,0,0,False,True,1,1,5,8,A24WRJJZF6B8PL,A24WRJJZF6B8PL,19075,19075,25.95,10.6,2024-03-18,2024-03-18,21:43:28,21:44:30,50,3WYZV0QBG2XDHTNO4LO8ZCFE6E0BXT,3WYZV0QBG2XDHTNO4LO8ZCFE6E0BXT,False,False
N.A.,N.A.,Anemone_cylindrica,Anemone_cylindrica,8579903,8579974,295715,295715,https://crowdcurio-experiment-images.s3.amazonaws.com/Anemone_cylindrica/images/Anemone_cylindrica.27168747.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Anemone_cylindrica/images/Anemone_cylindrica.27168747.jpg,1,1,0,0,0,0,False,True,3,3,5,10,AVRIZQMUYQS4N,AVRIZQMUYQS4N,18908,18908,5.71,16.71,2024-03-18,2024-03-18,21:43:13,21:44:39,100,3WYZV0QBG2XDHTNO4LO8ZCFE6E0BXT,3WYZV0QBG2XDHTNO4LO8ZCFE6E0BXT,False,False
N.A.,N.A.,Anemone_cylindrica,Anemone_cylindrica,8579773,8580048,295636,295636,https://crowdcurio-experiment-images.s3.amazonaws.com/Anemone_cylindrica/images/Anemone_cylindrica.3813109.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Anemone_cylindrica/images/Anemone_cylindrica.3813109.jpg,3,3,2,2,0,0,False,True,1,1,2,9,AVEEKXNZ7CGCS,AVEEKXNZ7CGCS,19056,19056,29.82,14.99,2024-03-18,2024-03-18,21:39:23,21:47:05,100,3WYZV0QBG2XDHTNO4LO8ZCFE6E0BXT,3WYZV0QBG2XDHTNO4LO8ZCFE6E0BXT,False,False
N.A.,N.A.,Anemone_cylindrica,Anemone_cylindrica,8580084,8580135,295635,295635,https://crowdcurio-experiment-images.s3.amazonaws.com/Anemone_cylindrica/images/Anemone_cylindrica.3197946.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Anemone_cylindrica/images/Anemone_cylindrica.3197946.jpg,1,0,0,0,0,1,False,True,2,2,2,6,AVEEKXNZ7CGCS,AVEEKXNZ7CGCS,19056,19056,7.84,8.24,2024-03-18,2024-03-18,21:47:54,21:49:28,0,3WYZV0QBG2XDHTNO4LO8ZCFE6E0BXT,3WYZV0QBG2XDHTNO4LO8ZCFE6E0BXT,False,False
N.A.,N.A.,Anemone_cylindrica,Anemone_cylindrica,8580047,8580164,295717,295717,https://crowdcurio-experiment-images.s3.amazonaws.com/Anemone_cylindrica/images/Anemone_cylindrica.27168749.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Anemone_cylindrica/images/Anemone_cylindrica.27168749.jpg,0,0,3,6,1,2,False,True,1,1,6,9,A8GW6Y7ZN14ZD,A8GW6Y7ZN14ZD,19077,19077,17.51,30.61,2024-03-18,2024-03-18,21:47:05,21:50:02,67,3WYZV0QBG2XDHTNO4LO8ZCFE6E0BXT,3WYZV0QBG2XDHTNO4LO8ZCFE6E0BXT,False,False
N.A.,N.A.,Anemone_cylindrica,Anemone_cylindrica,8579893,8580174,295721,295721,https://crowdcurio-experiment-images.s3.amazonaws.com/Anemone_cylindrica/images/Anemone_cylindrica.28435466.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Anemone_cylindrica/images/Anemone_cylindrica.28435466.jpg,0,0,0,0,5,5,False,True,1,1,1,9,A3N66DKF3VNB9X,A3N66DKF3VNB9X,7342,7342,67.2,25.86,2024-03-18,2024-03-18,21:43:02,21:50:20,100,3WYZV0QBG2XDHTNO4LO8ZCFE6E0BXT,3WYZV0QBG2XDHTNO4LO8ZCFE6E0BXT,False,False
