coreID,species,annotation-ID,image-ID,image-URL,bud,flower,fruit,is-duplicated,set-number,sequence,username,user-ID,time-spent (seconds),date,time,hit-id,is-test
21751602,Anemone_multifida,8633052,297388,https://crowdcurio-experiment-images.s3.amazonaws.com/Anemone_multifida/images/Anemone_multifida.21751602.jpg,1,0,0,FALSE,1,1,AKBR6W40YAWJX,20419,13.32,2024/4/15,18:39:53,3OREP8RUULV2V7SYFBO4BQFJ36BGBD,FALSE
16924490,Anemone_multifida,8633160,297385,https://crowdcurio-experiment-images.s3.amazonaws.com/Anemone_multifida/images/Anemone_multifida.16924490.jpg,1,1,0,FALSE,1,2,AKBR6W40YAWJX,20419,12.38,2024/4/15,18:40:09,3OREP8RUULV2V7SYFBO4BQFJ36BGBD,FALSE
16905206,Anemone_multifida,8633234,297384,https://crowdcurio-experiment-images.s3.amazonaws.com/Anemone_multifida/images/Anemone_multifida.16905206.jpg,1,0,0,FALSE,1,3,AKBR6W40YAWJX,20419,6.93,2024/4/15,18:40:20,3OREP8RUULV2V7SYFBO4BQFJ36BGBD,FALSE
16899310,Anemone_multifida,8633302,297383,https://crowdcurio-experiment-images.s3.amazonaws.com/Anemone_multifida/images/Anemone_multifida.16899310.jpg,0,1,0,FALSE,1,4,AKBR6W40YAWJX,20419,10.68,2024/4/15,18:40:34,3OREP8RUULV2V7SYFBO4BQFJ36BGBD,FALSE
16899028,Anemone_multifida,8633392,297382,https://crowdcurio-experiment-images.s3.amazonaws.com/Anemone_multifida/images/Anemone_multifida.16899028.jpg,0,1,0,FALSE,1,5,AKBR6W40YAWJX,20419,9.17,2024/4/15,18:40:48,3OREP8RUULV2V7SYFBO4BQFJ36BGBD,FALSE
16899027,Anemone_multifida,8633462,297381,https://crowdcurio-experiment-images.s3.amazonaws.com/Anemone_multifida/images/Anemone_multifida.16899027.jpg,0,1,0,FALSE,1,6,AKBR6W40YAWJX,20419,7.64,2024/4/15,18:40:59,3OREP8RUULV2V7SYFBO4BQFJ36BGBD,FALSE
16899026,Anemone_multifida,8633529,297380,https://crowdcurio-experiment-images.s3.amazonaws.com/Anemone_multifida/images/Anemone_multifida.16899026.jpg,0,1,0,FALSE,1,7,AKBR6W40YAWJX,20419,7.83,2024/4/15,18:41:10,3OREP8RUULV2V7SYFBO4BQFJ36BGBD,FALSE
16924636,Anemone_multifida,8633594,297386,https://crowdcurio-experiment-images.s3.amazonaws.com/Anemone_multifida/images/Anemone_multifida.16924636.jpg,0,1,0,FALSE,1,8,AKBR6W40YAWJX,20419,9.55,2024/4/15,18:41:24,3OREP8RUULV2V7SYFBO4BQFJ36BGBD,FALSE
16899028,Anemone_multifida,8633660,297382,https://crowdcurio-experiment-images.s3.amazonaws.com/Anemone_multifida/images/Anemone_multifida.16899028.jpg,0,1,0,TRUE,1,9,AKBR6W40YAWJX,20419,8.4,2024/4/15,18:41:34,3OREP8RUULV2V7SYFBO4BQFJ36BGBD,FALSE
21310079,Anemone_multifida,8633756,297387,https://crowdcurio-experiment-images.s3.amazonaws.com/Anemone_multifida/images/Anemone_multifida.21310079.jpg,0,1,0,FALSE,1,10,AKBR6W40YAWJX,20419,9.13,2024/4/15,18:41:48,3OREP8RUULV2V7SYFBO4BQFJ36BGBD,FALSE
15063528,Anemone_multifida,8634552,297372,https://crowdcurio-experiment-images.s3.amazonaws.com/Anemone_multifida/images/Anemone_multifida.15063528.jpg,0,1,3,FALSE,1,1,A7IHUUH9KB2VG,20094,158.65,2024/4/15,18:44:13,3OREP8RUULV2V7SYFBO4BQFJ36BGBD,FALSE
2820121,Anemone_multifida,8633860,297277,https://crowdcurio-experiment-images.s3.amazonaws.com/Anemone_multifida/images/Anemone_multifida.2820121.jpg,0,1,0,FALSE,2,1,AKBR6W40YAWJX,20419,6.4,2024/4/15,18:42:07,3OREP8RUULV2V7SYFBO4BQFJ36BGBD,FALSE
2819010,Anemone_multifida,8633939,297275,https://crowdcurio-experiment-images.s3.amazonaws.com/Anemone_multifida/images/Anemone_multifida.2819010.jpg,0,1,0,FALSE,2,2,AKBR6W40YAWJX,20419,14.53,2024/4/15,18:42:25,3OREP8RUULV2V7SYFBO4BQFJ36BGBD,FALSE
3035594,Anemone_multifida,8633967,297293,https://crowdcurio-experiment-images.s3.amazonaws.com/Anemone_multifida/images/Anemone_multifida.3035594.jpg,0,0,0,FALSE,1,1,A2FUFFAMVJ0O6,20577,42.41,2024/4/15,18:42:30,3OREP8RUULV2V7SYFBO4BQFJ36BGBD,FALSE
2822256,Anemone_multifida,8634016,297280,https://crowdcurio-experiment-images.s3.amazonaws.com/Anemone_multifida/images/Anemone_multifida.2822256.jpg,0,1,0,FALSE,2,3,AKBR6W40YAWJX,20419,9.52,2024/4/15,18:42:38,3OREP8RUULV2V7SYFBO4BQFJ36BGBD,FALSE
2819010,Anemone_multifida,8634066,297275,https://crowdcurio-experiment-images.s3.amazonaws.com/Anemone_multifida/images/Anemone_multifida.2819010.jpg,0,1,0,TRUE,2,4,AKBR6W40YAWJX,20419,9.63,2024/4/15,18:42:50,3OREP8RUULV2V7SYFBO4BQFJ36BGBD,FALSE
27210267,Anemone_multifida,8634186,297400,https://crowdcurio-experiment-images.s3.amazonaws.com/Anemone_multifida/images/Anemone_multifida.27210267.jpg,0,5,0,FALSE,1,1,A1AS7EP5D59XUB,20552,37.88,2024/4/15,18:43:05,3OREP8RUULV2V7SYFBO4BQFJ36BGBD,FALSE
2822271,Anemone_multifida,8634152,297281,https://crowdcurio-experiment-images.s3.amazonaws.com/Anemone_multifida/images/Anemone_multifida.2822271.jpg,0,1,0,FALSE,2,5,AKBR6W40YAWJX,20419,7.63,2024/4/15,18:43:00,3OREP8RUULV2V7SYFBO4BQFJ36BGBD,FALSE
2822221,Anemone_multifida,8634225,297279,https://crowdcurio-experiment-images.s3.amazonaws.com/Anemone_multifida/images/Anemone_multifida.2822221.jpg,0,1,0,FALSE,2,6,AKBR6W40YAWJX,20419,7.25,2024/4/15,18:43:11,3OREP8RUULV2V7SYFBO4BQFJ36BGBD,FALSE
3041023,Anemone_multifida,8634731,297297,https://crowdcurio-experiment-images.s3.amazonaws.com/Anemone_multifida/images/Anemone_multifida.3041023.jpg,0,1,9,FALSE,1,2,A2FUFFAMVJ0O6,20577,130.3,2024/4/15,18:44:45,3OREP8RUULV2V7SYFBO4BQFJ36BGBD,FALSE
28435385,Anemone_multifida,8634277,297406,https://crowdcurio-experiment-images.s3.amazonaws.com/Anemone_multifida/images/Anemone_multifida.28435385.jpg,0,2,0,FALSE,1,2,A1AS7EP5D59XUB,20552,10.6,2024/4/15,18:43:19,3OREP8RUULV2V7SYFBO4BQFJ36BGBD,FALSE
2820481,Anemone_multifida,8634307,297278,https://crowdcurio-experiment-images.s3.amazonaws.com/Anemone_multifida/images/Anemone_multifida.2820481.jpg,0,1,0,FALSE,2,7,AKBR6W40YAWJX,20419,8.94,2024/4/15,18:43:24,3OREP8RUULV2V7SYFBO4BQFJ36BGBD,FALSE
27210267,Anemone_multifida,8634376,297400,https://crowdcurio-experiment-images.s3.amazonaws.com/Anemone_multifida/images/Anemone_multifida.27210267.jpg,0,5,0,TRUE,1,3,A1AS7EP5D59XUB,20552,14.83,2024/4/15,18:43:36,3OREP8RUULV2V7SYFBO4BQFJ36BGBD,FALSE
2813816,Anemone_multifida,8634380,297273,https://crowdcurio-experiment-images.s3.amazonaws.com/Anemone_multifida/images/Anemone_multifida.2813816.jpg,0,1,0,FALSE,2,8,AKBR6W40YAWJX,20419,9.45,2024/4/15,18:43:36,3OREP8RUULV2V7SYFBO4BQFJ36BGBD,FALSE
27214740,Anemone_multifida,8634464,297401,https://crowdcurio-experiment-images.s3.amazonaws.com/Anemone_multifida/images/Anemone_multifida.27214740.jpg,0,0,4,FALSE,1,4,A1AS7EP5D59XUB,20552,14.88,2024/4/15,18:43:55,3OREP8RUULV2V7SYFBO4BQFJ36BGBD,FALSE
