coreID1,coreID2,species1,species2,annotation-ID1,annotation-ID2,image-ID1,image-ID2,image-URL1,image-URL2,bud1,bud2,flower1,flower2,fruit1,fruit2,is-duplicated1,is-duplicated2,setNum1,setNum2,sequence1,sequence2,username1,username2,user-ID1,user-ID2,time-spent1 (seconds),time-spent2 (seconds),date1,date2,time1,time2,dejavu-score (%),hit-id1,hit-id2,is-test1,is-test2
3228933,3228933,Antennaria_pulcherrima,Antennaria_pulcherrima,9384127,9384489,331289,331289,https://crowdcurio-experiment-images.s3.amazonaws.com/Antennaria_pulcherrima/images/Antennaria_pulcherrima.3228933.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Antennaria_pulcherrima/images/Antennaria_pulcherrima.3228933.jpg,0,0,1,1,0,0,FALSE,TRUE,1,1,1,7,A2R3BAJVIJWGPK,A2R3BAJVIJWGPK,19202,19202,11.83,6.92,2024/4/17,2024/4/17,16:15:20,16:18:09,100,3YD0MU1NDLLEJ4C5GUKEA2IKNO87AE,3YD0MU1NDLLEJ4C5GUKEA2IKNO87AE,FALSE,FALSE
3026821,3026821,Antennaria_pulcherrima,Antennaria_pulcherrima,9385028,9385277,331274,331274,https://crowdcurio-experiment-images.s3.amazonaws.com/Antennaria_pulcherrima/images/Antennaria_pulcherrima.3026821.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Antennaria_pulcherrima/images/Antennaria_pulcherrima.3026821.jpg,0,0,1,1,0,0,FALSE,TRUE,2,2,6,10,A2R3BAJVIJWGPK,A2R3BAJVIJWGPK,19202,19202,7.35,7.12,2024/4/17,2024/4/17,16:19:50,16:20:32,100,3YD0MU1NDLLEJ4C5GUKEA2IKNO87AE,3YD0MU1NDLLEJ4C5GUKEA2IKNO87AE,FALSE,FALSE
15171487,15171487,Antennaria_pulcherrima,Antennaria_pulcherrima,9385199,9385711,331308,331308,https://crowdcurio-experiment-images.s3.amazonaws.com/Antennaria_pulcherrima/images/Antennaria_pulcherrima.15171487.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Antennaria_pulcherrima/images/Antennaria_pulcherrima.15171487.jpg,0,0,0,0,4,4,FALSE,TRUE,1,1,4,8,A2WMZMT3N1RCQX,A2WMZMT3N1RCQX,20352,20352,14.76,12.8,2024/4/17,2024/4/17,16:20:20,16:21:38,100,3YD0MU1NDLLEJ4C5GUKEA2IKNO87AE,3YD0MU1NDLLEJ4C5GUKEA2IKNO87AE,FALSE,FALSE
1676794,1676794,Antennaria_pulcherrima,Antennaria_pulcherrima,9385666,9385910,331267,331267,https://crowdcurio-experiment-images.s3.amazonaws.com/Antennaria_pulcherrima/images/Antennaria_pulcherrima.1676794.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Antennaria_pulcherrima/images/Antennaria_pulcherrima.1676794.jpg,0,0,1,1,0,0,FALSE,TRUE,3,3,4,7,A2R3BAJVIJWGPK,A2R3BAJVIJWGPK,19202,19202,7.01,10.71,2024/4/17,2024/4/17,16:21:31,16:22:06,100,3YD0MU1NDLLEJ4C5GUKEA2IKNO87AE,3YD0MU1NDLLEJ4C5GUKEA2IKNO87AE,FALSE,FALSE
16895950,16895950,Antennaria_pulcherrima,Antennaria_pulcherrima,9385436,9386112,331319,331319,https://crowdcurio-experiment-images.s3.amazonaws.com/Antennaria_pulcherrima/images/Antennaria_pulcherrima.16895950.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Antennaria_pulcherrima/images/Antennaria_pulcherrima.16895950.jpg,0,0,3,3,0,0,FALSE,TRUE,1,1,1,5,A3MSYMSTHZJI98,A3MSYMSTHZJI98,15070,15070,106.25,22.5,2024/4/17,2024/4/17,16:20:54,16:22:35,100,3YD0MU1NDLLEJ4C5GUKEA2IKNO87AE,3YD0MU1NDLLEJ4C5GUKEA2IKNO87AE,FALSE,FALSE
1417268,1417268,Antennaria_pulcherrima,Antennaria_pulcherrima,9386328,9386914,331247,331247,https://crowdcurio-experiment-images.s3.amazonaws.com/Antennaria_pulcherrima/images/Antennaria_pulcherrima.1417268.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Antennaria_pulcherrima/images/Antennaria_pulcherrima.1417268.jpg,0,0,1,1,0,0,FALSE,TRUE,4,4,2,8,A2R3BAJVIJWGPK,A2R3BAJVIJWGPK,19202,19202,5.09,7.39,2024/4/17,2024/4/17,16:23:07,16:24:19,100,3YD0MU1NDLLEJ4C5GUKEA2IKNO87AE,3YD0MU1NDLLEJ4C5GUKEA2IKNO87AE,FALSE,FALSE
1439972,1439972,Antennaria_pulcherrima,Antennaria_pulcherrima,9386522,9387134,331254,331254,https://crowdcurio-experiment-images.s3.amazonaws.com/Antennaria_pulcherrima/images/Antennaria_pulcherrima.1439972.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Antennaria_pulcherrima/images/Antennaria_pulcherrima.1439972.jpg,0,0,2,2,0,0,FALSE,TRUE,2,2,2,7,A2WMZMT3N1RCQX,A2WMZMT3N1RCQX,20352,20352,13.91,14.64,2024/4/17,2024/4/17,16:23:32,16:24:50,100,3YD0MU1NDLLEJ4C5GUKEA2IKNO87AE,3YD0MU1NDLLEJ4C5GUKEA2IKNO87AE,FALSE,FALSE
1182093,1182093,Antennaria_pulcherrima,Antennaria_pulcherrima,9387179,9387705,331238,331238,https://crowdcurio-experiment-images.s3.amazonaws.com/Antennaria_pulcherrima/images/Antennaria_pulcherrima.1182093.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Antennaria_pulcherrima/images/Antennaria_pulcherrima.1182093.jpg,0,0,1,1,0,0,FALSE,TRUE,5,5,1,6,A2R3BAJVIJWGPK,A2R3BAJVIJWGPK,19202,19202,8.55,12.58,2024/4/17,2024/4/17,16:24:58,16:26:16,100,3YD0MU1NDLLEJ4C5GUKEA2IKNO87AE,3YD0MU1NDLLEJ4C5GUKEA2IKNO87AE,FALSE,FALSE
24409127,24409127,Antennaria_pulcherrima,Antennaria_pulcherrima,9387703,9388130,331330,331330,https://crowdcurio-experiment-images.s3.amazonaws.com/Antennaria_pulcherrima/images/Antennaria_pulcherrima.24409127.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Antennaria_pulcherrima/images/Antennaria_pulcherrima.24409127.jpg,0,0,5,5,0,0,FALSE,TRUE,2,2,1,6,A3MSYMSTHZJI98,A3MSYMSTHZJI98,15070,15070,46.46,5.53,2024/4/17,2024/4/17,16:26:16,16:27:16,100,3YD0MU1NDLLEJ4C5GUKEA2IKNO87AE,3YD0MU1NDLLEJ4C5GUKEA2IKNO87AE,FALSE,FALSE
6780576,6780576,Antennaria_pulcherrima,Antennaria_pulcherrima,9387629,9388196,331298,331298,https://crowdcurio-experiment-images.s3.amazonaws.com/Antennaria_pulcherrima/images/Antennaria_pulcherrima.6780576.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Antennaria_pulcherrima/images/Antennaria_pulcherrima.6780576.jpg,0,0,1,0,0,1,FALSE,TRUE,3,3,1,6,A2WMZMT3N1RCQX,A2WMZMT3N1RCQX,20352,20352,24.52,11.78,2024/4/17,2024/4/17,16:26:06,16:27:26,0,3YD0MU1NDLLEJ4C5GUKEA2IKNO87AE,3YD0MU1NDLLEJ4C5GUKEA2IKNO87AE,FALSE,FALSE
