coreID1,coreID2,species1,species2,annotation-ID1,annotation-ID2,image-ID1,image-ID2,image-URL1,image-URL2,bud1,bud2,flower1,flower2,fruit1,fruit2,is-duplicated1,is-duplicated2,setNum1,setNum2,sequence1,sequence2,username1,username2,user-ID1,user-ID2,time-spent1 (seconds),time-spent2 (seconds),date1,date2,time1,time2,dejavu-score (%),hit-id1,hit-id2,is-test1,is-test2
27145003,27145003,Anticlea_elegans,Anticlea_elegans,9390094,9390852,331732,331732,https://crowdcurio-experiment-images.s3.amazonaws.com/Anticlea_elegans/images/Anticlea_elegans.27145003.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Anticlea_elegans/images/Anticlea_elegans.27145003.jpg,0,0,33,18,0,0,FALSE,TRUE,1,1,1,5,A24L27PW25DN6Z,A24L27PW25DN6Z,19195,19195,171.54,18.82,2024/4/17,2024/4/17,16:32:18,16:33:54,71,37YYO3NWIWA8O04ZRPOGWJ0MO2KCCE,37YYO3NWIWA8O04ZRPOGWJ0MO2KCCE,FALSE,FALSE
24764940,24764940,Anticlea_elegans,Anticlea_elegans,9401410,9401979,331699,331699,https://crowdcurio-experiment-images.s3.amazonaws.com/Anticlea_elegans/images/Anticlea_elegans.24764940.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Anticlea_elegans/images/Anticlea_elegans.24764940.jpg,0,0,0,2,2,0,FALSE,TRUE,1,1,3,10,A31UH0A9NEL2XF,A31UH0A9NEL2XF,20842,20842,10.51,9.42,2024/4/17,2024/4/17,16:59:42,17:01:09,0,37YYO3NWIWA8O04ZRPOGWJ0MO2KCCE,37YYO3NWIWA8O04ZRPOGWJ0MO2KCCE,FALSE,FALSE
24742563,24742563,Anticlea_elegans,Anticlea_elegans,9425446,9427673,331686,331686,https://crowdcurio-experiment-images.s3.amazonaws.com/Anticlea_elegans/images/Anticlea_elegans.24742563.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Anticlea_elegans/images/Anticlea_elegans.24742563.jpg,1,0,83,79,0,0,FALSE,TRUE,1,1,8,10,A39F1J9Q8U4KE0,A39F1J9Q8U4KE0,20285,20285,206.77,129.41,2024/4/17,2024/4/17,18:21:34,18:27:21,97,37YYO3NWIWA8O04ZRPOGWJ0MO2KCCE,37YYO3NWIWA8O04ZRPOGWJ0MO2KCCE,FALSE,FALSE
24638071,24638071,Anticlea_elegans,Anticlea_elegans,9424852,9427691,331663,331663,https://crowdcurio-experiment-images.s3.amazonaws.com/Anticlea_elegans/images/Anticlea_elegans.24638071.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Anticlea_elegans/images/Anticlea_elegans.24638071.jpg,6,8,20,13,0,0,FALSE,TRUE,1,1,1,9,A27Z8D0UWPMSIO,A27Z8D0UWPMSIO,19751,19751,80.15,54.76,2024/4/17,2024/4/17,18:20:10,18:27:26,81,37YYO3NWIWA8O04ZRPOGWJ0MO2KCCE,37YYO3NWIWA8O04ZRPOGWJ0MO2KCCE,FALSE,FALSE
24615558,24615558,Anticlea_elegans,Anticlea_elegans,9430424,9430594,331641,331641,https://crowdcurio-experiment-images.s3.amazonaws.com/Anticlea_elegans/images/Anticlea_elegans.24615558.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Anticlea_elegans/images/Anticlea_elegans.24615558.jpg,0,0,1,1,0,0,FALSE,TRUE,1,1,1,4,A1QYJI4ZXKVWU,A1QYJI4ZXKVWU,18911,18911,5.21,6.39,2024/4/17,2024/4/17,18:36:26,18:36:55,100,37YYO3NWIWA8O04ZRPOGWJ0MO2KCCE,37YYO3NWIWA8O04ZRPOGWJ0MO2KCCE,FALSE,FALSE
24633586,24633586,Anticlea_elegans,Anticlea_elegans,9429909,9430735,331644,331644,https://crowdcurio-experiment-images.s3.amazonaws.com/Anticlea_elegans/images/Anticlea_elegans.24633586.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Anticlea_elegans/images/Anticlea_elegans.24633586.jpg,0,0,2,2,0,0,FALSE,TRUE,1,1,5,10,A2XVFL6QU6HY11,A2XVFL6QU6HY11,19427,19427,15.16,14.9,2024/4/17,2024/4/17,18:34:38,18:37:20,100,37YYO3NWIWA8O04ZRPOGWJ0MO2KCCE,37YYO3NWIWA8O04ZRPOGWJ0MO2KCCE,FALSE,FALSE
24466330,24466330,Anticlea_elegans,Anticlea_elegans,9431096,9431283,331620,331620,https://crowdcurio-experiment-images.s3.amazonaws.com/Anticlea_elegans/images/Anticlea_elegans.24466330.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Anticlea_elegans/images/Anticlea_elegans.24466330.jpg,0,0,1,1,0,0,FALSE,TRUE,2,2,2,5,A1QYJI4ZXKVWU,A1QYJI4ZXKVWU,18911,18911,6.71,5.16,2024/4/17,2024/4/17,18:38:23,18:39:01,100,37YYO3NWIWA8O04ZRPOGWJ0MO2KCCE,37YYO3NWIWA8O04ZRPOGWJ0MO2KCCE,FALSE,FALSE
21993390,21993390,Anticlea_elegans,Anticlea_elegans,9432016,9432264,331614,331614,https://crowdcurio-experiment-images.s3.amazonaws.com/Anticlea_elegans/images/Anticlea_elegans.21993390.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Anticlea_elegans/images/Anticlea_elegans.21993390.jpg,0,0,1,1,0,0,FALSE,TRUE,3,3,4,8,A1QYJI4ZXKVWU,A1QYJI4ZXKVWU,18911,18911,6.88,5.96,2024/4/17,2024/4/17,18:40:59,18:41:46,100,37YYO3NWIWA8O04ZRPOGWJ0MO2KCCE,37YYO3NWIWA8O04ZRPOGWJ0MO2KCCE,FALSE,FALSE
24615079,24615079,Anticlea_elegans,Anticlea_elegans,9431610,9432802,331630,331630,https://crowdcurio-experiment-images.s3.amazonaws.com/Anticlea_elegans/images/Anticlea_elegans.24615079.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Anticlea_elegans/images/Anticlea_elegans.24615079.jpg,0,0,4,5,0,0,FALSE,TRUE,2,2,2,7,A2XVFL6QU6HY11,A2XVFL6QU6HY11,19427,19427,60.91,21.62,2024/4/17,2024/4/17,18:39:47,18:43:16,89,37YYO3NWIWA8O04ZRPOGWJ0MO2KCCE,37YYO3NWIWA8O04ZRPOGWJ0MO2KCCE,FALSE,FALSE
21993369,21993369,Anticlea_elegans,Anticlea_elegans,9433435,9433636,331598,331598,https://crowdcurio-experiment-images.s3.amazonaws.com/Anticlea_elegans/images/Anticlea_elegans.21993369.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Anticlea_elegans/images/Anticlea_elegans.21993369.jpg,0,0,1,1,0,0,FALSE,TRUE,1,1,1,5,A1QYJI4ZXKVWU,A1QYJI4ZXKVWU,18911,18911,5.08,5.24,2024/4/17,2024/4/17,18:44:47,18:47:46,100,37YYO3NWIWA8O04ZRPOGWJ0MO2KCCE,37YYO3NWIWA8O04ZRPOGWJ0MO2KCCE,FALSE,FALSE
