coreID1,coreID2,species1,species2,annotation-ID1,annotation-ID2,image-ID1,image-ID2,image-URL1,image-URL2,bud1,bud2,flower1,flower2,fruit1,fruit2,is-duplicated1,is-duplicated2,setNum1,setNum2,sequence1,sequence2,username1,username2,user-ID1,user-ID2,time-spent1 (seconds),time-spent2 (seconds),date1,date2,time1,time2,dejavu-score (%),hit-id1,hit-id2,is-test1,is-test2
13823058,13823058,Aquilegia_coerulea,Aquilegia_coerulea,8637239,8638729,298756,298756,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_coerulea/images/Aquilegia_coerulea.13823058.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_coerulea/images/Aquilegia_coerulea.13823058.jpg,0,0,1,1,2,2,FALSE,TRUE,1,1,4,9,A39XW0561NNM5C,A39XW0561NNM5C,19138,19138,18.38,47.71,2024/4/15,2024/4/15,18:51:40,18:55:11,100,34O39PNDLPSTKX1CVMIGAUTQ5FMBR4,34O39PNDLPSTKX1CVMIGAUTQ5FMBR4,FALSE,FALSE
13823021,13823021,Aquilegia_coerulea,Aquilegia_coerulea,8639324,8639756,298728,298728,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_coerulea/images/Aquilegia_coerulea.13823021.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_coerulea/images/Aquilegia_coerulea.13823021.jpg,0,0,2,2,2,2,FALSE,TRUE,1,1,5,7,A1O54JC63YZN2G,A1O54JC63YZN2G,20653,20653,12.8,15.6,2024/4/15,2024/4/15,18:56:24,18:57:04,100,34O39PNDLPSTKX1CVMIGAUTQ5FMBR4,34O39PNDLPSTKX1CVMIGAUTQ5FMBR4,FALSE,FALSE
24604262,24604262,Aquilegia_coerulea,Aquilegia_coerulea,8641579,8642478,298826,298826,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_coerulea/images/Aquilegia_coerulea.24604262.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_coerulea/images/Aquilegia_coerulea.24604262.jpg,0,0,2,2,0,0,FALSE,TRUE,1,1,4,7,A7GL6ROJSH1AP,A7GL6ROJSH1AP,20028,20028,23.44,20.99,2024/4/15,2024/4/15,19:00:13,19:02:00,100,34O39PNDLPSTKX1CVMIGAUTQ5FMBR4,34O39PNDLPSTKX1CVMIGAUTQ5FMBR4,FALSE,FALSE
27018368,27018368,Aquilegia_coerulea,Aquilegia_coerulea,8642689,8643190,298843,298843,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_coerulea/images/Aquilegia_coerulea.27018368.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_coerulea/images/Aquilegia_coerulea.27018368.jpg,3,3,3,3,2,2,FALSE,TRUE,1,1,4,6,A34H7UVYQTC390,A34H7UVYQTC390,20711,20711,26.39,37.89,2024/4/15,2024/4/15,19:02:22,19:03:16,100,34O39PNDLPSTKX1CVMIGAUTQ5FMBR4,34O39PNDLPSTKX1CVMIGAUTQ5FMBR4,FALSE,FALSE
3030258,3030258,Aquilegia_coerulea,Aquilegia_coerulea,8641590,8643316,298603,298603,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_coerulea/images/Aquilegia_coerulea.3030258.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_coerulea/images/Aquilegia_coerulea.3030258.jpg,2,1,1,1,1,0,FALSE,TRUE,1,1,1,10,A3MQH36L1YS29J,A3MQH36L1YS29J,20692,20692,152.08,15.1,2024/4/15,2024/4/15,19:00:14,19:03:34,67,34O39PNDLPSTKX1CVMIGAUTQ5FMBR4,34O39PNDLPSTKX1CVMIGAUTQ5FMBR4,FALSE,FALSE
13824851,13824851,Aquilegia_coerulea,Aquilegia_coerulea,8643216,8643589,298779,298779,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_coerulea/images/Aquilegia_coerulea.13824851.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_coerulea/images/Aquilegia_coerulea.13824851.jpg,0,0,3,3,0,0,FALSE,TRUE,1,1,2,4,A2519LCLPN7Y6I,A2519LCLPN7Y6I,12226,12226,17.57,21.54,2024/4/15,2024/4/15,19:03:20,19:04:09,100,34O39PNDLPSTKX1CVMIGAUTQ5FMBR4,34O39PNDLPSTKX1CVMIGAUTQ5FMBR4,FALSE,FALSE
13825135,13825135,Aquilegia_coerulea,Aquilegia_coerulea,8642619,8643559,298787,298787,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_coerulea/images/Aquilegia_coerulea.13825135.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_coerulea/images/Aquilegia_coerulea.13825135.jpg,0,0,2,2,0,0,FALSE,TRUE,1,1,1,5,A3LNR39VGZANKU,A3LNR39VGZANKU,20424,20424,40.33,11.93,2024/4/15,2024/4/15,19:02:15,19:04:04,100,34O39PNDLPSTKX1CVMIGAUTQ5FMBR4,34O39PNDLPSTKX1CVMIGAUTQ5FMBR4,FALSE,FALSE
507452,507452,Aquilegia_coerulea,Aquilegia_coerulea,8642436,8643798,298562,298562,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_coerulea/images/Aquilegia_coerulea.507452.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_coerulea/images/Aquilegia_coerulea.507452.jpg,0,0,3,4,0,0,FALSE,TRUE,1,1,3,8,A22VM7OOJO7JXM,A22VM7OOJO7JXM,20707,20707,42.97,13.43,2024/4/15,2024/4/15,19:01:57,19:04:34,86,34O39PNDLPSTKX1CVMIGAUTQ5FMBR4,34O39PNDLPSTKX1CVMIGAUTQ5FMBR4,FALSE,FALSE
10334907,10334907,Aquilegia_coerulea,Aquilegia_coerulea,8643101,8644161,298688,298688,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_coerulea/images/Aquilegia_coerulea.10334907.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_coerulea/images/Aquilegia_coerulea.10334907.jpg,0,0,1,1,1,1,FALSE,TRUE,2,2,3,7,A1O54JC63YZN2G,A1O54JC63YZN2G,20653,20653,42.68,23.51,2024/4/15,2024/4/15,19:03:08,19:05:23,100,34O39PNDLPSTKX1CVMIGAUTQ5FMBR4,34O39PNDLPSTKX1CVMIGAUTQ5FMBR4,FALSE,FALSE
520358,520358,Aquilegia_coerulea,Aquilegia_coerulea,8643658,8644326,298575,298575,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_coerulea/images/Aquilegia_coerulea.520358.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_coerulea/images/Aquilegia_coerulea.520358.jpg,0,0,5,2,0,0,FALSE,TRUE,1,1,1,7,A3L1IIBIKBL107,A3L1IIBIKBL107,19704,19704,437.92,6.04,2024/4/15,2024/4/15,19:04:17,19:05:44,58,34O39PNDLPSTKX1CVMIGAUTQ5FMBR4,34O39PNDLPSTKX1CVMIGAUTQ5FMBR4,FALSE,FALSE
13823036,13823036,Aquilegia_coerulea,Aquilegia_coerulea,8643704,8644655,298739,298739,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_coerulea/images/Aquilegia_coerulea.13823036.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_coerulea/images/Aquilegia_coerulea.13823036.jpg,0,0,10,9,0,0,FALSE,TRUE,1,1,1,3,A2Z6PTF2DPUMI9,A2Z6PTF2DPUMI9,20596,20596,38.85,43.72,2024/4/15,2024/4/15,19:04:22,19:06:30,95,34O39PNDLPSTKX1CVMIGAUTQ5FMBR4,34O39PNDLPSTKX1CVMIGAUTQ5FMBR4,FALSE,FALSE
8886107,8886107,Aquilegia_coerulea,Aquilegia_coerulea,8644528,8644883,298684,298684,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_coerulea/images/Aquilegia_coerulea.8886107.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_coerulea/images/Aquilegia_coerulea.8886107.jpg,3,3,4,4,0,0,FALSE,TRUE,1,1,7,9,A30GP1W7S6H4VX,A30GP1W7S6H4VX,20457,20457,59.42,27.23,2024/4/15,2024/4/15,19:06:08,19:07:09,100,34O39PNDLPSTKX1CVMIGAUTQ5FMBR4,34O39PNDLPSTKX1CVMIGAUTQ5FMBR4,FALSE,FALSE
25171873,25171873,Aquilegia_coerulea,Aquilegia_coerulea,8644587,8645225,298835,298835,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_coerulea/images/Aquilegia_coerulea.25171873.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_coerulea/images/Aquilegia_coerulea.25171873.jpg,0,0,2,2,4,4,FALSE,TRUE,1,1,2,4,A1NAFEAI66B6MS,A1NAFEAI66B6MS,20738,20738,22.21,51.03,2024/4/15,2024/4/15,19:06:19,19:08:00,100,34O39PNDLPSTKX1CVMIGAUTQ5FMBR4,34O39PNDLPSTKX1CVMIGAUTQ5FMBR4,FALSE,FALSE
