coreID1,coreID2,species1,species2,annotation-ID1,annotation-ID2,image-ID1,image-ID2,image-URL1,image-URL2,bud1,bud2,flower1,flower2,fruit1,fruit2,is-duplicated1,is-duplicated2,setNum1,setNum2,sequence1,sequence2,username1,username2,user-ID1,user-ID2,time-spent1 (seconds),time-spent2 (seconds),date1,date2,time1,time2,dejavu-score (%),hit-id1,hit-id2,is-test1,is-test2
4781826,4781826,Aquilegia_jonesii,Aquilegia_jonesii,8643866,8646028,299919,299919,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.4781826.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.4781826.jpg,0,0,2,1,0,0,FALSE,TRUE,1,1,2,10,A27O3JHQ2ZSCUW,A27O3JHQ2ZSCUW,20681,20681,67.14,41.86,2024/4/15,2024/4/15,19:04:43,19:09:45,67,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,FALSE,FALSE
1429539,1429539,Aquilegia_jonesii,Aquilegia_jonesii,8647656,8648261,299895,299895,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.1429539.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.1429539.jpg,0,0,0,3,3,0,FALSE,TRUE,1,1,1,9,A30CO5YCHZUZD9,A30CO5YCHZUZD9,19320,19320,71.09,9.68,2024/4/15,2024/4/15,19:13:23,19:14:59,0,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,FALSE,FALSE
1436341,1436341,Aquilegia_jonesii,Aquilegia_jonesii,8648946,8649353,299904,299904,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.1436341.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.1436341.jpg,0,0,7,2,0,0,FALSE,TRUE,1,1,6,10,AZ0VPYLKIPMRF,AZ0VPYLKIPMRF,11829,11829,8.53,11.51,2024/4/15,2024/4/15,19:16:39,19:17:38,45,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,FALSE,FALSE
1169459,1169459,Aquilegia_jonesii,Aquilegia_jonesii,8649670,8650134,299887,299887,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.1169459.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.1169459.jpg,0,0,0,0,1,1,FALSE,TRUE,1,1,5,9,A3EPXUXQW7T8BL,A3EPXUXQW7T8BL,18918,18918,20.67,18.69,2024/4/15,2024/4/15,19:18:25,19:19:59,100,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,FALSE,FALSE
1632056,1632056,Aquilegia_jonesii,Aquilegia_jonesii,8650934,8651315,299914,299914,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.1632056.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.1632056.jpg,0,0,0,0,2,2,FALSE,TRUE,2,2,2,7,A3EPXUXQW7T8BL,A3EPXUXQW7T8BL,18918,18918,14.89,9.49,2024/4/15,2024/4/15,19:22:36,19:23:55,100,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,FALSE,FALSE
27169283,27169283,Aquilegia_jonesii,Aquilegia_jonesii,8652038,8652353,299935,299935,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.27169283.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.27169283.jpg,0,0,0,0,4,4,FALSE,TRUE,3,3,2,4,A3EPXUXQW7T8BL,A3EPXUXQW7T8BL,18918,18918,19.2,23.61,2024/4/15,2024/4/15,19:26:27,19:27:11,100,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,FALSE,FALSE
1453954,1453954,Aquilegia_jonesii,Aquilegia_jonesii,8652262,8653015,299910,299910,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.1453954.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.1453954.jpg,0,0,0,0,6,6,FALSE,TRUE,1,1,4,9,A2QHTG5ZZHQXPI,A2QHTG5ZZHQXPI,20485,20485,20.35,28.62,2024/4/15,2024/4/15,19:26:58,19:28:48,100,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,FALSE,FALSE
4847893,4847893,Aquilegia_jonesii,Aquilegia_jonesii,8653858,8654047,299922,299922,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.4847893.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.4847893.jpg,0,0,5,5,0,0,FALSE,TRUE,4,4,5,8,A3EPXUXQW7T8BL,A3EPXUXQW7T8BL,18918,18918,15.41,15.06,2024/4/15,2024/4/15,19:31:10,19:31:44,100,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,FALSE,FALSE
1436333,1436333,Aquilegia_jonesii,Aquilegia_jonesii,8654891,8654994,299897,299897,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.1436333.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.1436333.jpg,0,0,1,1,0,0,FALSE,TRUE,5,5,6,8,A3EPXUXQW7T8BL,A3EPXUXQW7T8BL,18918,18918,14.34,13.62,2024/4/15,2024/4/15,19:34:36,19:35:02,100,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,FALSE,FALSE
1189318,1189318,Aquilegia_jonesii,Aquilegia_jonesii,8657142,8657605,299888,299888,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.1189318.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.1189318.jpg,0,0,0,0,6,4,FALSE,TRUE,1,1,1,7,A2ROZMCATNS36J,A2ROZMCATNS36J,20823,20823,77.65,8.1,2024/4/15,2024/4/15,19:42:43,19:44:27,80,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,FALSE,FALSE
1131706,1131706,Aquilegia_jonesii,Aquilegia_jonesii,8657850,8658118,299883,299883,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.1131706.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.1131706.jpg,0,0,0,0,3,4,FALSE,TRUE,1,1,5,8,A10IHO8AGIWFNG,A10IHO8AGIWFNG,19997,19997,9.85,21.02,2024/4/15,2024/4/15,19:45:41,19:46:40,86,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,FALSE,FALSE
1632045,1632045,Aquilegia_jonesii,Aquilegia_jonesii,8657623,8658139,299913,299913,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.1632045.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.1632045.jpg,0,0,0,0,4,4,FALSE,TRUE,1,1,2,10,A1QYJI4ZXKVWU,A1QYJI4ZXKVWU,18911,18911,8.99,9.69,2024/4/15,2024/4/15,19:44:32,19:46:44,100,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,FALSE,FALSE
1436344,1436344,Aquilegia_jonesii,Aquilegia_jonesii,8657884,8658253,299907,299907,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.1436344.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.1436344.jpg,0,4,0,0,2,0,FALSE,TRUE,2,2,2,8,A2ROZMCATNS36J,A2ROZMCATNS36J,20823,20823,17.89,31.19,2024/4/15,2024/4/15,19:45:51,19:47:18,0,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,FALSE,FALSE
4781826,4781826,Aquilegia_jonesii,Aquilegia_jonesii,8658682,8659625,299919,299919,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.4781826.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.4781826.jpg,6,0,0,8,0,0,FALSE,TRUE,1,1,1,8,A3Q0N8L8OITC87,A3Q0N8L8OITC87,20293,20293,315,13.85,2024/4/15,2024/4/15,19:49:26,19:53:37,0,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,FALSE,FALSE
1632845,1632845,Aquilegia_jonesii,Aquilegia_jonesii,8659845,8659990,299915,299915,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.1632845.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Aquilegia_jonesii/images/Aquilegia_jonesii.1632845.jpg,0,0,0,0,2,2,FALSE,TRUE,1,1,8,10,A1Q7KDP8IYSSUT,A1Q7KDP8IYSSUT,2564,2564,10.53,15.22,2024/4/15,2024/4/15,19:54:25,19:54:56,100,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,3MGHRFQY3491XBAOB1DLY9Q4HY40Y9,FALSE,FALSE
