coreID1,coreID2,species1,species2,annotation-ID1,annotation-ID2,image-ID1,image-ID2,image-URL1,image-URL2,bud1,bud2,flower1,flower2,fruit1,fruit2,is-duplicated1,is-duplicated2,setNum1,setNum2,sequence1,sequence2,username1,username2,user-ID1,user-ID2,time-spent1 (seconds),time-spent2 (seconds),date1,date2,time1,time2,dejavu-score (%),hit-id1,hit-id2,is-test1,is-test2
16903549,16903549,Chimaphila_umbellata,Chimaphila_umbellata,8724656,8724991,306619,306619,https://crowdcurio-experiment-images.s3.amazonaws.com/Chimaphila_umbellata/images/Chimaphila_umbellata.16903549.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Chimaphila_umbellata/images/Chimaphila_umbellata.16903549.jpg,0,0,0,0,7,7,FALSE,TRUE,1,1,2,4,A3GETZXAACC3Z,A3GETZXAACC3Z,21316,21316,31.39,19.86,2024/4/16,2024/4/16,1:21:18,1:22:22,100,3SMIWMMK7KPDOSR4U79H2JTVMFJUWI,3SMIWMMK7KPDOSR4U79H2JTVMFJUWI,FALSE,FALSE
6179054,6179054,Chimaphila_umbellata,Chimaphila_umbellata,8726019,8726501,306609,306609,https://crowdcurio-experiment-images.s3.amazonaws.com/Chimaphila_umbellata/images/Chimaphila_umbellata.6179054.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Chimaphila_umbellata/images/Chimaphila_umbellata.6179054.jpg,1,5,0,0,4,0,FALSE,TRUE,1,1,2,7,A1IK0XG29IPWAQ,A1IK0XG29IPWAQ,21330,21330,43.57,9.07,2024/4/16,2024/4/16,1:26:16,1:28:14,20,3SMIWMMK7KPDOSR4U79H2JTVMFJUWI,3SMIWMMK7KPDOSR4U79H2JTVMFJUWI,FALSE,FALSE
4019701,4019701,Chimaphila_umbellata,Chimaphila_umbellata,8726742,8727305,306597,306597,https://crowdcurio-experiment-images.s3.amazonaws.com/Chimaphila_umbellata/images/Chimaphila_umbellata.4019701.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Chimaphila_umbellata/images/Chimaphila_umbellata.4019701.jpg,9,8,2,2,0,0,FALSE,TRUE,1,1,2,8,A2CIOGSXXUIDAS,A2CIOGSXXUIDAS,21341,21341,39.72,18.56,2024/4/16,2024/4/16,1:29:04,1:31:31,96,3SMIWMMK7KPDOSR4U79H2JTVMFJUWI,3SMIWMMK7KPDOSR4U79H2JTVMFJUWI,FALSE,FALSE
3088612,3088612,Chimaphila_umbellata,Chimaphila_umbellata,8729972,8730648,306590,306590,https://crowdcurio-experiment-images.s3.amazonaws.com/Chimaphila_umbellata/images/Chimaphila_umbellata.3088612.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Chimaphila_umbellata/images/Chimaphila_umbellata.3088612.jpg,0,0,1,1,1,0,FALSE,TRUE,1,1,2,6,A3MSYMSTHZJI98,A3MSYMSTHZJI98,15070,15070,19.59,17.85,2024/4/16,2024/4/16,1:42:34,1:44:38,67,3SMIWMMK7KPDOSR4U79H2JTVMFJUWI,3SMIWMMK7KPDOSR4U79H2JTVMFJUWI,FALSE,FALSE
3042585,3042585,Chimaphila_umbellata,Chimaphila_umbellata,8731231,8731373,306584,306584,https://crowdcurio-experiment-images.s3.amazonaws.com/Chimaphila_umbellata/images/Chimaphila_umbellata.3042585.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Chimaphila_umbellata/images/Chimaphila_umbellata.3042585.jpg,5,5,0,0,0,0,FALSE,TRUE,1,1,5,7,A1YSJ6A0HH6GRG,A1YSJ6A0HH6GRG,14313,14313,11.86,10.93,2024/4/16,2024/4/16,1:46:45,1:47:11,100,3SMIWMMK7KPDOSR4U79H2JTVMFJUWI,3SMIWMMK7KPDOSR4U79H2JTVMFJUWI,FALSE,FALSE
490852,490852,Chimaphila_umbellata,Chimaphila_umbellata,8732494,8732602,306572,306572,https://crowdcurio-experiment-images.s3.amazonaws.com/Chimaphila_umbellata/images/Chimaphila_umbellata.490852.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Chimaphila_umbellata/images/Chimaphila_umbellata.490852.jpg,4,4,0,0,0,0,FALSE,TRUE,2,2,3,5,A1YSJ6A0HH6GRG,A1YSJ6A0HH6GRG,14313,14313,9.37,7.77,2024/4/16,2024/4/16,1:51:23,1:51:45,100,3SMIWMMK7KPDOSR4U79H2JTVMFJUWI,3SMIWMMK7KPDOSR4U79H2JTVMFJUWI,FALSE,FALSE
24374839,24374839,Chimaphila_umbellata,Chimaphila_umbellata,8733090,8733748,306630,306630,https://crowdcurio-experiment-images.s3.amazonaws.com/Chimaphila_umbellata/images/Chimaphila_umbellata.24374839.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Chimaphila_umbellata/images/Chimaphila_umbellata.24374839.jpg,8,3,0,0,0,0,FALSE,TRUE,3,3,2,10,A1YSJ6A0HH6GRG,A1YSJ6A0HH6GRG,14313,14313,10.4,5.78,2024/4/16,2024/4/16,1:53:11,1:54:55,55,3SMIWMMK7KPDOSR4U79H2JTVMFJUWI,3SMIWMMK7KPDOSR4U79H2JTVMFJUWI,FALSE,FALSE
490844,490844,Chimaphila_umbellata,Chimaphila_umbellata,8739584,8740323,306564,306564,https://crowdcurio-experiment-images.s3.amazonaws.com/Chimaphila_umbellata/images/Chimaphila_umbellata.490844.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Chimaphila_umbellata/images/Chimaphila_umbellata.490844.jpg,0,1,8,8,3,2,FALSE,TRUE,1,1,1,4,A3FY2MPEPJ1XG3,A3FY2MPEPJ1XG3,21378,21378,10.67,72.15,2024/4/16,2024/4/16,2:14:38,2:17:26,91,3SMIWMMK7KPDOSR4U79H2JTVMFJUWI,3SMIWMMK7KPDOSR4U79H2JTVMFJUWI,FALSE,FALSE
3861959,3861959,Chimaphila_umbellata,Chimaphila_umbellata,8745550,8745808,306595,306595,https://crowdcurio-experiment-images.s3.amazonaws.com/Chimaphila_umbellata/images/Chimaphila_umbellata.3861959.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Chimaphila_umbellata/images/Chimaphila_umbellata.3861959.jpg,8,8,1,0,4,3,FALSE,TRUE,1,1,5,8,A1OIBI3PWS4R5K,A1OIBI3PWS4R5K,676,676,29.41,13.63,2024/4/16,2024/4/16,2:37:02,2:37:50,92,3SMIWMMK7KPDOSR4U79H2JTVMFJUWI,3SMIWMMK7KPDOSR4U79H2JTVMFJUWI,FALSE,FALSE
16904783,16904783,Chimaphila_umbellata,Chimaphila_umbellata,8744473,8746001,306621,306621,https://crowdcurio-experiment-images.s3.amazonaws.com/Chimaphila_umbellata/images/Chimaphila_umbellata.16904783.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Chimaphila_umbellata/images/Chimaphila_umbellata.16904783.jpg,0,0,1,1,0,0,FALSE,TRUE,1,1,1,8,A1EWNHHD2CINT8,A1EWNHHD2CINT8,21419,21419,58.96,20.26,2024/4/16,2024/4/16,2:32:15,2:38:47,100,3SMIWMMK7KPDOSR4U79H2JTVMFJUWI,3SMIWMMK7KPDOSR4U79H2JTVMFJUWI,FALSE,FALSE
