coreID1,coreID2,species1,species2,annotation-ID1,annotation-ID2,image-ID1,image-ID2,image-URL1,image-URL2,bud1,bud2,flower1,flower2,fruit1,fruit2,is-duplicated1,is-duplicated2,setNum1,setNum2,sequence1,sequence2,username1,username2,user-ID1,user-ID2,time-spent1 (seconds),time-spent2 (seconds),date1,date2,time1,time2,dejavu-score (%),hit-id1,hit-id2,is-test1,is-test2
22511450,22511450,Cirsium_arvense,Cirsium_arvense,8736360,8737671,307591,307591,https://crowdcurio-experiment-images.s3.amazonaws.com/Cirsium_arvense/images/Cirsium_arvense.22511450.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Cirsium_arvense/images/Cirsium_arvense.22511450.jpg,4,4,2,0,0,2,FALSE,TRUE,1,1,6,10,A15IJ20C3R4HUO,A15IJ20C3R4HUO,5268,5268,39.84,42.08,2024/4/16,2024/4/16,2:03:14,2:07:59,67,3IWA71V4U107BH6T8U70OWTMSV7X6C,3IWA71V4U107BH6T8U70OWTMSV7X6C,FALSE,FALSE
20606940,20606940,Cirsium_arvense,Cirsium_arvense,8744014,8744596,307554,307554,https://crowdcurio-experiment-images.s3.amazonaws.com/Cirsium_arvense/images/Cirsium_arvense.20606940.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Cirsium_arvense/images/Cirsium_arvense.20606940.jpg,32,25,0,0,0,0,FALSE,TRUE,1,1,4,7,AZ0VPYLKIPMRF,AZ0VPYLKIPMRF,11829,11829,36.66,135.03,2024/4/16,2024/4/16,2:30:03,2:32:57,88,3IWA71V4U107BH6T8U70OWTMSV7X6C,3IWA71V4U107BH6T8U70OWTMSV7X6C,FALSE,FALSE
19785664,19785664,Cirsium_arvense,Cirsium_arvense,8745315,8745658,307545,307545,https://crowdcurio-experiment-images.s3.amazonaws.com/Cirsium_arvense/images/Cirsium_arvense.19785664.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Cirsium_arvense/images/Cirsium_arvense.19785664.jpg,0,0,9,11,0,0,FALSE,TRUE,2,2,3,7,AZ0VPYLKIPMRF,AZ0VPYLKIPMRF,11829,11829,16.92,13.65,2024/4/16,2024/4/16,2:36:19,2:37:22,90,3IWA71V4U107BH6T8U70OWTMSV7X6C,3IWA71V4U107BH6T8U70OWTMSV7X6C,FALSE,FALSE
18944547,18944547,Cirsium_arvense,Cirsium_arvense,8746571,8746752,307542,307542,https://crowdcurio-experiment-images.s3.amazonaws.com/Cirsium_arvense/images/Cirsium_arvense.18944547.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Cirsium_arvense/images/Cirsium_arvense.18944547.jpg,0,0,3,9,0,0,FALSE,TRUE,1,1,2,4,A2TIA66SC9IKB,A2TIA66SC9IKB,21377,21377,14.62,18.25,2024/4/16,2024/4/16,2:41:02,2:41:40,50,3IWA71V4U107BH6T8U70OWTMSV7X6C,3IWA71V4U107BH6T8U70OWTMSV7X6C,FALSE,FALSE
21975225,21975225,Cirsium_arvense,Cirsium_arvense,8743097,8747124,307576,307576,https://crowdcurio-experiment-images.s3.amazonaws.com/Cirsium_arvense/images/Cirsium_arvense.21975225.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Cirsium_arvense/images/Cirsium_arvense.21975225.jpg,3,0,6,0,0,10,FALSE,TRUE,1,1,2,6,A1Z5O5OZEVKWZX,A1Z5O5OZEVKWZX,21415,21415,62.81,34.17,2024/4/16,2024/4/16,2:27:02,2:43:41,0,3IWA71V4U107BH6T8U70OWTMSV7X6C,3IWA71V4U107BH6T8U70OWTMSV7X6C,FALSE,FALSE
15811383,15811383,Cirsium_arvense,Cirsium_arvense,8747110,8747202,307533,307533,https://crowdcurio-experiment-images.s3.amazonaws.com/Cirsium_arvense/images/Cirsium_arvense.15811383.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Cirsium_arvense/images/Cirsium_arvense.15811383.jpg,0,0,10,6,0,0,FALSE,TRUE,3,3,7,9,AZ0VPYLKIPMRF,AZ0VPYLKIPMRF,11829,11829,12.21,12.4,2024/4/16,2024/4/16,2:43:33,2:44:02,75,3IWA71V4U107BH6T8U70OWTMSV7X6C,3IWA71V4U107BH6T8U70OWTMSV7X6C,FALSE,FALSE
14938906,14938906,Cirsium_arvense,Cirsium_arvense,8747917,8748308,307523,307523,https://crowdcurio-experiment-images.s3.amazonaws.com/Cirsium_arvense/images/Cirsium_arvense.14938906.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Cirsium_arvense/images/Cirsium_arvense.14938906.jpg,9,4,0,0,0,0,FALSE,TRUE,1,1,1,9,A1YSJ6A0HH6GRG,A1YSJ6A0HH6GRG,14313,14313,32.15,15.42,2024/4/16,2024/4/16,2:47:37,2:49:32,62,3IWA71V4U107BH6T8U70OWTMSV7X6C,3IWA71V4U107BH6T8U70OWTMSV7X6C,FALSE,FALSE
13865648,13865648,Cirsium_arvense,Cirsium_arvense,8752006,8752584,307499,307499,https://crowdcurio-experiment-images.s3.amazonaws.com/Cirsium_arvense/images/Cirsium_arvense.13865648.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Cirsium_arvense/images/Cirsium_arvense.13865648.jpg,0,0,1,0,0,0,FALSE,TRUE,1,1,6,10,ALDMJFWI8WRRF,ALDMJFWI8WRRF,21469,21469,61.23,7.29,2024/4/16,2024/4/16,3:06:54,3:09:26,0,3IWA71V4U107BH6T8U70OWTMSV7X6C,3IWA71V4U107BH6T8U70OWTMSV7X6C,FALSE,FALSE
13865641,13865641,Cirsium_arvense,Cirsium_arvense,8754664,8755879,307494,307494,https://crowdcurio-experiment-images.s3.amazonaws.com/Cirsium_arvense/images/Cirsium_arvense.13865641.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Cirsium_arvense/images/Cirsium_arvense.13865641.jpg,14,17,20,18,15,10,FALSE,TRUE,1,1,5,7,A17Q80ZLL3XHPS,A17Q80ZLL3XHPS,21479,21479,121.53,224.58,2024/4/16,2024/4/16,3:19:36,3:24:29,90,3IWA71V4U107BH6T8U70OWTMSV7X6C,3IWA71V4U107BH6T8U70OWTMSV7X6C,FALSE,FALSE
13050172,13050172,Cirsium_arvense,Cirsium_arvense,8754370,8758451,307475,307475,https://crowdcurio-experiment-images.s3.amazonaws.com/Cirsium_arvense/images/Cirsium_arvense.13050172.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Cirsium_arvense/images/Cirsium_arvense.13050172.jpg,10,13,7,2,0,0,FALSE,TRUE,1,1,1,8,A338KSNJWN7BXJ,A338KSNJWN7BXJ,21497,21497,232.79,44.01,2024/4/16,2024/4/16,3:18:13,3:34:55,75,3IWA71V4U107BH6T8U70OWTMSV7X6C,3IWA71V4U107BH6T8U70OWTMSV7X6C,FALSE,FALSE
