coreID,species,annotation-ID,image-ID,image-URL,bud,flower,fruit,is-duplicated,set-number,sequence,username,user-ID,time-spent (seconds),date,time,hit-id,is-test
6070847,Cirsium_tracyi,8895275,307678,https://crowdcurio-experiment-images.s3.amazonaws.com/Cirsium_tracyi/images/Cirsium_tracyi.6070847.jpg,1,2,3,FALSE,1,1,A14O5IIY74ZV0P,19301,60.41,2024/4/16,14:00:28,3KA7IJSNXPP88KLXIUER5ZTB5YRPBM,FALSE
6048918,Cirsium_tracyi,8895339,307677,https://crowdcurio-experiment-images.s3.amazonaws.com/Cirsium_tracyi/images/Cirsium_tracyi.6048918.jpg,2,1,0,FALSE,1,2,A14O5IIY74ZV0P,19301,22.86,2024/4/16,14:00:54,3KA7IJSNXPP88KLXIUER5ZTB5YRPBM,FALSE
6047607,Cirsium_tracyi,8895488,307676,https://crowdcurio-experiment-images.s3.amazonaws.com/Cirsium_tracyi/images/Cirsium_tracyi.6047607.jpg,4,1,0,FALSE,1,3,A14O5IIY74ZV0P,19301,51.16,2024/4/16,14:01:48,3KA7IJSNXPP88KLXIUER5ZTB5YRPBM,FALSE
7836846,Cirsium_tracyi,8895583,307681,https://crowdcurio-experiment-images.s3.amazonaws.com/Cirsium_tracyi/images/Cirsium_tracyi.7836846.jpg,3,1,0,FALSE,1,4,A14O5IIY74ZV0P,19301,22.93,2024/4/16,14:02:14,3KA7IJSNXPP88KLXIUER5ZTB5YRPBM,FALSE
7836843,Cirsium_tracyi,8895702,307680,https://crowdcurio-experiment-images.s3.amazonaws.com/Cirsium_tracyi/images/Cirsium_tracyi.7836843.jpg,4,3,0,FALSE,1,5,A14O5IIY74ZV0P,19301,36.41,2024/4/16,14:02:54,3KA7IJSNXPP88KLXIUER5ZTB5YRPBM,FALSE
13081598,Cirsium_tracyi,8895932,307683,https://crowdcurio-experiment-images.s3.amazonaws.com/Cirsium_tracyi/images/Cirsium_tracyi.13081598.jpg,4,4,2,FALSE,1,6,A14O5IIY74ZV0P,19301,71.41,2024/4/16,14:04:08,3KA7IJSNXPP88KLXIUER5ZTB5YRPBM,FALSE
12899431,Cirsium_tracyi,8896188,307682,https://crowdcurio-experiment-images.s3.amazonaws.com/Cirsium_tracyi/images/Cirsium_tracyi.12899431.jpg,3,1,5,FALSE,1,7,A14O5IIY74ZV0P,19301,85.35,2024/4/16,14:05:37,3KA7IJSNXPP88KLXIUER5ZTB5YRPBM,FALSE
3027023,Cirsium_tracyi,8896817,307668,https://crowdcurio-experiment-images.s3.amazonaws.com/Cirsium_tracyi/images/Cirsium_tracyi.3027023.jpg,5,3,0,FALSE,1,1,AIKRB1U3EGMQR,22321,233.31,2024/4/16,14:08:31,3KA7IJSNXPP88KLXIUER5ZTB5YRPBM,FALSE
6070847,Cirsium_tracyi,8896303,307678,https://crowdcurio-experiment-images.s3.amazonaws.com/Cirsium_tracyi/images/Cirsium_tracyi.6070847.jpg,1,2,3,TRUE,1,8,A14O5IIY74ZV0P,19301,32.19,2024/4/16,14:06:11,3KA7IJSNXPP88KLXIUER5ZTB5YRPBM,FALSE
6088878,Cirsium_tracyi,8896526,307679,https://crowdcurio-experiment-images.s3.amazonaws.com/Cirsium_tracyi/images/Cirsium_tracyi.6088878.jpg,6,6,3,FALSE,1,9,A14O5IIY74ZV0P,19301,63.49,2024/4/16,14:07:18,3KA7IJSNXPP88KLXIUER5ZTB5YRPBM,FALSE
