coreID,species,annotation-ID,image-ID,image-URL,bud,flower,fruit,is-duplicated,set-number,sequence,username,user-ID,time-spent (seconds),date,time,hit-id,is-test
13800018,Claytonia_rosea,8895044,308059,https://crowdcurio-experiment-images.s3.amazonaws.com/Claytonia_rosea/images/Claytonia_rosea.13800018.jpg,1,4,6,FALSE,1,1,A2519LCLPN7Y6I,12226,138.88,2024/4/16,13:59:00,3B9J25CZ3OXOVHTVOBEGBO44A3YSCC,FALSE
13800023,Claytonia_rosea,8895314,308062,https://crowdcurio-experiment-images.s3.amazonaws.com/Claytonia_rosea/images/Claytonia_rosea.13800023.jpg,6,16,8,FALSE,1,2,A2519LCLPN7Y6I,12226,99.23,2024/4/16,14:00:42,3B9J25CZ3OXOVHTVOBEGBO44A3YSCC,FALSE
3046160,Claytonia_rosea,,308025,https://crowdcurio-experiment-images.s3.amazonaws.com/Claytonia_rosea/images/Claytonia_rosea.3046160.jpg,7,4,5,FALSE,1,1,ALYR5CI2SM2JC,742,0,,,,FALSE
13800013,Claytonia_rosea,8895299,308056,https://crowdcurio-experiment-images.s3.amazonaws.com/Claytonia_rosea/images/Claytonia_rosea.13800013.jpg,2,0,0,FALSE,1,1,A3OE1BPT0RYHR4,21135,147.62,2024/4/16,14:00:38,3B9J25CZ3OXOVHTVOBEGBO44A3YSCC,FALSE
13800026,Claytonia_rosea,8895353,308064,https://crowdcurio-experiment-images.s3.amazonaws.com/Claytonia_rosea/images/Claytonia_rosea.13800026.jpg,0,1,1,FALSE,1,3,A2519LCLPN7Y6I,12226,18.74,2024/4/16,14:01:02,3B9J25CZ3OXOVHTVOBEGBO44A3YSCC,FALSE
13800016,Claytonia_rosea,8895835,308057,https://crowdcurio-experiment-images.s3.amazonaws.com/Claytonia_rosea/images/Claytonia_rosea.13800016.jpg,47,3,3,FALSE,1,2,A3OE1BPT0RYHR4,21135,174.21,2024/4/16,14:03:35,3B9J25CZ3OXOVHTVOBEGBO44A3YSCC,FALSE
13800029,Claytonia_rosea,8895492,308066,https://crowdcurio-experiment-images.s3.amazonaws.com/Claytonia_rosea/images/Claytonia_rosea.13800029.jpg,10,0,0,FALSE,1,4,A2519LCLPN7Y6I,12226,45.09,2024/4/16,14:01:49,3B9J25CZ3OXOVHTVOBEGBO44A3YSCC,FALSE
13800025,Claytonia_rosea,8895719,308063,https://crowdcurio-experiment-images.s3.amazonaws.com/Claytonia_rosea/images/Claytonia_rosea.13800025.jpg,0,11,9,FALSE,1,5,A2519LCLPN7Y6I,12226,68.74,2024/4/16,14:03:00,3B9J25CZ3OXOVHTVOBEGBO44A3YSCC,FALSE
13800029,Claytonia_rosea,8895851,308066,https://crowdcurio-experiment-images.s3.amazonaws.com/Claytonia_rosea/images/Claytonia_rosea.13800029.jpg,14,0,0,TRUE,1,6,A2519LCLPN7Y6I,12226,37.36,2024/4/16,14:03:39,3B9J25CZ3OXOVHTVOBEGBO44A3YSCC,FALSE
13800010,Claytonia_rosea,8895965,308053,https://crowdcurio-experiment-images.s3.amazonaws.com/Claytonia_rosea/images/Claytonia_rosea.13800010.jpg,12,0,0,FALSE,1,3,A3OE1BPT0RYHR4,21135,44.35,2024/4/16,14:04:21,3B9J25CZ3OXOVHTVOBEGBO44A3YSCC,FALSE
