coreID1,coreID2,species1,species2,annotation-ID1,annotation-ID2,image-ID1,image-ID2,image-URL1,image-URL2,bud1,bud2,flower1,flower2,fruit1,fruit2,is-duplicated1,is-duplicated2,setNum1,setNum2,sequence1,sequence2,username1,username2,user-ID1,user-ID2,time-spent1 (seconds),time-spent2 (seconds),date1,date2,time1,time2,dejavu-score (%),hit-id1,hit-id2,is-test1,is-test2
24610062,24610062,Erigeron_coulteri,Erigeron_coulteri,8894528,8894562,308822,308822,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_coulteri/images/Erigeron_coulteri.24610062.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_coulteri/images/Erigeron_coulteri.24610062.jpg,0,0,2,2,1,1,FALSE,TRUE,1,1,7,9,A143XRCI1YXAFE,A143XRCI1YXAFE,5435,5435,7.78,6.96,2024/4/16,2024/4/16,13:53:52,13:54:08,100,3O71U79SSU91435M108UEK9G4H2MSO,3O71U79SSU91435M108UEK9G4H2MSO,FALSE,FALSE
20327254,20327254,Erigeron_coulteri,Erigeron_coulteri,8894601,8894624,308804,308804,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_coulteri/images/Erigeron_coulteri.20327254.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_coulteri/images/Erigeron_coulteri.20327254.jpg,0,0,3,3,0,0,FALSE,TRUE,2,2,1,3,A143XRCI1YXAFE,A143XRCI1YXAFE,5435,5435,6.7,6.38,2024/4/16,2024/4/16,13:54:34,13:54:58,100,3O71U79SSU91435M108UEK9G4H2MSO,3O71U79SSU91435M108UEK9G4H2MSO,FALSE,FALSE
22487409,22487409,Erigeron_coulteri,Erigeron_coulteri,8894861,8894895,308817,308817,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_coulteri/images/Erigeron_coulteri.22487409.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_coulteri/images/Erigeron_coulteri.22487409.jpg,0,0,12,12,0,0,FALSE,TRUE,1,1,4,6,A3MKGDXN95OG8S,A3MKGDXN95OG8S,20481,20481,10.81,11,2024/4/16,2024/4/16,13:57:12,13:57:35,100,3O71U79SSU91435M108UEK9G4H2MSO,3O71U79SSU91435M108UEK9G4H2MSO,FALSE,FALSE
27217953,27217953,Erigeron_coulteri,Erigeron_coulteri,8894757,8895089,308837,308837,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_coulteri/images/Erigeron_coulteri.27217953.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_coulteri/images/Erigeron_coulteri.27217953.jpg,0,0,0,0,2,2,FALSE,TRUE,1,1,2,7,A21XTK9Y0QZ8AB,A21XTK9Y0QZ8AB,6965,6965,23.6,26.35,2024/4/16,2024/4/16,13:56:20,13:59:23,100,3O71U79SSU91435M108UEK9G4H2MSO,3O71U79SSU91435M108UEK9G4H2MSO,FALSE,FALSE
19802980,19802980,Erigeron_coulteri,Erigeron_coulteri,8895066,8895226,308798,308798,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_coulteri/images/Erigeron_coulteri.19802980.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_coulteri/images/Erigeron_coulteri.19802980.jpg,0,0,3,4,0,0,FALSE,TRUE,2,2,4,9,A3MKGDXN95OG8S,A3MKGDXN95OG8S,20481,20481,6.55,8.05,2024/4/16,2024/4/16,13:59:13,14:00:08,86,3O71U79SSU91435M108UEK9G4H2MSO,3O71U79SSU91435M108UEK9G4H2MSO,FALSE,FALSE
17621985,17621985,Erigeron_coulteri,Erigeron_coulteri,8895450,8895569,308786,308786,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_coulteri/images/Erigeron_coulteri.17621985.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_coulteri/images/Erigeron_coulteri.17621985.jpg,0,0,5,4,0,0,FALSE,TRUE,3,3,6,9,A3MKGDXN95OG8S,A3MKGDXN95OG8S,20481,20481,7.01,6.04,2024/4/16,2024/4/16,14:01:34,14:02:09,89,3O71U79SSU91435M108UEK9G4H2MSO,3O71U79SSU91435M108UEK9G4H2MSO,FALSE,FALSE
14928506,14928506,Erigeron_coulteri,Erigeron_coulteri,8895700,8895803,308758,308758,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_coulteri/images/Erigeron_coulteri.14928506.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_coulteri/images/Erigeron_coulteri.14928506.jpg,0,0,3,3,0,0,FALSE,TRUE,4,4,2,5,A3MKGDXN95OG8S,A3MKGDXN95OG8S,20481,20481,7.17,8.04,2024/4/16,2024/4/16,14:02:54,14:03:24,100,3O71U79SSU91435M108UEK9G4H2MSO,3O71U79SSU91435M108UEK9G4H2MSO,FALSE,FALSE
14771900,14771900,Erigeron_coulteri,Erigeron_coulteri,8896033,8896182,308745,308745,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_coulteri/images/Erigeron_coulteri.14771900.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_coulteri/images/Erigeron_coulteri.14771900.jpg,0,0,3,4,0,0,FALSE,TRUE,5,5,1,5,A3MKGDXN95OG8S,A3MKGDXN95OG8S,20481,20481,10.96,6.53,2024/4/16,2024/4/16,14:04:51,14:05:35,86,3O71U79SSU91435M108UEK9G4H2MSO,3O71U79SSU91435M108UEK9G4H2MSO,FALSE,FALSE
15178017,15178017,Erigeron_coulteri,Erigeron_coulteri,8895526,8896198,308777,308777,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_coulteri/images/Erigeron_coulteri.15178017.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_coulteri/images/Erigeron_coulteri.15178017.jpg,0,0,5,5,0,0,FALSE,TRUE,2,2,1,9,A21XTK9Y0QZ8AB,A21XTK9Y0QZ8AB,6965,6965,29.05,25.24,2024/4/16,2024/4/16,14:01:59,14:05:41,100,3O71U79SSU91435M108UEK9G4H2MSO,3O71U79SSU91435M108UEK9G4H2MSO,FALSE,FALSE
13863413,13863413,Erigeron_coulteri,Erigeron_coulteri,8896457,8896836,308728,308728,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_coulteri/images/Erigeron_coulteri.13863413.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_coulteri/images/Erigeron_coulteri.13863413.jpg,0,0,4,4,0,0,FALSE,TRUE,6,6,1,9,A3MKGDXN95OG8S,A3MKGDXN95OG8S,20481,20481,7.22,8.15,2024/4/16,2024/4/16,14:06:56,14:08:36,100,3O71U79SSU91435M108UEK9G4H2MSO,3O71U79SSU91435M108UEK9G4H2MSO,FALSE,FALSE
