coreID1,coreID2,species1,species2,annotation-ID1,annotation-ID2,image-ID1,image-ID2,image-URL1,image-URL2,bud1,bud2,flower1,flower2,fruit1,fruit2,is-duplicated1,is-duplicated2,setNum1,setNum2,sequence1,sequence2,username1,username2,user-ID1,user-ID2,time-spent1 (seconds),time-spent2 (seconds),date1,date2,time1,time2,dejavu-score (%),hit-id1,hit-id2,is-test1,is-test2
27623713,27623713,Erigeron_speciosus,Erigeron_speciosus,8898017,8898495,311940,311940,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_speciosus/images/Erigeron_speciosus.27623713.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_speciosus/images/Erigeron_speciosus.27623713.jpg,0,0,0,0,13,12,FALSE,TRUE,1,1,4,7,A3VW0WY7RASRNF,A3VW0WY7RASRNF,20636,20636,47.77,64.71,2024/4/16,2024/4/16,14:13:21,14:15:24,96,3WGZLY9VD06GHPK0A93ME3MLJ93D8X,3WGZLY9VD06GHPK0A93ME3MLJ93D8X,FALSE,FALSE
27180870,27180870,Erigeron_speciosus,Erigeron_speciosus,8903958,8904538,311900,311900,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_speciosus/images/Erigeron_speciosus.27180870.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_speciosus/images/Erigeron_speciosus.27180870.jpg,2,2,6,6,0,0,FALSE,TRUE,1,1,6,10,A3BU69EKYL6SH3,A3BU69EKYL6SH3,11662,11662,17.17,15.01,2024/4/16,2024/4/16,14:38:02,14:40:01,100,3WGZLY9VD06GHPK0A93ME3MLJ93D8X,3WGZLY9VD06GHPK0A93ME3MLJ93D8X,FALSE,FALSE
24610014,24610014,Erigeron_speciosus,Erigeron_speciosus,8904235,8904619,311890,311890,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_speciosus/images/Erigeron_speciosus.24610014.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_speciosus/images/Erigeron_speciosus.24610014.jpg,0,0,5,5,0,0,FALSE,TRUE,1,1,2,8,A27WX1F6UGVCW0,A27WX1F6UGVCW0,20959,20959,11.87,11.63,2024/4/16,2024/4/16,14:38:57,14:40:18,100,3WGZLY9VD06GHPK0A93ME3MLJ93D8X,3WGZLY9VD06GHPK0A93ME3MLJ93D8X,FALSE,FALSE
24438905,24438905,Erigeron_speciosus,Erigeron_speciosus,8905455,8905628,311888,311888,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_speciosus/images/Erigeron_speciosus.24438905.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_speciosus/images/Erigeron_speciosus.24438905.jpg,0,0,5,5,1,1,FALSE,TRUE,2,2,7,9,A27WX1F6UGVCW0,A27WX1F6UGVCW0,20959,20959,14.97,16.09,2024/4/16,2024/4/16,14:43:04,14:43:35,100,3WGZLY9VD06GHPK0A93ME3MLJ93D8X,3WGZLY9VD06GHPK0A93ME3MLJ93D8X,FALSE,FALSE
24155094,24155094,Erigeron_speciosus,Erigeron_speciosus,8906017,8906654,311875,311875,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_speciosus/images/Erigeron_speciosus.24155094.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_speciosus/images/Erigeron_speciosus.24155094.jpg,5,5,8,4,0,0,FALSE,TRUE,3,3,2,8,A27WX1F6UGVCW0,A27WX1F6UGVCW0,20959,20959,35.97,26.91,2024/4/16,2024/4/16,14:44:54,14:46:58,82,3WGZLY9VD06GHPK0A93ME3MLJ93D8X,3WGZLY9VD06GHPK0A93ME3MLJ93D8X,FALSE,FALSE
21997355,21997355,Erigeron_speciosus,Erigeron_speciosus,8907046,8907646,311853,311853,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_speciosus/images/Erigeron_speciosus.21997355.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_speciosus/images/Erigeron_speciosus.21997355.jpg,3,3,5,5,0,0,FALSE,TRUE,4,4,2,8,A27WX1F6UGVCW0,A27WX1F6UGVCW0,20959,20959,37.51,19.24,2024/4/16,2024/4/16,14:48:49,14:51:01,100,3WGZLY9VD06GHPK0A93ME3MLJ93D8X,3WGZLY9VD06GHPK0A93ME3MLJ93D8X,FALSE,FALSE
21974561,21974561,Erigeron_speciosus,Erigeron_speciosus,8908236,8908365,311833,311833,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_speciosus/images/Erigeron_speciosus.21974561.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_speciosus/images/Erigeron_speciosus.21974561.jpg,0,0,4,3,0,1,FALSE,TRUE,5,5,6,8,A27WX1F6UGVCW0,A27WX1F6UGVCW0,20959,20959,10.89,14.96,2024/4/16,2024/4/16,14:53:29,14:54:00,75,3WGZLY9VD06GHPK0A93ME3MLJ93D8X,3WGZLY9VD06GHPK0A93ME3MLJ93D8X,FALSE,FALSE
21975118,21975118,Erigeron_speciosus,Erigeron_speciosus,8908684,8909047,311844,311844,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_speciosus/images/Erigeron_speciosus.21975118.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_speciosus/images/Erigeron_speciosus.21975118.jpg,0,0,0,0,3,3,FALSE,TRUE,1,1,3,10,A24L27PW25DN6Z,A24L27PW25DN6Z,19195,19195,10.32,8.74,2024/4/16,2024/4/16,14:55:11,14:56:29,100,3WGZLY9VD06GHPK0A93ME3MLJ93D8X,3WGZLY9VD06GHPK0A93ME3MLJ93D8X,FALSE,FALSE
19827834,19827834,Erigeron_speciosus,Erigeron_speciosus,8909253,8909501,311815,311815,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_speciosus/images/Erigeron_speciosus.19827834.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_speciosus/images/Erigeron_speciosus.19827834.jpg,0,0,9,7,0,0,FALSE,TRUE,2,2,1,5,A24L27PW25DN6Z,A24L27PW25DN6Z,19195,19195,33.42,8.52,2024/4/16,2024/4/16,14:57:18,14:58:07,88,3WGZLY9VD06GHPK0A93ME3MLJ93D8X,3WGZLY9VD06GHPK0A93ME3MLJ93D8X,FALSE,FALSE
19918154,19918154,Erigeron_speciosus,Erigeron_speciosus,8909483,8909723,311820,311820,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_speciosus/images/Erigeron_speciosus.19918154.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_speciosus/images/Erigeron_speciosus.19918154.jpg,0,0,3,3,0,0,FALSE,TRUE,1,1,4,7,A21S5WXCFUZQ3F,A21S5WXCFUZQ3F,19418,19418,18.68,10.77,2024/4/16,2024/4/16,14:58:04,14:58:50,100,3WGZLY9VD06GHPK0A93ME3MLJ93D8X,3WGZLY9VD06GHPK0A93ME3MLJ93D8X,FALSE,FALSE
17579155,17579155,Erigeron_speciosus,Erigeron_speciosus,8910655,8911017,311800,311800,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_speciosus/images/Erigeron_speciosus.17579155.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_speciosus/images/Erigeron_speciosus.17579155.jpg,0,0,13,16,0,0,FALSE,TRUE,3,3,3,8,A24L27PW25DN6Z,A24L27PW25DN6Z,19195,19195,15.56,17.78,2024/4/16,2024/4/16,15:01:38,15:02:37,90,3WGZLY9VD06GHPK0A93ME3MLJ93D8X,3WGZLY9VD06GHPK0A93ME3MLJ93D8X,FALSE,FALSE
21975105,21975105,Erigeron_speciosus,Erigeron_speciosus,8910155,8911606,311843,311843,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_speciosus/images/Erigeron_speciosus.21975105.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_speciosus/images/Erigeron_speciosus.21975105.jpg,0,0,1,1,0,0,FALSE,TRUE,1,1,1,9,A4MH7J1MI9M0A,A4MH7J1MI9M0A,22380,22380,35.43,8.95,2024/4/16,2024/4/16,15:00:08,15:04:20,100,3WGZLY9VD06GHPK0A93ME3MLJ93D8X,3WGZLY9VD06GHPK0A93ME3MLJ93D8X,FALSE,FALSE
16146600,16146600,Erigeron_speciosus,Erigeron_speciosus,8910384,8911903,311794,311794,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_speciosus/images/Erigeron_speciosus.16146600.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_speciosus/images/Erigeron_speciosus.16146600.jpg,0,0,0,0,2,2,FALSE,TRUE,2,2,2,8,A21S5WXCFUZQ3F,A21S5WXCFUZQ3F,19418,19418,15.47,58.84,2024/4/16,2024/4/16,15:00:49,15:05:05,100,3WGZLY9VD06GHPK0A93ME3MLJ93D8X,3WGZLY9VD06GHPK0A93ME3MLJ93D8X,FALSE,FALSE
15234023,15234023,Erigeron_speciosus,Erigeron_speciosus,8912287,8912490,311778,311778,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_speciosus/images/Erigeron_speciosus.15234023.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Erigeron_speciosus/images/Erigeron_speciosus.15234023.jpg,0,0,0,0,6,6,FALSE,TRUE,4,4,4,6,A24L27PW25DN6Z,A24L27PW25DN6Z,19195,19195,10.72,16.5,2024/4/16,2024/4/16,15:05:58,15:06:28,100,3WGZLY9VD06GHPK0A93ME3MLJ93D8X,3WGZLY9VD06GHPK0A93ME3MLJ93D8X,FALSE,FALSE
