coreID1,coreID2,species1,species2,annotation-ID1,annotation-ID2,image-ID1,image-ID2,image-URL1,image-URL2,bud1,bud2,flower1,flower2,fruit1,fruit2,is-duplicated1,is-duplicated2,setNum1,setNum2,sequence1,sequence2,username1,username2,user-ID1,user-ID2,time-spent1 (seconds),time-spent2 (seconds),date1,date2,time1,time2,dejavu-score (%),hit-id1,hit-id2,is-test1,is-test2
25302777,25302777,Erythronium_grandiflorum,Erythronium_grandiflorum,9794616,9794725,342038,342038,https://crowdcurio-experiment-images.s3.amazonaws.com/Erythronium_grandiflorum/images/Erythronium_grandiflorum.25302777.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Erythronium_grandiflorum/images/Erythronium_grandiflorum.25302777.jpg,0,0,2,2,0,0,FALSE,TRUE,1,1,7,9,A25J8R3YQXAC61,A25J8R3YQXAC61,19180,19180,5.27,6.47,2024/4/22,2024/4/22,17:51:25,17:51:44,100,3T2HW4QDVER6Q2XWF5EPUTZEIMJ9C6,3T2HW4QDVER6Q2XWF5EPUTZEIMJ9C6,FALSE,FALSE
3218968,3218968,Erythronium_grandiflorum,Erythronium_grandiflorum,9795084,9795498,341919,341919,https://crowdcurio-experiment-images.s3.amazonaws.com/Erythronium_grandiflorum/images/Erythronium_grandiflorum.3218968.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Erythronium_grandiflorum/images/Erythronium_grandiflorum.3218968.jpg,0,0,1,1,1,1,FALSE,TRUE,2,2,1,6,A25J8R3YQXAC61,A25J8R3YQXAC61,19180,19180,37.27,7.49,2024/4/22,2024/4/22,17:52:46,17:53:48,100,3T2HW4QDVER6Q2XWF5EPUTZEIMJ9C6,3T2HW4QDVER6Q2XWF5EPUTZEIMJ9C6,FALSE,FALSE
28223643,28223643,Erythronium_grandiflorum,Erythronium_grandiflorum,9795327,9795547,342047,342047,https://crowdcurio-experiment-images.s3.amazonaws.com/Erythronium_grandiflorum/images/Erythronium_grandiflorum.28223643.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Erythronium_grandiflorum/images/Erythronium_grandiflorum.28223643.jpg,0,0,4,4,0,0,FALSE,TRUE,1,1,1,4,A3EPXUXQW7T8BL,A3EPXUXQW7T8BL,18918,18918,9.24,9.9,2024/4/22,2024/4/22,17:53:23,17:53:57,100,3T2HW4QDVER6Q2XWF5EPUTZEIMJ9C6,3T2HW4QDVER6Q2XWF5EPUTZEIMJ9C6,FALSE,FALSE
24678401,24678401,Erythronium_grandiflorum,Erythronium_grandiflorum,9795292,9795748,342015,342015,https://crowdcurio-experiment-images.s3.amazonaws.com/Erythronium_grandiflorum/images/Erythronium_grandiflorum.24678401.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Erythronium_grandiflorum/images/Erythronium_grandiflorum.24678401.jpg,0,0,5,5,0,0,FALSE,TRUE,1,1,5,10,AI4N9JIAIXKPV,AI4N9JIAIXKPV,19321,19321,6.79,6.58,2024/4/22,2024/4/22,17:53:18,17:54:35,100,3T2HW4QDVER6Q2XWF5EPUTZEIMJ9C6,3T2HW4QDVER6Q2XWF5EPUTZEIMJ9C6,FALSE,FALSE
3885841,3885841,Erythronium_grandiflorum,Erythronium_grandiflorum,9795368,9795796,341938,341938,https://crowdcurio-experiment-images.s3.amazonaws.com/Erythronium_grandiflorum/images/Erythronium_grandiflorum.3885841.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Erythronium_grandiflorum/images/Erythronium_grandiflorum.3885841.jpg,0,0,5,5,0,0,FALSE,TRUE,1,1,4,7,ACUX98Z5OM4KC,ACUX98Z5OM4KC,22527,22527,26.86,17.92,2024/4/22,2024/4/22,17:53:28,17:54:43,100,3T2HW4QDVER6Q2XWF5EPUTZEIMJ9C6,3T2HW4QDVER6Q2XWF5EPUTZEIMJ9C6,FALSE,FALSE
2896036,2896036,Erythronium_grandiflorum,Erythronium_grandiflorum,9795640,9796153,341882,341882,https://crowdcurio-experiment-images.s3.amazonaws.com/Erythronium_grandiflorum/images/Erythronium_grandiflorum.2896036.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Erythronium_grandiflorum/images/Erythronium_grandiflorum.2896036.jpg,0,0,9,9,0,0,FALSE,TRUE,1,1,1,4,A1M4URSASR57IF,A1M4URSASR57IF,19647,19647,44.88,45.14,2024/4/22,2024/4/22,17:54:14,17:55:34,100,3T2HW4QDVER6Q2XWF5EPUTZEIMJ9C6,3T2HW4QDVER6Q2XWF5EPUTZEIMJ9C6,FALSE,FALSE
3126796,3126796,Erythronium_grandiflorum,Erythronium_grandiflorum,9796188,9796602,341917,341917,https://crowdcurio-experiment-images.s3.amazonaws.com/Erythronium_grandiflorum/images/Erythronium_grandiflorum.3126796.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Erythronium_grandiflorum/images/Erythronium_grandiflorum.3126796.jpg,0,0,3,2,0,0,FALSE,TRUE,1,1,3,7,A1O5WYN0NN865K,A1O5WYN0NN865K,19666,19666,32.79,10.52,2024/4/22,2024/4/22,17:55:40,17:56:33,80,3T2HW4QDVER6Q2XWF5EPUTZEIMJ9C6,3T2HW4QDVER6Q2XWF5EPUTZEIMJ9C6,FALSE,FALSE
6173616,6173616,Erythronium_grandiflorum,Erythronium_grandiflorum,9796070,9796586,341959,341959,https://crowdcurio-experiment-images.s3.amazonaws.com/Erythronium_grandiflorum/images/Erythronium_grandiflorum.6173616.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Erythronium_grandiflorum/images/Erythronium_grandiflorum.6173616.jpg,0,0,2,2,0,0,FALSE,TRUE,2,2,1,7,A3EPXUXQW7T8BL,A3EPXUXQW7T8BL,18918,18918,7.4,7.51,2024/4/22,2024/4/22,17:55:22,17:56:31,100,3T2HW4QDVER6Q2XWF5EPUTZEIMJ9C6,3T2HW4QDVER6Q2XWF5EPUTZEIMJ9C6,FALSE,FALSE
496869,496869,Erythronium_grandiflorum,Erythronium_grandiflorum,9796443,9796639,341869,341869,https://crowdcurio-experiment-images.s3.amazonaws.com/Erythronium_grandiflorum/images/Erythronium_grandiflorum.496869.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Erythronium_grandiflorum/images/Erythronium_grandiflorum.496869.jpg,0,0,5,5,0,0,FALSE,TRUE,3,3,8,10,A25J8R3YQXAC61,A25J8R3YQXAC61,19180,19180,7.84,8.15,2024/4/22,2024/4/22,17:56:13,17:56:39,100,3T2HW4QDVER6Q2XWF5EPUTZEIMJ9C6,3T2HW4QDVER6Q2XWF5EPUTZEIMJ9C6,FALSE,FALSE
21658198,21658198,Erythronium_grandiflorum,Erythronium_grandiflorum,9796162,9796725,342005,342005,https://crowdcurio-experiment-images.s3.amazonaws.com/Erythronium_grandiflorum/images/Erythronium_grandiflorum.21658198.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Erythronium_grandiflorum/images/Erythronium_grandiflorum.21658198.jpg,0,0,4,4,0,0,FALSE,TRUE,1,1,4,8,A12FVED8BAXLEE,A12FVED8BAXLEE,12941,12941,15.92,9.13,2024/4/22,2024/4/22,17:55:36,17:56:52,100,3T2HW4QDVER6Q2XWF5EPUTZEIMJ9C6,3T2HW4QDVER6Q2XWF5EPUTZEIMJ9C6,FALSE,FALSE
