coreID1,coreID2,species1,species2,annotation-ID1,annotation-ID2,image-ID1,image-ID2,image-URL1,image-URL2,bud1,bud2,flower1,flower2,fruit1,fruit2,is-duplicated1,is-duplicated2,setNum1,setNum2,sequence1,sequence2,username1,username2,user-ID1,user-ID2,time-spent1 (seconds),time-spent2 (seconds),date1,date2,time1,time2,dejavu-score (%),hit-id1,hit-id2,is-test1,is-test2
20951322,20951322,Gentianopsis_thermalis,Gentianopsis_thermalis,8903677,8904139,341290,341290,https://crowdcurio-experiment-images.s3.amazonaws.com/Gentianopsis_thermalis/images/Gentianopsis_thermalis.20951322.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Gentianopsis_thermalis/images/Gentianopsis_thermalis.20951322.jpg,4,5,5,5,1,0,FALSE,TRUE,1,1,3,7,A38UUB83BIPIUR,A38UUB83BIPIUR,19792,19792,26.63,16.91,2024/4/16,2024/4/16,14:36:56,14:38:36,90,36JW4WBR1P468KZP4JSIFGI5Y59FHP,36JW4WBR1P468KZP4JSIFGI5Y59FHP,FALSE,FALSE
13826521,13826521,Gentianopsis_thermalis,Gentianopsis_thermalis,8904623,8904981,341256,341256,https://crowdcurio-experiment-images.s3.amazonaws.com/Gentianopsis_thermalis/images/Gentianopsis_thermalis.13826521.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Gentianopsis_thermalis/images/Gentianopsis_thermalis.13826521.jpg,0,0,2,2,0,0,FALSE,TRUE,2,2,3,8,A38UUB83BIPIUR,A38UUB83BIPIUR,19792,19792,5.37,6.23,2024/4/16,2024/4/16,14:40:19,14:41:40,100,36JW4WBR1P468KZP4JSIFGI5Y59FHP,36JW4WBR1P468KZP4JSIFGI5Y59FHP,FALSE,FALSE
13826104,13826104,Gentianopsis_thermalis,Gentianopsis_thermalis,8905925,8906336,341238,341238,https://crowdcurio-experiment-images.s3.amazonaws.com/Gentianopsis_thermalis/images/Gentianopsis_thermalis.13826104.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Gentianopsis_thermalis/images/Gentianopsis_thermalis.13826104.jpg,6,0,7,1,0,13,FALSE,TRUE,3,3,6,10,A38UUB83BIPIUR,A38UUB83BIPIUR,19792,19792,19.03,26.09,2024/4/16,2024/4/16,14:44:38,14:45:54,8,36JW4WBR1P468KZP4JSIFGI5Y59FHP,36JW4WBR1P468KZP4JSIFGI5Y59FHP,FALSE,FALSE
13826073,13826073,Gentianopsis_thermalis,Gentianopsis_thermalis,8906217,8906439,341216,341216,https://crowdcurio-experiment-images.s3.amazonaws.com/Gentianopsis_thermalis/images/Gentianopsis_thermalis.13826073.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Gentianopsis_thermalis/images/Gentianopsis_thermalis.13826073.jpg,0,0,1,1,0,0,FALSE,TRUE,1,1,2,7,A2Q30K1A0AQ16Q,A2Q30K1A0AQ16Q,20721,20721,5.52,6.15,2024/4/16,2024/4/16,14:45:33,14:46:12,100,36JW4WBR1P468KZP4JSIFGI5Y59FHP,36JW4WBR1P468KZP4JSIFGI5Y59FHP,FALSE,FALSE
13826063,13826063,Gentianopsis_thermalis,Gentianopsis_thermalis,8906646,8906786,341207,341207,https://crowdcurio-experiment-images.s3.amazonaws.com/Gentianopsis_thermalis/images/Gentianopsis_thermalis.13826063.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Gentianopsis_thermalis/images/Gentianopsis_thermalis.13826063.jpg,0,0,1,1,0,0,FALSE,TRUE,2,2,2,7,A2Q30K1A0AQ16Q,A2Q30K1A0AQ16Q,20721,20721,6.17,5.67,2024/4/16,2024/4/16,14:46:55,14:47:33,100,36JW4WBR1P468KZP4JSIFGI5Y59FHP,36JW4WBR1P468KZP4JSIFGI5Y59FHP,FALSE,FALSE
13826496,13826496,Gentianopsis_thermalis,Gentianopsis_thermalis,8906972,8907291,341253,341253,https://crowdcurio-experiment-images.s3.amazonaws.com/Gentianopsis_thermalis/images/Gentianopsis_thermalis.13826496.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Gentianopsis_thermalis/images/Gentianopsis_thermalis.13826496.jpg,14,10,8,9,0,0,FALSE,TRUE,1,1,5,7,A711TPYGAWW5P,A711TPYGAWW5P,21787,21787,58.27,43.17,2024/4/16,2024/4/16,14:48:31,14:49:40,88,36JW4WBR1P468KZP4JSIFGI5Y59FHP,36JW4WBR1P468KZP4JSIFGI5Y59FHP,FALSE,FALSE
13826047,13826047,Gentianopsis_thermalis,Gentianopsis_thermalis,8907057,8907135,341194,341194,https://crowdcurio-experiment-images.s3.amazonaws.com/Gentianopsis_thermalis/images/Gentianopsis_thermalis.13826047.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Gentianopsis_thermalis/images/Gentianopsis_thermalis.13826047.jpg,0,0,1,1,0,0,FALSE,TRUE,3,3,6,8,A2Q30K1A0AQ16Q,A2Q30K1A0AQ16Q,20721,20721,5.49,5.21,2024/4/16,2024/4/16,14:48:53,14:49:07,100,36JW4WBR1P468KZP4JSIFGI5Y59FHP,36JW4WBR1P468KZP4JSIFGI5Y59FHP,FALSE,FALSE
12528859,12528859,Gentianopsis_thermalis,Gentianopsis_thermalis,8907318,8907559,341184,341184,https://crowdcurio-experiment-images.s3.amazonaws.com/Gentianopsis_thermalis/images/Gentianopsis_thermalis.12528859.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Gentianopsis_thermalis/images/Gentianopsis_thermalis.12528859.jpg,0,0,1,1,0,0,FALSE,TRUE,4,4,2,9,A2Q30K1A0AQ16Q,A2Q30K1A0AQ16Q,20721,20721,8.84,6.81,2024/4/16,2024/4/16,14:49:46,14:50:42,100,36JW4WBR1P468KZP4JSIFGI5Y59FHP,36JW4WBR1P468KZP4JSIFGI5Y59FHP,FALSE,FALSE
5761608,5761608,Gentianopsis_thermalis,Gentianopsis_thermalis,8907682,8907739,341178,341178,https://crowdcurio-experiment-images.s3.amazonaws.com/Gentianopsis_thermalis/images/Gentianopsis_thermalis.5761608.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Gentianopsis_thermalis/images/Gentianopsis_thermalis.5761608.jpg,0,0,1,1,0,0,FALSE,TRUE,5,5,1,3,A2Q30K1A0AQ16Q,A2Q30K1A0AQ16Q,20721,20721,6.76,5.17,2024/4/16,2024/4/16,14:51:07,14:51:21,100,36JW4WBR1P468KZP4JSIFGI5Y59FHP,36JW4WBR1P468KZP4JSIFGI5Y59FHP,FALSE,FALSE
4743381,4743381,Gentianopsis_thermalis,Gentianopsis_thermalis,8908221,8908293,341158,341158,https://crowdcurio-experiment-images.s3.amazonaws.com/Gentianopsis_thermalis/images/Gentianopsis_thermalis.4743381.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Gentianopsis_thermalis/images/Gentianopsis_thermalis.4743381.jpg,0,0,1,1,0,0,FALSE,TRUE,6,6,8,10,A2Q30K1A0AQ16Q,A2Q30K1A0AQ16Q,20721,20721,7.24,6.51,2024/4/16,2024/4/16,14:53:27,14:53:43,100,36JW4WBR1P468KZP4JSIFGI5Y59FHP,36JW4WBR1P468KZP4JSIFGI5Y59FHP,FALSE,FALSE
