coreID,species,annotation-ID,image-ID,image-URL,bud,flower,fruit,is-duplicated,set-number,sequence,username,user-ID,time-spent (seconds),date,time,hit-id,is-test
30719175,Geum_triflorum,8923491,315129,https://crowdcurio-experiment-images.s3.amazonaws.com/Geum_triflorum/images/Geum_triflorum.30719175.jpg,2,2,2,FALSE,1,1,APRZ7BR8C0ZMQ,580,41.12,2024/4/16,15:37:04,3SA4EMRVKEM7OXINKEH2LIXSEVQ0P9,FALSE
27582277,Geum_triflorum,8923531,315122,https://crowdcurio-experiment-images.s3.amazonaws.com/Geum_triflorum/images/Geum_triflorum.27582277.jpg,0,0,3,FALSE,1,2,APRZ7BR8C0ZMQ,580,6.69,2024/4/16,15:37:12,3SA4EMRVKEM7OXINKEH2LIXSEVQ0P9,FALSE
28223602,Geum_triflorum,8923644,315125,https://crowdcurio-experiment-images.s3.amazonaws.com/Geum_triflorum/images/Geum_triflorum.28223602.jpg,0,4,2,FALSE,1,3,APRZ7BR8C0ZMQ,580,23.34,2024/4/16,15:37:37,3SA4EMRVKEM7OXINKEH2LIXSEVQ0P9,FALSE
30206910,Geum_triflorum,8923822,315127,https://crowdcurio-experiment-images.s3.amazonaws.com/Geum_triflorum/images/Geum_triflorum.30206910.jpg,0,3,4,FALSE,1,4,APRZ7BR8C0ZMQ,580,34.58,2024/4/16,15:38:13,3SA4EMRVKEM7OXINKEH2LIXSEVQ0P9,FALSE
27174318,Geum_triflorum,8924576,315111,https://crowdcurio-experiment-images.s3.amazonaws.com/Geum_triflorum/images/Geum_triflorum.27174318.jpg,1,15,11,FALSE,1,1,A3N6IUYI1UUMYY,22426,174.91,2024/4/16,15:40:33,3SA4EMRVKEM7OXINKEH2LIXSEVQ0P9,FALSE
28223602,Geum_triflorum,8923985,315125,https://crowdcurio-experiment-images.s3.amazonaws.com/Geum_triflorum/images/Geum_triflorum.28223602.jpg,0,4,2,TRUE,1,5,APRZ7BR8C0ZMQ,580,25.55,2024/4/16,15:38:40,3SA4EMRVKEM7OXINKEH2LIXSEVQ0P9,FALSE
28059960,Geum_triflorum,8924084,315123,https://crowdcurio-experiment-images.s3.amazonaws.com/Geum_triflorum/images/Geum_triflorum.28059960.jpg,0,7,0,FALSE,1,6,APRZ7BR8C0ZMQ,580,14.12,2024/4/16,15:38:56,3SA4EMRVKEM7OXINKEH2LIXSEVQ0P9,FALSE
30379438,Geum_triflorum,8924161,315128,https://crowdcurio-experiment-images.s3.amazonaws.com/Geum_triflorum/images/Geum_triflorum.30379438.jpg,2,4,0,FALSE,1,7,APRZ7BR8C0ZMQ,580,17.09,2024/4/16,15:39:14,3SA4EMRVKEM7OXINKEH2LIXSEVQ0P9,FALSE
29381414,Geum_triflorum,8924347,315126,https://crowdcurio-experiment-images.s3.amazonaws.com/Geum_triflorum/images/Geum_triflorum.29381414.jpg,1,7,2,FALSE,1,8,APRZ7BR8C0ZMQ,580,38.48,2024/4/16,15:39:54,3SA4EMRVKEM7OXINKEH2LIXSEVQ0P9,FALSE
28059969,Geum_triflorum,8924437,315124,https://crowdcurio-experiment-images.s3.amazonaws.com/Geum_triflorum/images/Geum_triflorum.28059969.jpg,0,0,8,FALSE,1,9,APRZ7BR8C0ZMQ,580,15.69,2024/4/16,15:40:12,3SA4EMRVKEM7OXINKEH2LIXSEVQ0P9,FALSE
27582269,Geum_triflorum,8924540,315121,https://crowdcurio-experiment-images.s3.amazonaws.com/Geum_triflorum/images/Geum_triflorum.27582269.jpg,0,6,0,FALSE,1,10,APRZ7BR8C0ZMQ,580,13.88,2024/4/16,15:40:27,3SA4EMRVKEM7OXINKEH2LIXSEVQ0P9,FALSE
27174308,Geum_triflorum,8924662,315103,https://crowdcurio-experiment-images.s3.amazonaws.com/Geum_triflorum/images/Geum_triflorum.27174308.jpg,2,0,0,FALSE,1,2,A3N6IUYI1UUMYY,22426,15.85,2024/4/16,15:40:51,3SA4EMRVKEM7OXINKEH2LIXSEVQ0P9,FALSE
27174285,Geum_triflorum,8924712,315098,https://crowdcurio-experiment-images.s3.amazonaws.com/Geum_triflorum/images/Geum_triflorum.27174285.jpg,2,2,0,FALSE,2,1,APRZ7BR8C0ZMQ,580,19.17,2024/4/16,15:40:59,3SA4EMRVKEM7OXINKEH2LIXSEVQ0P9,FALSE
27154235,Geum_triflorum,8924843,315095,https://crowdcurio-experiment-images.s3.amazonaws.com/Geum_triflorum/images/Geum_triflorum.27154235.jpg,1,6,0,FALSE,2,2,APRZ7BR8C0ZMQ,580,18.54,2024/4/16,15:41:19,3SA4EMRVKEM7OXINKEH2LIXSEVQ0P9,FALSE
27174315,Geum_triflorum,8925125,315108,https://crowdcurio-experiment-images.s3.amazonaws.com/Geum_triflorum/images/Geum_triflorum.27174315.jpg,5,12,7,FALSE,1,3,A3N6IUYI1UUMYY,22426,68.26,2024/4/16,15:42:01,3SA4EMRVKEM7OXINKEH2LIXSEVQ0P9,FALSE
27174303,Geum_triflorum,8924947,315101,https://crowdcurio-experiment-images.s3.amazonaws.com/Geum_triflorum/images/Geum_triflorum.27174303.jpg,0,2,0,FALSE,2,3,APRZ7BR8C0ZMQ,580,11.7,2024/4/16,15:41:33,3SA4EMRVKEM7OXINKEH2LIXSEVQ0P9,FALSE
27174275,Geum_triflorum,8925081,315097,https://crowdcurio-experiment-images.s3.amazonaws.com/Geum_triflorum/images/Geum_triflorum.27174275.jpg,0,6,0,FALSE,2,4,APRZ7BR8C0ZMQ,580,19.36,2024/4/16,15:41:54,3SA4EMRVKEM7OXINKEH2LIXSEVQ0P9,FALSE
27174306,Geum_triflorum,8925180,315102,https://crowdcurio-experiment-images.s3.amazonaws.com/Geum_triflorum/images/Geum_triflorum.27174306.jpg,0,0,2,FALSE,2,5,APRZ7BR8C0ZMQ,580,14.57,2024/4/16,15:42:10,3SA4EMRVKEM7OXINKEH2LIXSEVQ0P9,FALSE
27174311,Geum_triflorum,8925587,315105,https://crowdcurio-experiment-images.s3.amazonaws.com/Geum_triflorum/images/Geum_triflorum.27174311.jpg,6,9,0,FALSE,1,4,A3N6IUYI1UUMYY,22426,73.39,2024/4/16,15:43:16,3SA4EMRVKEM7OXINKEH2LIXSEVQ0P9,FALSE
27174303,Geum_triflorum,8925279,315101,https://crowdcurio-experiment-images.s3.amazonaws.com/Geum_triflorum/images/Geum_triflorum.27174303.jpg,1,1,0,TRUE,2,6,APRZ7BR8C0ZMQ,580,14.8,2024/4/16,15:42:25,3SA4EMRVKEM7OXINKEH2LIXSEVQ0P9,FALSE
