coreID1,coreID2,species1,species2,annotation-ID1,annotation-ID2,image-ID1,image-ID2,image-URL1,image-URL2,bud1,bud2,flower1,flower2,fruit1,fruit2,is-duplicated1,is-duplicated2,setNum1,setNum2,sequence1,sequence2,username1,username2,user-ID1,user-ID2,time-spent1 (seconds),time-spent2 (seconds),date1,date2,time1,time2,dejavu-score (%),hit-id1,hit-id2,is-test1,is-test2
22662605,22662605,Helianthus_annuus,Helianthus_annuus,8921631,8922428,315611,315611,https://crowdcurio-experiment-images.s3.amazonaws.com/Helianthus_annuus/images/Helianthus_annuus.22662605.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Helianthus_annuus/images/Helianthus_annuus.22662605.jpg,2,2,1,1,0,0,FALSE,TRUE,1,1,5,10,A3I9UP2EUBKHTL,A3I9UP2EUBKHTL,22375,22375,28.93,20.39,2024/4/16,2024/4/16,15:30:48,15:33:18,100,39KMGHJ4SIU40GE33T2C6HWK6NE002,39KMGHJ4SIU40GE33T2C6HWK6NE002,FALSE,FALSE
23991755,23991755,Helianthus_annuus,Helianthus_annuus,8921284,8922689,315618,315618,https://crowdcurio-experiment-images.s3.amazonaws.com/Helianthus_annuus/images/Helianthus_annuus.23991755.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Helianthus_annuus/images/Helianthus_annuus.23991755.jpg,2,1,2,2,0,1,FALSE,TRUE,1,1,3,8,A2K1R1ZZ4YBECP,A2K1R1ZZ4YBECP,20489,20489,46.02,37.57,2024/4/16,2024/4/16,15:30:00,15:34:10,75,39KMGHJ4SIU40GE33T2C6HWK6NE002,39KMGHJ4SIU40GE33T2C6HWK6NE002,FALSE,FALSE
20606568,20606568,Helianthus_annuus,Helianthus_annuus,8922619,8922758,315596,315596,https://crowdcurio-experiment-images.s3.amazonaws.com/Helianthus_annuus/images/Helianthus_annuus.20606568.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Helianthus_annuus/images/Helianthus_annuus.20606568.jpg,1,1,1,1,0,0,FALSE,TRUE,2,2,2,4,A3I9UP2EUBKHTL,A3I9UP2EUBKHTL,22375,22375,7.3,8.49,2024/4/16,2024/4/16,15:33:56,15:34:26,100,39KMGHJ4SIU40GE33T2C6HWK6NE002,39KMGHJ4SIU40GE33T2C6HWK6NE002,FALSE,FALSE
19997925,19997925,Helianthus_annuus,Helianthus_annuus,8935493,8935870,315590,315590,https://crowdcurio-experiment-images.s3.amazonaws.com/Helianthus_annuus/images/Helianthus_annuus.19997925.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Helianthus_annuus/images/Helianthus_annuus.19997925.jpg,0,0,1,1,0,0,FALSE,TRUE,1,1,7,10,A21TS13U0W5X3P,A21TS13U0W5X3P,20199,20199,6.56,10.39,2024/4/16,2024/4/16,16:04:53,16:05:45,100,39KMGHJ4SIU40GE33T2C6HWK6NE002,39KMGHJ4SIU40GE33T2C6HWK6NE002,FALSE,FALSE
16242411,16242411,Helianthus_annuus,Helianthus_annuus,8937912,8938258,315563,315563,https://crowdcurio-experiment-images.s3.amazonaws.com/Helianthus_annuus/images/Helianthus_annuus.16242411.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Helianthus_annuus/images/Helianthus_annuus.16242411.jpg,0,0,6,6,0,0,FALSE,TRUE,1,1,3,6,A1VFSNVFK883XU,A1VFSNVFK883XU,16312,16312,16.24,19.46,2024/4/16,2024/4/16,16:10:09,16:11:00,100,39KMGHJ4SIU40GE33T2C6HWK6NE002,39KMGHJ4SIU40GE33T2C6HWK6NE002,FALSE,FALSE
16896519,16896519,Helianthus_annuus,Helianthus_annuus,8938783,8939222,315569,315569,https://crowdcurio-experiment-images.s3.amazonaws.com/Helianthus_annuus/images/Helianthus_annuus.16896519.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Helianthus_annuus/images/Helianthus_annuus.16896519.jpg,0,0,3,2,0,0,FALSE,TRUE,1,1,5,10,A1GYII3R62TH65,A1GYII3R62TH65,21490,21490,11.51,10.26,2024/4/16,2024/4/16,16:12:28,16:13:39,80,39KMGHJ4SIU40GE33T2C6HWK6NE002,39KMGHJ4SIU40GE33T2C6HWK6NE002,FALSE,FALSE
16242405,16242405,Helianthus_annuus,Helianthus_annuus,8939536,8940224,315557,315557,https://crowdcurio-experiment-images.s3.amazonaws.com/Helianthus_annuus/images/Helianthus_annuus.16242405.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Helianthus_annuus/images/Helianthus_annuus.16242405.jpg,0,0,0,0,4,5,FALSE,TRUE,1,1,5,10,A19PV7IWVC9ZER,A19PV7IWVC9ZER,20353,20353,32.8,17.22,2024/4/16,2024/4/16,16:14:30,16:16:25,89,39KMGHJ4SIU40GE33T2C6HWK6NE002,39KMGHJ4SIU40GE33T2C6HWK6NE002,FALSE,FALSE
16240146,16240146,Helianthus_annuus,Helianthus_annuus,8939979,8940643,315548,315548,https://crowdcurio-experiment-images.s3.amazonaws.com/Helianthus_annuus/images/Helianthus_annuus.16240146.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Helianthus_annuus/images/Helianthus_annuus.16240146.jpg,0,0,4,4,5,5,FALSE,TRUE,2,2,5,10,A1GYII3R62TH65,A1GYII3R62TH65,21490,21490,29.24,24.29,2024/4/16,2024/4/16,16:15:47,16:17:48,100,39KMGHJ4SIU40GE33T2C6HWK6NE002,39KMGHJ4SIU40GE33T2C6HWK6NE002,FALSE,FALSE
19796507,19796507,Helianthus_annuus,Helianthus_annuus,8940239,8940656,315583,315583,https://crowdcurio-experiment-images.s3.amazonaws.com/Helianthus_annuus/images/Helianthus_annuus.19796507.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Helianthus_annuus/images/Helianthus_annuus.19796507.jpg,4,3,1,1,1,1,FALSE,TRUE,1,1,5,7,A3CFVTY0L7CBWZ,A3CFVTY0L7CBWZ,19871,19871,20.08,25.54,2024/4/16,2024/4/16,16:16:28,16:17:50,91,39KMGHJ4SIU40GE33T2C6HWK6NE002,39KMGHJ4SIU40GE33T2C6HWK6NE002,FALSE,FALSE
13856877,13856877,Helianthus_annuus,Helianthus_annuus,8940899,8941756,315515,315515,https://crowdcurio-experiment-images.s3.amazonaws.com/Helianthus_annuus/images/Helianthus_annuus.13856877.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Helianthus_annuus/images/Helianthus_annuus.13856877.jpg,0,0,1,1,0,0,FALSE,TRUE,3,3,2,10,A1GYII3R62TH65,A1GYII3R62TH65,21490,21490,9.96,6.61,2024/4/16,2024/4/16,16:18:35,16:20:52,100,39KMGHJ4SIU40GE33T2C6HWK6NE002,39KMGHJ4SIU40GE33T2C6HWK6NE002,FALSE,FALSE
13856892,13856892,Helianthus_annuus,Helianthus_annuus,8941691,8941981,315526,315526,https://crowdcurio-experiment-images.s3.amazonaws.com/Helianthus_annuus/images/Helianthus_annuus.13856892.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Helianthus_annuus/images/Helianthus_annuus.13856892.jpg,0,0,6,5,4,3,FALSE,TRUE,2,2,8,10,A19PV7IWVC9ZER,A19PV7IWVC9ZER,20353,20353,31.73,21.66,2024/4/16,2024/4/16,16:20:42,16:21:23,89,39KMGHJ4SIU40GE33T2C6HWK6NE002,39KMGHJ4SIU40GE33T2C6HWK6NE002,FALSE,FALSE
13856849,13856849,Helianthus_annuus,Helianthus_annuus,8942375,8942798,315504,315504,https://crowdcurio-experiment-images.s3.amazonaws.com/Helianthus_annuus/images/Helianthus_annuus.13856849.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Helianthus_annuus/images/Helianthus_annuus.13856849.jpg,2,2,2,2,0,0,FALSE,TRUE,4,4,4,7,A1GYII3R62TH65,A1GYII3R62TH65,21490,21490,15.83,12.24,2024/4/16,2024/4/16,16:22:16,16:23:23,100,39KMGHJ4SIU40GE33T2C6HWK6NE002,39KMGHJ4SIU40GE33T2C6HWK6NE002,FALSE,FALSE
