coreID1,coreID2,species1,species2,annotation-ID1,annotation-ID2,image-ID1,image-ID2,image-URL1,image-URL2,bud1,bud2,flower1,flower2,fruit1,fruit2,is-duplicated1,is-duplicated2,setNum1,setNum2,sequence1,sequence2,username1,username2,user-ID1,user-ID2,time-spent1 (seconds),time-spent2 (seconds),date1,date2,time1,time2,dejavu-score (%),hit-id1,hit-id2,is-test1,is-test2
24786559,24786559,Helianthus_petiolaris,Helianthus_petiolaris,8922293,8924106,316376,316376,https://crowdcurio-experiment-images.s3.amazonaws.com/Helianthus_petiolaris/images/Helianthus_petiolaris.24786559.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Helianthus_petiolaris/images/Helianthus_petiolaris.24786559.jpg,0,0,1,1,2,2,FALSE,TRUE,1,1,1,9,A1USG1YHEXWMEN,A1USG1YHEXWMEN,20632,20632,24.66,29.43,2024/4/16,2024/4/16,15:32:55,15:39:01,100,3OID399FYZRPW4UNIN9SOV376ECDFC,3OID399FYZRPW4UNIN9SOV376ECDFC,FALSE,FALSE
16896538,16896538,Helianthus_petiolaris,Helianthus_petiolaris,8924833,8925009,316359,316359,https://crowdcurio-experiment-images.s3.amazonaws.com/Helianthus_petiolaris/images/Helianthus_petiolaris.16896538.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Helianthus_petiolaris/images/Helianthus_petiolaris.16896538.jpg,0,0,1,1,0,0,FALSE,TRUE,1,1,2,5,A2B9JC7L335QW6,A2B9JC7L335QW6,18930,18930,7.34,7.27,2024/4/16,2024/4/16,15:41:18,15:41:42,100,3OID399FYZRPW4UNIN9SOV376ECDFC,3OID399FYZRPW4UNIN9SOV376ECDFC,FALSE,FALSE
16896530,16896530,Helianthus_petiolaris,Helianthus_petiolaris,8924660,8925660,316356,316356,https://crowdcurio-experiment-images.s3.amazonaws.com/Helianthus_petiolaris/images/Helianthus_petiolaris.16896530.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Helianthus_petiolaris/images/Helianthus_petiolaris.16896530.jpg,4,4,2,2,4,4,FALSE,TRUE,2,2,2,4,A1USG1YHEXWMEN,A1USG1YHEXWMEN,20632,20632,52.44,45.61,2024/4/16,2024/4/16,15:40:50,15:43:27,100,3OID399FYZRPW4UNIN9SOV376ECDFC,3OID399FYZRPW4UNIN9SOV376ECDFC,FALSE,FALSE
13890349,13890349,Helianthus_petiolaris,Helianthus_petiolaris,8942303,8942933,316325,316325,https://crowdcurio-experiment-images.s3.amazonaws.com/Helianthus_petiolaris/images/Helianthus_petiolaris.13890349.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Helianthus_petiolaris/images/Helianthus_petiolaris.13890349.jpg,0,0,3,3,0,0,FALSE,TRUE,1,1,2,5,APJN2T4RCNC8G,APJN2T4RCNC8G,19694,19694,49.33,39.87,2024/4/16,2024/4/16,16:22:06,16:23:44,100,3OID399FYZRPW4UNIN9SOV376ECDFC,3OID399FYZRPW4UNIN9SOV376ECDFC,FALSE,FALSE
13856903,13856903,Helianthus_petiolaris,Helianthus_petiolaris,8944062,8944784,316298,316298,https://crowdcurio-experiment-images.s3.amazonaws.com/Helianthus_petiolaris/images/Helianthus_petiolaris.13856903.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Helianthus_petiolaris/images/Helianthus_petiolaris.13856903.jpg,0,0,1,1,0,0,FALSE,TRUE,2,2,1,6,APJN2T4RCNC8G,APJN2T4RCNC8G,19694,19694,22.85,8.94,2024/4/16,2024/4/16,16:26:18,16:27:55,100,3OID399FYZRPW4UNIN9SOV376ECDFC,3OID399FYZRPW4UNIN9SOV376ECDFC,FALSE,FALSE
3198415,3198415,Helianthus_petiolaris,Helianthus_petiolaris,8945804,8946815,316280,316280,https://crowdcurio-experiment-images.s3.amazonaws.com/Helianthus_petiolaris/images/Helianthus_petiolaris.3198415.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Helianthus_petiolaris/images/Helianthus_petiolaris.3198415.jpg,0,0,2,2,1,1,FALSE,TRUE,3,3,1,10,APJN2T4RCNC8G,APJN2T4RCNC8G,19694,19694,39.53,13.29,2024/4/16,2024/4/16,16:30:24,16:33:04,100,3OID399FYZRPW4UNIN9SOV376ECDFC,3OID399FYZRPW4UNIN9SOV376ECDFC,FALSE,FALSE
4008471,4008471,Helianthus_petiolaris,Helianthus_petiolaris,8946581,8947416,316288,316288,https://crowdcurio-experiment-images.s3.amazonaws.com/Helianthus_petiolaris/images/Helianthus_petiolaris.4008471.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Helianthus_petiolaris/images/Helianthus_petiolaris.4008471.jpg,2,2,1,1,0,0,FALSE,TRUE,1,1,3,5,A2XVFL6QU6HY11,A2XVFL6QU6HY11,19427,19427,15.53,97.73,2024/4/16,2024/4/16,16:32:36,16:34:38,100,3OID399FYZRPW4UNIN9SOV376ECDFC,3OID399FYZRPW4UNIN9SOV376ECDFC,FALSE,FALSE
3012686,3012686,Helianthus_petiolaris,Helianthus_petiolaris,8949612,8949905,316273,316273,https://crowdcurio-experiment-images.s3.amazonaws.com/Helianthus_petiolaris/images/Helianthus_petiolaris.3012686.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Helianthus_petiolaris/images/Helianthus_petiolaris.3012686.jpg,0,1,1,1,1,0,FALSE,TRUE,2,2,6,8,A2XVFL6QU6HY11,A2XVFL6QU6HY11,19427,19427,18.66,20.4,2024/4/16,2024/4/16,16:39:19,16:40:02,50,3OID399FYZRPW4UNIN9SOV376ECDFC,3OID399FYZRPW4UNIN9SOV376ECDFC,FALSE,FALSE
479776,479776,Helianthus_petiolaris,Helianthus_petiolaris,8957441,8957639,316261,316261,https://crowdcurio-experiment-images.s3.amazonaws.com/Helianthus_petiolaris/images/Helianthus_petiolaris.479776.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Helianthus_petiolaris/images/Helianthus_petiolaris.479776.jpg,0,0,1,1,0,0,FALSE,TRUE,1,1,7,10,A1F98HP8OY0W8M,A1F98HP8OY0W8M,19038,19038,5.62,9.18,2024/4/16,2024/4/16,16:56:06,16:56:32,100,3OID399FYZRPW4UNIN9SOV376ECDFC,3OID399FYZRPW4UNIN9SOV376ECDFC,FALSE,FALSE
16641994,16641994,Helianthus_petiolaris,Helianthus_petiolaris,8957810,8958027,316344,316344,https://crowdcurio-experiment-images.s3.amazonaws.com/Helianthus_petiolaris/images/Helianthus_petiolaris.16641994.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Helianthus_petiolaris/images/Helianthus_petiolaris.16641994.jpg,0,0,1,1,0,0,FALSE,TRUE,2,2,1,4,A1F98HP8OY0W8M,A1F98HP8OY0W8M,19038,19038,7.8,6.5,2024/4/16,2024/4/16,16:56:49,16:57:16,100,3OID399FYZRPW4UNIN9SOV376ECDFC,3OID399FYZRPW4UNIN9SOV376ECDFC,FALSE,FALSE
