coreID1,coreID2,species1,species2,annotation-ID1,annotation-ID2,image-ID1,image-ID2,image-URL1,image-URL2,bud1,bud2,flower1,flower2,fruit1,fruit2,is-duplicated1,is-duplicated2,setNum1,setNum2,sequence1,sequence2,username1,username2,user-ID1,user-ID2,time-spent1 (seconds),time-spent2 (seconds),date1,date2,time1,time2,dejavu-score (%),hit-id1,hit-id2,is-test1,is-test2
16901461,16901461,Lilium_philadelphicum,Lilium_philadelphicum,9023470,9023920,319394,319394,https://crowdcurio-experiment-images.s3.amazonaws.com/Lilium_philadelphicum/images/Lilium_philadelphicum.16901461.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Lilium_philadelphicum/images/Lilium_philadelphicum.16901461.jpg,0,0,1,1,0,0,FALSE,TRUE,1,1,1,5,A3EPXUXQW7T8BL,A3EPXUXQW7T8BL,18918,18918,20.8,10.54,2024/4/16,2024/4/16,19:04:32,19:05:22,100,3CZH926SJVYKQUBYU1OT39O1H0C4EG,3CZH926SJVYKQUBYU1OT39O1H0C4EG,FALSE,FALSE
13820364,13820364,Lilium_philadelphicum,Lilium_philadelphicum,9025156,9025527,319381,319381,https://crowdcurio-experiment-images.s3.amazonaws.com/Lilium_philadelphicum/images/Lilium_philadelphicum.13820364.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Lilium_philadelphicum/images/Lilium_philadelphicum.13820364.jpg,0,0,1,1,0,0,FALSE,TRUE,2,2,7,10,A3EPXUXQW7T8BL,A3EPXUXQW7T8BL,18918,18918,5.97,9.28,2024/4/16,2024/4/16,19:07:29,19:08:03,100,3CZH926SJVYKQUBYU1OT39O1H0C4EG,3CZH926SJVYKQUBYU1OT39O1H0C4EG,FALSE,FALSE
4749427,4749427,Lilium_philadelphicum,Lilium_philadelphicum,9025955,9027112,319372,319372,https://crowdcurio-experiment-images.s3.amazonaws.com/Lilium_philadelphicum/images/Lilium_philadelphicum.4749427.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Lilium_philadelphicum/images/Lilium_philadelphicum.4749427.jpg,0,0,1,1,0,0,FALSE,TRUE,1,1,5,8,A38UUB83BIPIUR,A38UUB83BIPIUR,19792,19792,7.58,79.03,2024/4/16,2024/4/16,19:08:42,19:10:26,100,3CZH926SJVYKQUBYU1OT39O1H0C4EG,3CZH926SJVYKQUBYU1OT39O1H0C4EG,FALSE,FALSE
13820373,13820373,Lilium_philadelphicum,Lilium_philadelphicum,9025300,9026520,319390,319390,https://crowdcurio-experiment-images.s3.amazonaws.com/Lilium_philadelphicum/images/Lilium_philadelphicum.13820373.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Lilium_philadelphicum/images/Lilium_philadelphicum.13820373.jpg,0,0,1,2,0,0,FALSE,TRUE,1,1,2,9,A3AL2W0OZSYIY5,A3AL2W0OZSYIY5,20245,20245,8.97,8.41,2024/4/16,2024/4/16,19:07:43,19:09:34,67,3CZH926SJVYKQUBYU1OT39O1H0C4EG,3CZH926SJVYKQUBYU1OT39O1H0C4EG,FALSE,FALSE
4019889,4019889,Lilium_philadelphicum,Lilium_philadelphicum,9025783,9026747,319360,319360,https://crowdcurio-experiment-images.s3.amazonaws.com/Lilium_philadelphicum/images/Lilium_philadelphicum.4019889.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Lilium_philadelphicum/images/Lilium_philadelphicum.4019889.jpg,0,0,2,2,0,0,FALSE,TRUE,3,3,1,9,A3EPXUXQW7T8BL,A3EPXUXQW7T8BL,18918,18918,12.31,7.53,2024/4/16,2024/4/16,19:08:25,19:09:54,100,3CZH926SJVYKQUBYU1OT39O1H0C4EG,3CZH926SJVYKQUBYU1OT39O1H0C4EG,FALSE,FALSE
3059994,3059994,Lilium_philadelphicum,Lilium_philadelphicum,9027259,9027676,319353,319353,https://crowdcurio-experiment-images.s3.amazonaws.com/Lilium_philadelphicum/images/Lilium_philadelphicum.3059994.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Lilium_philadelphicum/images/Lilium_philadelphicum.3059994.jpg,0,0,1,1,0,0,FALSE,TRUE,4,4,3,7,A3EPXUXQW7T8BL,A3EPXUXQW7T8BL,18918,18918,6.01,6.25,2024/4/16,2024/4/16,19:10:40,19:11:22,100,3CZH926SJVYKQUBYU1OT39O1H0C4EG,3CZH926SJVYKQUBYU1OT39O1H0C4EG,FALSE,FALSE
496931,496931,Lilium_philadelphicum,Lilium_philadelphicum,9028352,9028916,319329,319329,https://crowdcurio-experiment-images.s3.amazonaws.com/Lilium_philadelphicum/images/Lilium_philadelphicum.496931.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Lilium_philadelphicum/images/Lilium_philadelphicum.496931.jpg,0,0,1,1,0,0,FALSE,TRUE,5,5,2,8,A3EPXUXQW7T8BL,A3EPXUXQW7T8BL,18918,18918,7.83,6.74,2024/4/16,2024/4/16,19:12:34,19:13:42,100,3CZH926SJVYKQUBYU1OT39O1H0C4EG,3CZH926SJVYKQUBYU1OT39O1H0C4EG,FALSE,FALSE
3038651,3038651,Lilium_philadelphicum,Lilium_philadelphicum,9028347,9029118,319346,319346,https://crowdcurio-experiment-images.s3.amazonaws.com/Lilium_philadelphicum/images/Lilium_philadelphicum.3038651.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Lilium_philadelphicum/images/Lilium_philadelphicum.3038651.jpg,0,0,1,1,0,0,FALSE,TRUE,2,2,1,8,A38UUB83BIPIUR,A38UUB83BIPIUR,19792,19792,95.13,11.1,2024/4/16,2024/4/16,19:12:34,19:14:08,100,3CZH926SJVYKQUBYU1OT39O1H0C4EG,3CZH926SJVYKQUBYU1OT39O1H0C4EG,FALSE,FALSE
496921,496921,Lilium_philadelphicum,Lilium_philadelphicum,9029744,9030008,319322,319322,https://crowdcurio-experiment-images.s3.amazonaws.com/Lilium_philadelphicum/images/Lilium_philadelphicum.496921.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Lilium_philadelphicum/images/Lilium_philadelphicum.496921.jpg,0,0,1,1,0,0,FALSE,TRUE,6,6,6,9,A3EPXUXQW7T8BL,A3EPXUXQW7T8BL,18918,18918,6.44,7.41,2024/4/16,2024/4/16,19:15:35,19:16:12,100,3CZH926SJVYKQUBYU1OT39O1H0C4EG,3CZH926SJVYKQUBYU1OT39O1H0C4EG,FALSE,FALSE
496927,496927,Lilium_philadelphicum,Lilium_philadelphicum,9029653,9030126,319325,319325,https://crowdcurio-experiment-images.s3.amazonaws.com/Lilium_philadelphicum/images/Lilium_philadelphicum.496927.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Lilium_philadelphicum/images/Lilium_philadelphicum.496927.jpg,0,0,1,1,0,0,FALSE,TRUE,3,3,2,5,A38UUB83BIPIUR,A38UUB83BIPIUR,19792,19792,6.74,16.99,2024/4/16,2024/4/16,19:15:20,19:16:31,100,3CZH926SJVYKQUBYU1OT39O1H0C4EG,3CZH926SJVYKQUBYU1OT39O1H0C4EG,FALSE,FALSE
