coreID1,coreID2,species1,species2,annotation-ID1,annotation-ID2,image-ID1,image-ID2,image-URL1,image-URL2,bud1,bud2,flower1,flower2,fruit1,fruit2,is-duplicated1,is-duplicated2,setNum1,setNum2,sequence1,sequence2,username1,username2,user-ID1,user-ID2,time-spent1 (seconds),time-spent2 (seconds),date1,date2,time1,time2,dejavu-score (%),hit-id1,hit-id2,is-test1,is-test2
24389181,24389181,Lonicera_utahensis,Lonicera_utahensis,9045091,9047114,320223,320223,https://crowdcurio-experiment-images.s3.amazonaws.com/Lonicera_utahensis/images/Lonicera_utahensis.24389181.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Lonicera_utahensis/images/Lonicera_utahensis.24389181.jpg,0,0,4,3,0,0,FALSE,TRUE,1,1,4,9,A2ITHWA2XGFAVE,A2ITHWA2XGFAVE,22628,22628,48.72,30.15,2024/4/16,2024/4/16,19:51:01,19:55:25,86,3SZYX62S6ZKHDY0OLYTX2R2YV93752,3SZYX62S6ZKHDY0OLYTX2R2YV93752,FALSE,FALSE
14754934,14754934,Lonicera_utahensis,Lonicera_utahensis,9058082,9058766,320201,320201,https://crowdcurio-experiment-images.s3.amazonaws.com/Lonicera_utahensis/images/Lonicera_utahensis.14754934.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Lonicera_utahensis/images/Lonicera_utahensis.14754934.jpg,0,0,3,2,6,6,FALSE,TRUE,1,1,7,9,A2BOC2YV96FJQE,A2BOC2YV96FJQE,22588,22588,54.24,48.43,2024/4/16,2024/4/16,20:43:13,20:44:56,95,3SZYX62S6ZKHDY0OLYTX2R2YV93752,3SZYX62S6ZKHDY0OLYTX2R2YV93752,FALSE,FALSE
4734387,4734387,Lonicera_utahensis,Lonicera_utahensis,9070875,9071131,320173,320173,https://crowdcurio-experiment-images.s3.amazonaws.com/Lonicera_utahensis/images/Lonicera_utahensis.4734387.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Lonicera_utahensis/images/Lonicera_utahensis.4734387.jpg,0,0,2,1,0,0,FALSE,TRUE,1,1,1,5,A3NMD1F4A5H4XO,A3NMD1F4A5H4XO,18968,18968,26.19,8.2,2024/4/16,2024/4/16,21:31:33,21:32:20,67,3SZYX62S6ZKHDY0OLYTX2R2YV93752,3SZYX62S6ZKHDY0OLYTX2R2YV93752,FALSE,FALSE
4762590,4762590,Lonicera_utahensis,Lonicera_utahensis,9071193,9071611,320185,320185,https://crowdcurio-experiment-images.s3.amazonaws.com/Lonicera_utahensis/images/Lonicera_utahensis.4762590.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Lonicera_utahensis/images/Lonicera_utahensis.4762590.jpg,0,3,3,3,4,0,FALSE,TRUE,1,1,3,10,A3MSYMSTHZJI98,A3MSYMSTHZJI98,15070,15070,10.51,10.83,2024/4/16,2024/4/16,21:32:29,21:34:00,47,3SZYX62S6ZKHDY0OLYTX2R2YV93752,3SZYX62S6ZKHDY0OLYTX2R2YV93752,FALSE,FALSE
4714035,4714035,Lonicera_utahensis,Lonicera_utahensis,9071675,9071812,320169,320169,https://crowdcurio-experiment-images.s3.amazonaws.com/Lonicera_utahensis/images/Lonicera_utahensis.4714035.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Lonicera_utahensis/images/Lonicera_utahensis.4714035.jpg,0,0,1,1,0,0,FALSE,TRUE,2,2,4,7,A3NMD1F4A5H4XO,A3NMD1F4A5H4XO,18968,18968,5.42,11.03,2024/4/16,2024/4/16,21:34:16,21:34:47,100,3SZYX62S6ZKHDY0OLYTX2R2YV93752,3SZYX62S6ZKHDY0OLYTX2R2YV93752,FALSE,FALSE
4702053,4702053,Lonicera_utahensis,Lonicera_utahensis,9072137,9072388,320159,320159,https://crowdcurio-experiment-images.s3.amazonaws.com/Lonicera_utahensis/images/Lonicera_utahensis.4702053.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Lonicera_utahensis/images/Lonicera_utahensis.4702053.jpg,0,0,1,1,0,0,FALSE,TRUE,3,3,3,9,A3NMD1F4A5H4XO,A3NMD1F4A5H4XO,18968,18968,7.92,11.84,2024/4/16,2024/4/16,21:36:25,21:37:36,100,3SZYX62S6ZKHDY0OLYTX2R2YV93752,3SZYX62S6ZKHDY0OLYTX2R2YV93752,FALSE,FALSE
4699507,4699507,Lonicera_utahensis,Lonicera_utahensis,9072804,9073002,320148,320148,https://crowdcurio-experiment-images.s3.amazonaws.com/Lonicera_utahensis/images/Lonicera_utahensis.4699507.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Lonicera_utahensis/images/Lonicera_utahensis.4699507.jpg,0,0,1,1,0,0,FALSE,TRUE,4,4,6,10,A3NMD1F4A5H4XO,A3NMD1F4A5H4XO,18968,18968,9.36,22.05,2024/4/16,2024/4/16,21:39:35,21:40:33,100,3SZYX62S6ZKHDY0OLYTX2R2YV93752,3SZYX62S6ZKHDY0OLYTX2R2YV93752,FALSE,FALSE
4679552,4679552,Lonicera_utahensis,Lonicera_utahensis,9073221,9073325,320133,320133,https://crowdcurio-experiment-images.s3.amazonaws.com/Lonicera_utahensis/images/Lonicera_utahensis.4679552.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Lonicera_utahensis/images/Lonicera_utahensis.4679552.jpg,0,0,1,10,0,0,FALSE,TRUE,5,5,4,7,A3NMD1F4A5H4XO,A3NMD1F4A5H4XO,18968,18968,5.81,6.25,2024/4/16,2024/4/16,21:41:30,21:41:58,19,3SZYX62S6ZKHDY0OLYTX2R2YV93752,3SZYX62S6ZKHDY0OLYTX2R2YV93752,FALSE,FALSE
4697649,4697649,Lonicera_utahensis,Lonicera_utahensis,9073653,9073972,320141,320141,https://crowdcurio-experiment-images.s3.amazonaws.com/Lonicera_utahensis/images/Lonicera_utahensis.4697649.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Lonicera_utahensis/images/Lonicera_utahensis.4697649.jpg,2,0,4,4,0,0,FALSE,TRUE,1,1,3,8,AI4N9JIAIXKPV,AI4N9JIAIXKPV,19321,19321,18.7,11.42,2024/4/16,2024/4/16,21:43:20,21:44:32,80,3SZYX62S6ZKHDY0OLYTX2R2YV93752,3SZYX62S6ZKHDY0OLYTX2R2YV93752,FALSE,FALSE
1610359,1610359,Lonicera_utahensis,Lonicera_utahensis,9075826,9075962,320116,320116,https://crowdcurio-experiment-images.s3.amazonaws.com/Lonicera_utahensis/images/Lonicera_utahensis.1610359.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Lonicera_utahensis/images/Lonicera_utahensis.1610359.jpg,0,0,0,0,1,1,FALSE,TRUE,1,1,1,4,AI4N9JIAIXKPV,AI4N9JIAIXKPV,19321,19321,23.68,8.45,2024/4/16,2024/4/16,21:52:55,21:53:28,100,3SZYX62S6ZKHDY0OLYTX2R2YV93752,3SZYX62S6ZKHDY0OLYTX2R2YV93752,FALSE,FALSE
1190656,1190656,Lonicera_utahensis,Lonicera_utahensis,9076636,9076705,320097,320097,https://crowdcurio-experiment-images.s3.amazonaws.com/Lonicera_utahensis/images/Lonicera_utahensis.1190656.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Lonicera_utahensis/images/Lonicera_utahensis.1190656.jpg,0,1,0,0,2,0,FALSE,TRUE,2,2,5,7,AI4N9JIAIXKPV,AI4N9JIAIXKPV,19321,19321,10.05,8.52,2024/4/16,2024/4/16,21:56:08,21:56:28,0,3SZYX62S6ZKHDY0OLYTX2R2YV93752,3SZYX62S6ZKHDY0OLYTX2R2YV93752,FALSE,FALSE
15055457,15055457,Lonicera_utahensis,Lonicera_utahensis,9157013,9157195,320211,320211,https://crowdcurio-experiment-images.s3.amazonaws.com/Lonicera_utahensis/images/Lonicera_utahensis.15055457.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Lonicera_utahensis/images/Lonicera_utahensis.15055457.jpg,0,0,0,0,0,0,FALSE,TRUE,1,1,7,9,AOPTWDWJVIVZA,AOPTWDWJVIVZA,22740,22740,14.08,23.4,2024/4/17,2024/4/17,3:22:03,3:22:51,100,3SZYX62S6ZKHDY0OLYTX2R2YV93752,3SZYX62S6ZKHDY0OLYTX2R2YV93752,FALSE,FALSE
1611324,1611324,Lonicera_utahensis,Lonicera_utahensis,9157525,9157709,320118,320118,https://crowdcurio-experiment-images.s3.amazonaws.com/Lonicera_utahensis/images/Lonicera_utahensis.1611324.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Lonicera_utahensis/images/Lonicera_utahensis.1611324.jpg,0,0,0,0,7,7,FALSE,TRUE,2,2,6,10,AOPTWDWJVIVZA,AOPTWDWJVIVZA,22740,22740,17.67,22.72,2024/4/17,2024/4/17,3:24:36,3:25:39,100,3SZYX62S6ZKHDY0OLYTX2R2YV93752,3SZYX62S6ZKHDY0OLYTX2R2YV93752,FALSE,FALSE
1342770,1342770,Lonicera_utahensis,Lonicera_utahensis,9157787,9157945,320099,320099,https://crowdcurio-experiment-images.s3.amazonaws.com/Lonicera_utahensis/images/Lonicera_utahensis.1342770.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Lonicera_utahensis/images/Lonicera_utahensis.1342770.jpg,0,0,0,0,0,0,FALSE,TRUE,3,3,1,4,AOPTWDWJVIVZA,AOPTWDWJVIVZA,22740,22740,10.21,10.73,2024/4/17,2024/4/17,3:26:00,3:26:46,100,3SZYX62S6ZKHDY0OLYTX2R2YV93752,3SZYX62S6ZKHDY0OLYTX2R2YV93752,FALSE,FALSE
