coreID1,coreID2,species1,species2,annotation-ID1,annotation-ID2,image-ID1,image-ID2,image-URL1,image-URL2,bud1,bud2,flower1,flower2,fruit1,fruit2,is-duplicated1,is-duplicated2,setNum1,setNum2,sequence1,sequence2,username1,username2,user-ID1,user-ID2,time-spent1 (seconds),time-spent2 (seconds),date1,date2,time1,time2,dejavu-score (%),hit-id1,hit-id2,is-test1,is-test2
24689270,24689270,Mimulus_lewisii,Mimulus_lewisii,9037947,9038074,322991,322991,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_lewisii/images/Mimulus_lewisii.24689270.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_lewisii/images/Mimulus_lewisii.24689270.jpg,0,0,1,1,0,0,FALSE,TRUE,1,1,3,5,A3AL2W0OZSYIY5,A3AL2W0OZSYIY5,20245,20245,5.2,5.35,2024/4/16,2024/4/16,19:36:23,19:36:42,100,3TCFMTM8IX8B3F2ZEZAQ3A898DC12Y,3TCFMTM8IX8B3F2ZEZAQ3A898DC12Y,FALSE,FALSE
20014605,20014605,Mimulus_lewisii,Mimulus_lewisii,9038935,9039095,322976,322976,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_lewisii/images/Mimulus_lewisii.20014605.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_lewisii/images/Mimulus_lewisii.20014605.jpg,0,0,1,1,0,0,FALSE,TRUE,2,2,3,5,A3AL2W0OZSYIY5,A3AL2W0OZSYIY5,20245,20245,7.25,6.26,2024/4/16,2024/4/16,19:38:23,19:38:43,100,3TCFMTM8IX8B3F2ZEZAQ3A898DC12Y,3TCFMTM8IX8B3F2ZEZAQ3A898DC12Y,FALSE,FALSE
13949144,13949144,Mimulus_lewisii,Mimulus_lewisii,9039678,9040143,322964,322964,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_lewisii/images/Mimulus_lewisii.13949144.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_lewisii/images/Mimulus_lewisii.13949144.jpg,0,0,1,1,0,0,FALSE,TRUE,3,3,1,8,A3AL2W0OZSYIY5,A3AL2W0OZSYIY5,20245,20245,5.06,5.98,2024/4/16,2024/4/16,19:39:54,19:41:02,100,3TCFMTM8IX8B3F2ZEZAQ3A898DC12Y,3TCFMTM8IX8B3F2ZEZAQ3A898DC12Y,FALSE,FALSE
7927175,7927175,Mimulus_lewisii,Mimulus_lewisii,9040629,9041045,322947,322947,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_lewisii/images/Mimulus_lewisii.7927175.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_lewisii/images/Mimulus_lewisii.7927175.jpg,0,0,1,1,0,0,FALSE,TRUE,4,4,2,7,A3AL2W0OZSYIY5,A3AL2W0OZSYIY5,20245,20245,5.25,6.29,2024/4/16,2024/4/16,19:41:57,19:42:47,100,3TCFMTM8IX8B3F2ZEZAQ3A898DC12Y,3TCFMTM8IX8B3F2ZEZAQ3A898DC12Y,FALSE,FALSE
4737932,4737932,Mimulus_lewisii,Mimulus_lewisii,9042280,9042913,322929,322929,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_lewisii/images/Mimulus_lewisii.4737932.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_lewisii/images/Mimulus_lewisii.4737932.jpg,0,0,1,1,1,0,FALSE,TRUE,5,1,2,7,A3AL2W0OZSYIY5,A3AL2W0OZSYIY5,20245,20245,6.82,5.6,2024/4/16,2024/4/16,19:44:53,19:45:55,67,3TCFMTM8IX8B3F2ZEZAQ3A898DC12Y,3TCFMTM8IX8B3F2ZEZAQ3A898DC12Y,FALSE,FALSE
4737008,4737008,Mimulus_lewisii,Mimulus_lewisii,9061166,9062708,322928,322928,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_lewisii/images/Mimulus_lewisii.4737008.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_lewisii/images/Mimulus_lewisii.4737008.jpg,1,1,0,0,5,3,FALSE,TRUE,1,1,4,10,A559SY8VKIQ3N,A559SY8VKIQ3N,20063,20063,78.05,38.71,2024/4/16,2024/4/16,20:51:13,20:56:06,80,3TCFMTM8IX8B3F2ZEZAQ3A898DC12Y,3TCFMTM8IX8B3F2ZEZAQ3A898DC12Y,FALSE,FALSE
2979007,2979007,Mimulus_lewisii,Mimulus_lewisii,9069417,9069772,322900,322900,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_lewisii/images/Mimulus_lewisii.2979007.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_lewisii/images/Mimulus_lewisii.2979007.jpg,0,0,1,1,0,0,FALSE,TRUE,1,1,3,9,A1P2B5MY6BRAST,A1P2B5MY6BRAST,22684,22684,5.75,7.48,2024/4/16,2024/4/16,21:25:28,21:26:59,100,3TCFMTM8IX8B3F2ZEZAQ3A898DC12Y,3TCFMTM8IX8B3F2ZEZAQ3A898DC12Y,FALSE,FALSE
1180904,1180904,Mimulus_lewisii,Mimulus_lewisii,9106961,9107259,322852,322852,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_lewisii/images/Mimulus_lewisii.1180904.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_lewisii/images/Mimulus_lewisii.1180904.jpg,0,0,2,2,3,3,FALSE,TRUE,1,1,3,5,AYI52R70VMEG5,AYI52R70VMEG5,22348,22348,28.76,21.84,2024/4/16,2024/4/16,23:42:41,23:44:07,100,3TCFMTM8IX8B3F2ZEZAQ3A898DC12Y,3TCFMTM8IX8B3F2ZEZAQ3A898DC12Y,FALSE,FALSE
1167565,1167565,Mimulus_lewisii,Mimulus_lewisii,9109120,9109427,322843,322843,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_lewisii/images/Mimulus_lewisii.1167565.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_lewisii/images/Mimulus_lewisii.1167565.jpg,1,1,6,7,11,11,FALSE,TRUE,2,2,2,4,AYI52R70VMEG5,AYI52R70VMEG5,22348,22348,115.56,87.88,2024/4/16,2024/4/16,23:53:14,23:55:11,98,3TCFMTM8IX8B3F2ZEZAQ3A898DC12Y,3TCFMTM8IX8B3F2ZEZAQ3A898DC12Y,FALSE,FALSE
1136700,1136700,Mimulus_lewisii,Mimulus_lewisii,9111876,9115351,322837,322837,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_lewisii/images/Mimulus_lewisii.1136700.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_lewisii/images/Mimulus_lewisii.1136700.jpg,0,0,2,2,3,6,FALSE,TRUE,1,1,2,7,A3Q93O72ARRY5,A3Q93O72ARRY5,22782,22782,47.96,43.13,2024/4/17,2024/4/17,0:06:21,0:22:11,77,3TCFMTM8IX8B3F2ZEZAQ3A898DC12Y,3TCFMTM8IX8B3F2ZEZAQ3A898DC12Y,FALSE,FALSE
15778478,15778478,Mimulus_lewisii,Mimulus_lewisii,9119673,9120344,322966,322966,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_lewisii/images/Mimulus_lewisii.15778478.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_lewisii/images/Mimulus_lewisii.15778478.jpg,0,0,1,5,5,5,FALSE,TRUE,1,1,1,8,A2LGD6KKQF6BG8,A2LGD6KKQF6BG8,22772,22772,15.58,37.74,2024/4/17,2024/4/17,0:39:20,0:42:04,75,3TCFMTM8IX8B3F2ZEZAQ3A898DC12Y,3TCFMTM8IX8B3F2ZEZAQ3A898DC12Y,FALSE,FALSE
4850148,4850148,Mimulus_lewisii,Mimulus_lewisii,9129808,9132204,322940,322940,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_lewisii/images/Mimulus_lewisii.4850148.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_lewisii/images/Mimulus_lewisii.4850148.jpg,1,1,3,3,2,2,FALSE,TRUE,1,1,2,9,A180CW5I4FL913,A180CW5I4FL913,8704,8704,78.69,51.24,2024/4/17,2024/4/17,1:19:44,1:29:58,100,3TCFMTM8IX8B3F2ZEZAQ3A898DC12Y,3TCFMTM8IX8B3F2ZEZAQ3A898DC12Y,FALSE,FALSE
4699941,4699941,Mimulus_lewisii,Mimulus_lewisii,9132795,9133725,322910,322910,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_lewisii/images/Mimulus_lewisii.4699941.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_lewisii/images/Mimulus_lewisii.4699941.jpg,1,1,8,6,5,6,FALSE,TRUE,1,1,4,9,A1MHUF6WJDR4A2,A1MHUF6WJDR4A2,21452,21452,54.41,55.87,2024/4/17,2024/4/17,1:32:22,1:36:31,89,3TCFMTM8IX8B3F2ZEZAQ3A898DC12Y,3TCFMTM8IX8B3F2ZEZAQ3A898DC12Y,FALSE,FALSE
3293839,3293839,Mimulus_lewisii,Mimulus_lewisii,9134307,9134948,322903,322903,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_lewisii/images/Mimulus_lewisii.3293839.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_lewisii/images/Mimulus_lewisii.3293839.jpg,0,0,4,4,7,6,FALSE,TRUE,2,2,5,8,A180CW5I4FL913,A180CW5I4FL913,8704,8704,53.26,49.83,2024/4/17,2024/4/17,1:39:08,1:41:49,96,3TCFMTM8IX8B3F2ZEZAQ3A898DC12Y,3TCFMTM8IX8B3F2ZEZAQ3A898DC12Y,FALSE,FALSE
1672531,1672531,Mimulus_lewisii,Mimulus_lewisii,9134401,9135301,322884,322884,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_lewisii/images/Mimulus_lewisii.1672531.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_lewisii/images/Mimulus_lewisii.1672531.jpg,0,0,3,3,1,1,FALSE,TRUE,2,2,2,6,A1MHUF6WJDR4A2,A1MHUF6WJDR4A2,21452,21452,19.44,24.56,2024/4/17,2024/4/17,1:39:34,1:43:13,100,3TCFMTM8IX8B3F2ZEZAQ3A898DC12Y,3TCFMTM8IX8B3F2ZEZAQ3A898DC12Y,FALSE,FALSE
1624880,1624880,Mimulus_lewisii,Mimulus_lewisii,9137193,9140116,322870,322870,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_lewisii/images/Mimulus_lewisii.1624880.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_lewisii/images/Mimulus_lewisii.1624880.jpg,3,2,4,3,0,0,FALSE,TRUE,3,3,1,10,A1MHUF6WJDR4A2,A1MHUF6WJDR4A2,21452,21452,65.57,37.38,2024/4/17,2024/4/17,1:50:37,2:01:09,84,3TCFMTM8IX8B3F2ZEZAQ3A898DC12Y,3TCFMTM8IX8B3F2ZEZAQ3A898DC12Y,FALSE,FALSE
1422366,1422366,Mimulus_lewisii,Mimulus_lewisii,9142098,9143250,322867,322867,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_lewisii/images/Mimulus_lewisii.1422366.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_lewisii/images/Mimulus_lewisii.1422366.jpg,0,0,6,6,3,2,FALSE,TRUE,4,4,4,8,A1MHUF6WJDR4A2,A1MHUF6WJDR4A2,21452,21452,57.44,64.43,2024/4/17,2024/4/17,2:09:42,2:14:25,95,3TCFMTM8IX8B3F2ZEZAQ3A898DC12Y,3TCFMTM8IX8B3F2ZEZAQ3A898DC12Y,FALSE,FALSE
