coreID1,coreID2,species1,species2,annotation-ID1,annotation-ID2,image-ID1,image-ID2,image-URL1,image-URL2,bud1,bud2,flower1,flower2,fruit1,fruit2,is-duplicated1,is-duplicated2,setNum1,setNum2,sequence1,sequence2,username1,username2,user-ID1,user-ID2,time-spent1 (seconds),time-spent2 (seconds),date1,date2,time1,time2,dejavu-score (%),hit-id1,hit-id2,is-test1,is-test2
24760227,24760227,Mimulus_tilingii,Mimulus_tilingii,9057613,9058843,323085,323085,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_tilingii/images/Mimulus_tilingii.24760227.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_tilingii/images/Mimulus_tilingii.24760227.jpg,0,0,5,3,0,0,FALSE,TRUE,1,1,1,10,A1QEYZDTJ43XDD,A1QEYZDTJ43XDD,20323,20323,26.7,10.65,2024/4/16,2024/4/16,20:41:59,20:45:09,75,3JUDR1D0EPBZKJMGZE054BGHGP42QU,3JUDR1D0EPBZKJMGZE054BGHGP42QU,FALSE,FALSE
27217476,27217476,Mimulus_tilingii,Mimulus_tilingii,9058828,9060090,323094,323094,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_tilingii/images/Mimulus_tilingii.27217476.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_tilingii/images/Mimulus_tilingii.27217476.jpg,2,3,6,7,2,3,FALSE,TRUE,1,1,2,8,A2G6V8JHHQOEUF,A2G6V8JHHQOEUF,20248,20248,34.08,30.44,2024/4/16,2024/4/16,20:45:07,20:48:37,87,3JUDR1D0EPBZKJMGZE054BGHGP42QU,3JUDR1D0EPBZKJMGZE054BGHGP42QU,FALSE,FALSE
13785023,13785023,Mimulus_tilingii,Mimulus_tilingii,9060001,9060830,323059,323059,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_tilingii/images/Mimulus_tilingii.13785023.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_tilingii/images/Mimulus_tilingii.13785023.jpg,2,0,4,2,0,0,FALSE,TRUE,1,1,2,9,A1P2B5MY6BRAST,A1P2B5MY6BRAST,22684,22684,13.37,8.02,2024/4/16,2024/4/16,20:48:22,20:50:23,50,3JUDR1D0EPBZKJMGZE054BGHGP42QU,3JUDR1D0EPBZKJMGZE054BGHGP42QU,FALSE,FALSE
6078651,6078651,Mimulus_tilingii,Mimulus_tilingii,9060787,9061992,323048,323048,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_tilingii/images/Mimulus_tilingii.6078651.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_tilingii/images/Mimulus_tilingii.6078651.jpg,1,1,1,1,0,1,FALSE,TRUE,2,2,1,9,A2G6V8JHHQOEUF,A2G6V8JHHQOEUF,20248,20248,16.49,15.45,2024/4/16,2024/4/16,20:50:16,20:53:42,80,3JUDR1D0EPBZKJMGZE054BGHGP42QU,3JUDR1D0EPBZKJMGZE054BGHGP42QU,FALSE,FALSE
13785032,13785032,Mimulus_tilingii,Mimulus_tilingii,9064663,9065533,323067,323067,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_tilingii/images/Mimulus_tilingii.13785032.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_tilingii/images/Mimulus_tilingii.13785032.jpg,3,2,0,1,0,0,FALSE,TRUE,1,1,4,10,A1QEYZDTJ43XDD,A1QEYZDTJ43XDD,20323,20323,31.43,48.83,2024/4/16,2024/4/16,21:02:49,21:05:49,67,3JUDR1D0EPBZKJMGZE054BGHGP42QU,3JUDR1D0EPBZKJMGZE054BGHGP42QU,FALSE,FALSE
516708,516708,Mimulus_tilingii,Mimulus_tilingii,9142071,9143164,323012,323012,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_tilingii/images/Mimulus_tilingii.516708.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_tilingii/images/Mimulus_tilingii.516708.jpg,3,2,4,3,1,3,FALSE,TRUE,1,1,1,6,A4MH7J1MI9M0A,A4MH7J1MI9M0A,22380,22380,70.5,47.47,2024/4/17,2024/4/17,2:09:35,2:14:06,75,3JUDR1D0EPBZKJMGZE054BGHGP42QU,3JUDR1D0EPBZKJMGZE054BGHGP42QU,FALSE,FALSE
6050512,6050512,Mimulus_tilingii,Mimulus_tilingii,9145807,9146638,323043,323043,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_tilingii/images/Mimulus_tilingii.6050512.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_tilingii/images/Mimulus_tilingii.6050512.jpg,2,3,7,8,4,2,FALSE,TRUE,1,1,2,5,A4MH7J1MI9M0A,A4MH7J1MI9M0A,22380,22380,49.11,86.86,2024/4/17,2024/4/17,2:24:55,2:29:35,85,3JUDR1D0EPBZKJMGZE054BGHGP42QU,3JUDR1D0EPBZKJMGZE054BGHGP42QU,FALSE,FALSE
3046411,3046411,Mimulus_tilingii,Mimulus_tilingii,9149111,9149514,323033,323033,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_tilingii/images/Mimulus_tilingii.3046411.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_tilingii/images/Mimulus_tilingii.3046411.jpg,0,0,1,6,11,10,FALSE,TRUE,2,2,6,8,A4MH7J1MI9M0A,A4MH7J1MI9M0A,22380,22380,59.41,46.72,2024/4/17,2024/4/17,2:41:42,2:43:29,79,3JUDR1D0EPBZKJMGZE054BGHGP42QU,3JUDR1D0EPBZKJMGZE054BGHGP42QU,FALSE,FALSE
2123609,2123609,Mimulus_tilingii,Mimulus_tilingii,9149511,9150184,323022,323022,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_tilingii/images/Mimulus_tilingii.2123609.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_tilingii/images/Mimulus_tilingii.2123609.jpg,0,0,5,5,0,0,FALSE,TRUE,1,1,3,8,A3M230GVQ2TCRJ,A3M230GVQ2TCRJ,20950,20950,53.59,18.56,2024/4/17,2024/4/17,2:43:27,2:47:08,100,3JUDR1D0EPBZKJMGZE054BGHGP42QU,3JUDR1D0EPBZKJMGZE054BGHGP42QU,FALSE,FALSE
2979104,2979104,Mimulus_tilingii,Mimulus_tilingii,9226759,9227586,323024,323024,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_tilingii/images/Mimulus_tilingii.2979104.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Mimulus_tilingii/images/Mimulus_tilingii.2979104.jpg,0,0,1,1,0,0,FALSE,TRUE,1,1,4,10,A34VXRZMEC15LN,A34VXRZMEC15LN,21946,21946,7.43,6.08,2024/4/17,2024/4/17,6:45:35,6:47:09,100,3JUDR1D0EPBZKJMGZE054BGHGP42QU,3JUDR1D0EPBZKJMGZE054BGHGP42QU,FALSE,FALSE
