coreID1,coreID2,species1,species2,annotation-ID1,annotation-ID2,image-ID1,image-ID2,image-URL1,image-URL2,bud1,bud2,flower1,flower2,fruit1,fruit2,is-duplicated1,is-duplicated2,setNum1,setNum2,sequence1,sequence2,username1,username2,user-ID1,user-ID2,time-spent1 (seconds),time-spent2 (seconds),date1,date2,time1,time2,dejavu-score (%),hit-id1,hit-id2,is-test1,is-test2
19803393,19803393,Oenothera_albicaulis,Oenothera_albicaulis,9038819,9039628,323580,323580,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_albicaulis/images/Oenothera_albicaulis.19803393.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_albicaulis/images/Oenothera_albicaulis.19803393.jpg,0,0,1,1,0,0,FALSE,TRUE,1,1,1,6,A38UUB83BIPIUR,A38UUB83BIPIUR,19792,19792,8.04,22.89,2024/4/16,2024/4/16,19:38:11,19:39:48,100,32TZXEA1P44L6THMIDTEWP57SR814U,32TZXEA1P44L6THMIDTEWP57SR814U,FALSE,FALSE
13816900,13816900,Oenothera_albicaulis,Oenothera_albicaulis,9040991,9041223,323567,323567,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_albicaulis/images/Oenothera_albicaulis.13816900.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_albicaulis/images/Oenothera_albicaulis.13816900.jpg,0,0,1,1,0,0,FALSE,TRUE,2,2,6,8,A38UUB83BIPIUR,A38UUB83BIPIUR,19792,19792,6.99,11.13,2024/4/16,2024/4/16,19:42:42,19:43:06,100,32TZXEA1P44L6THMIDTEWP57SR814U,32TZXEA1P44L6THMIDTEWP57SR814U,FALSE,FALSE
13816111,13816111,Oenothera_albicaulis,Oenothera_albicaulis,9047532,9047748,323559,323559,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_albicaulis/images/Oenothera_albicaulis.13816111.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_albicaulis/images/Oenothera_albicaulis.13816111.jpg,0,0,2,1,0,0,FALSE,TRUE,1,1,9,10,A38UUB83BIPIUR,A38UUB83BIPIUR,19792,19792,7.2,6.32,2024/4/16,2024/4/16,19:56:15,19:56:44,67,32TZXEA1P44L6THMIDTEWP57SR814U,32TZXEA1P44L6THMIDTEWP57SR814U,FALSE,FALSE
13816094,13816094,Oenothera_albicaulis,Oenothera_albicaulis,9047921,9048726,323548,323548,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_albicaulis/images/Oenothera_albicaulis.13816094.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_albicaulis/images/Oenothera_albicaulis.13816094.jpg,0,0,1,1,0,0,FALSE,TRUE,2,2,1,10,A38UUB83BIPIUR,A38UUB83BIPIUR,19792,19792,5.95,6.39,2024/4/16,2024/4/16,19:57:06,19:59:01,100,32TZXEA1P44L6THMIDTEWP57SR814U,32TZXEA1P44L6THMIDTEWP57SR814U,FALSE,FALSE
13816072,13816072,Oenothera_albicaulis,Oenothera_albicaulis,9051536,9052634,323535,323535,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_albicaulis/images/Oenothera_albicaulis.13816072.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_albicaulis/images/Oenothera_albicaulis.13816072.jpg,0,0,1,1,0,0,FALSE,TRUE,1,1,3,5,A38UUB83BIPIUR,A38UUB83BIPIUR,19792,19792,66.46,14.69,2024/4/16,2024/4/16,20:10:52,20:16:44,100,32TZXEA1P44L6THMIDTEWP57SR814U,32TZXEA1P44L6THMIDTEWP57SR814U,FALSE,FALSE
4106938,4106938,Oenothera_albicaulis,Oenothera_albicaulis,9053002,9053327,323515,323515,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_albicaulis/images/Oenothera_albicaulis.4106938.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_albicaulis/images/Oenothera_albicaulis.4106938.jpg,0,0,1,1,0,0,FALSE,TRUE,2,2,2,8,A38UUB83BIPIUR,A38UUB83BIPIUR,19792,19792,6.52,8.52,2024/4/16,2024/4/16,20:18:15,20:19:24,100,32TZXEA1P44L6THMIDTEWP57SR814U,32TZXEA1P44L6THMIDTEWP57SR814U,FALSE,FALSE
4032997,4032997,Oenothera_albicaulis,Oenothera_albicaulis,9054945,9055193,323508,323508,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_albicaulis/images/Oenothera_albicaulis.4032997.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_albicaulis/images/Oenothera_albicaulis.4032997.jpg,0,0,1,1,0,0,FALSE,TRUE,1,1,4,9,A38UUB83BIPIUR,A38UUB83BIPIUR,19792,19792,14.48,9.7,2024/4/16,2024/4/16,20:32:04,20:32:52,100,32TZXEA1P44L6THMIDTEWP57SR814U,32TZXEA1P44L6THMIDTEWP57SR814U,FALSE,FALSE
3051816,3051816,Oenothera_albicaulis,Oenothera_albicaulis,9055474,9055723,323495,323495,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_albicaulis/images/Oenothera_albicaulis.3051816.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_albicaulis/images/Oenothera_albicaulis.3051816.jpg,0,0,1,1,0,0,FALSE,TRUE,2,2,3,8,A38UUB83BIPIUR,A38UUB83BIPIUR,19792,19792,6.15,6.22,2024/4/16,2024/4/16,20:33:55,20:34:42,100,32TZXEA1P44L6THMIDTEWP57SR814U,32TZXEA1P44L6THMIDTEWP57SR814U,FALSE,FALSE
3049341,3049341,Oenothera_albicaulis,Oenothera_albicaulis,9055929,9056085,323494,323494,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_albicaulis/images/Oenothera_albicaulis.3049341.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_albicaulis/images/Oenothera_albicaulis.3049341.jpg,0,0,1,1,0,0,FALSE,TRUE,3,3,1,4,A38UUB83BIPIUR,A38UUB83BIPIUR,19792,19792,5.39,6.56,2024/4/16,2024/4/16,20:35:22,20:35:50,100,32TZXEA1P44L6THMIDTEWP57SR814U,32TZXEA1P44L6THMIDTEWP57SR814U,FALSE,FALSE
1706914,1706914,Oenothera_albicaulis,Oenothera_albicaulis,9057240,9057438,323480,323480,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_albicaulis/images/Oenothera_albicaulis.1706914.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_albicaulis/images/Oenothera_albicaulis.1706914.jpg,0,0,1,1,0,0,FALSE,TRUE,4,4,6,10,A38UUB83BIPIUR,A38UUB83BIPIUR,19792,19792,7.23,6.06,2024/4/16,2024/4/16,20:40:48,20:41:30,100,32TZXEA1P44L6THMIDTEWP57SR814U,32TZXEA1P44L6THMIDTEWP57SR814U,FALSE,FALSE
1303973,1303973,Oenothera_albicaulis,Oenothera_albicaulis,9058080,9059217,323468,323468,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_albicaulis/images/Oenothera_albicaulis.1303973.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_albicaulis/images/Oenothera_albicaulis.1303973.jpg,0,0,1,0,0,2,FALSE,TRUE,5,5,6,9,A38UUB83BIPIUR,A38UUB83BIPIUR,19792,19792,11.06,76.31,2024/4/16,2024/4/16,20:43:12,20:46:03,0,32TZXEA1P44L6THMIDTEWP57SR814U,32TZXEA1P44L6THMIDTEWP57SR814U,FALSE,FALSE
524798,524798,Oenothera_albicaulis,Oenothera_albicaulis,9062230,9063167,323461,323461,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_albicaulis/images/Oenothera_albicaulis.524798.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_albicaulis/images/Oenothera_albicaulis.524798.jpg,0,3,1,1,0,0,FALSE,TRUE,1,1,3,9,A1NCT9ZVI9KAH2,A1NCT9ZVI9KAH2,20833,20833,17.45,11.8,2024/4/16,2024/4/16,20:54:26,20:57:21,40,32TZXEA1P44L6THMIDTEWP57SR814U,32TZXEA1P44L6THMIDTEWP57SR814U,FALSE,FALSE
24693583,24693583,Oenothera_albicaulis,Oenothera_albicaulis,9072692,9073864,323598,323598,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_albicaulis/images/Oenothera_albicaulis.24693583.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_albicaulis/images/Oenothera_albicaulis.24693583.jpg,2,4,3,4,0,0,FALSE,TRUE,1,1,2,8,A559SY8VKIQ3N,A559SY8VKIQ3N,20063,20063,61.78,39.5,2024/4/16,2024/4/16,21:39:01,21:44:09,77,32TZXEA1P44L6THMIDTEWP57SR814U,32TZXEA1P44L6THMIDTEWP57SR814U,FALSE,FALSE
13816101,13816101,Oenothera_albicaulis,Oenothera_albicaulis,9102132,9102383,323552,323552,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_albicaulis/images/Oenothera_albicaulis.13816101.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_albicaulis/images/Oenothera_albicaulis.13816101.jpg,6,8,2,1,0,0,FALSE,TRUE,1,1,3,6,A1PLBQ3LANDLOE,A1PLBQ3LANDLOE,20640,20640,59.48,32.08,2024/4/16,2024/4/16,23:19:44,23:21:15,83,32TZXEA1P44L6THMIDTEWP57SR814U,32TZXEA1P44L6THMIDTEWP57SR814U,FALSE,FALSE
