coreID1,coreID2,species1,species2,annotation-ID1,annotation-ID2,image-ID1,image-ID2,image-URL1,image-URL2,bud1,bud2,flower1,flower2,fruit1,fruit2,is-duplicated1,is-duplicated2,setNum1,setNum2,sequence1,sequence2,username1,username2,user-ID1,user-ID2,time-spent1 (seconds),time-spent2 (seconds),date1,date2,time1,time2,dejavu-score (%),hit-id1,hit-id2,is-test1,is-test2
13816350,13816350,Oenothera_flava,Oenothera_flava,9069111,9076607,323828,323828,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_flava/images/Oenothera_flava.13816350.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_flava/images/Oenothera_flava.13816350.jpg,6,5,2,1,0,0,FALSE,TRUE,1,1,2,9,A1OIBI3PWS4R5K,A1OIBI3PWS4R5K,676,676,31.84,55.68,2024/4/16,2024/4/16,21:24:03,21:56:00,86,32FESTC2O0A4AULZDG9GQPMSV1NCUI,32FESTC2O0A4AULZDG9GQPMSV1NCUI,FALSE,FALSE
4041250,4041250,Oenothera_flava,Oenothera_flava,9084664,9085022,323774,323774,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_flava/images/Oenothera_flava.4041250.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_flava/images/Oenothera_flava.4041250.jpg,0,0,1,1,0,0,FALSE,TRUE,1,1,5,10,A38UUB83BIPIUR,A38UUB83BIPIUR,19792,19792,6.18,5.88,2024/4/16,2024/4/16,22:27:51,22:28:57,100,32FESTC2O0A4AULZDG9GQPMSV1NCUI,32FESTC2O0A4AULZDG9GQPMSV1NCUI,FALSE,FALSE
3041235,3041235,Oenothera_flava,Oenothera_flava,9086884,9087656,323765,323765,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_flava/images/Oenothera_flava.3041235.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_flava/images/Oenothera_flava.3041235.jpg,0,0,1,1,0,0,FALSE,TRUE,1,1,3,10,A38UUB83BIPIUR,A38UUB83BIPIUR,19792,19792,12.74,8.84,2024/4/16,2024/4/16,22:34:46,22:36:58,100,32FESTC2O0A4AULZDG9GQPMSV1NCUI,32FESTC2O0A4AULZDG9GQPMSV1NCUI,FALSE,FALSE
2880508,2880508,Oenothera_flava,Oenothera_flava,9087834,9088379,323753,323753,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_flava/images/Oenothera_flava.2880508.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_flava/images/Oenothera_flava.2880508.jpg,0,0,1,1,0,0,FALSE,TRUE,2,2,1,7,A38UUB83BIPIUR,A38UUB83BIPIUR,19792,19792,25.43,11.09,2024/4/16,2024/4/16,22:37:40,22:39:02,100,32FESTC2O0A4AULZDG9GQPMSV1NCUI,32FESTC2O0A4AULZDG9GQPMSV1NCUI,FALSE,FALSE
1612849,1612849,Oenothera_flava,Oenothera_flava,9089206,9089588,323740,323740,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_flava/images/Oenothera_flava.1612849.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_flava/images/Oenothera_flava.1612849.jpg,0,0,1,2,0,0,FALSE,TRUE,3,3,4,7,A38UUB83BIPIUR,A38UUB83BIPIUR,19792,19792,7.03,24.43,2024/4/16,2024/4/16,22:40:48,22:41:36,67,32FESTC2O0A4AULZDG9GQPMSV1NCUI,32FESTC2O0A4AULZDG9GQPMSV1NCUI,FALSE,FALSE
1454479,1454479,Oenothera_flava,Oenothera_flava,9092323,9092485,323725,323725,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_flava/images/Oenothera_flava.1454479.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_flava/images/Oenothera_flava.1454479.jpg,0,0,1,1,0,0,FALSE,TRUE,1,1,6,8,A38UUB83BIPIUR,A38UUB83BIPIUR,19792,19792,9.4,20.49,2024/4/16,2024/4/16,22:48:29,22:49:03,100,32FESTC2O0A4AULZDG9GQPMSV1NCUI,32FESTC2O0A4AULZDG9GQPMSV1NCUI,FALSE,FALSE
1301369,1301369,Oenothera_flava,Oenothera_flava,9092808,9092946,323711,323711,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_flava/images/Oenothera_flava.1301369.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_flava/images/Oenothera_flava.1301369.jpg,0,0,1,1,0,0,FALSE,TRUE,2,2,1,3,A38UUB83BIPIUR,A38UUB83BIPIUR,19792,19792,14.28,9.41,2024/4/16,2024/4/16,22:50:13,22:50:34,100,32FESTC2O0A4AULZDG9GQPMSV1NCUI,32FESTC2O0A4AULZDG9GQPMSV1NCUI,FALSE,FALSE
498821,498821,Oenothera_flava,Oenothera_flava,9093667,9094090,323702,323702,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_flava/images/Oenothera_flava.498821.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_flava/images/Oenothera_flava.498821.jpg,0,0,1,1,0,0,FALSE,TRUE,3,3,1,8,A38UUB83BIPIUR,A38UUB83BIPIUR,19792,19792,10.91,10.78,2024/4/16,2024/4/16,22:52:37,22:53:50,100,32FESTC2O0A4AULZDG9GQPMSV1NCUI,32FESTC2O0A4AULZDG9GQPMSV1NCUI,FALSE,FALSE
30093768,30093768,Oenothera_flava,Oenothera_flava,9094546,9095046,323880,323880,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_flava/images/Oenothera_flava.30093768.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_flava/images/Oenothera_flava.30093768.jpg,0,0,1,1,0,0,FALSE,TRUE,4,4,2,9,A38UUB83BIPIUR,A38UUB83BIPIUR,19792,19792,19.15,15.5,2024/4/16,2024/4/16,22:55:23,22:56:54,100,32FESTC2O0A4AULZDG9GQPMSV1NCUI,32FESTC2O0A4AULZDG9GQPMSV1NCUI,FALSE,FALSE
25329587,25329587,Oenothera_flava,Oenothera_flava,9097167,9097478,323867,323867,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_flava/images/Oenothera_flava.25329587.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_flava/images/Oenothera_flava.25329587.jpg,0,0,1,1,0,0,FALSE,TRUE,1,1,2,7,A38UUB83BIPIUR,A38UUB83BIPIUR,19792,19792,9.2,11.53,2024/4/16,2024/4/16,23:03:30,23:04:26,100,32FESTC2O0A4AULZDG9GQPMSV1NCUI,32FESTC2O0A4AULZDG9GQPMSV1NCUI,FALSE,FALSE
