coreID1,coreID2,species1,species2,annotation-ID1,annotation-ID2,image-ID1,image-ID2,image-URL1,image-URL2,bud1,bud2,flower1,flower2,fruit1,fruit2,is-duplicated1,is-duplicated2,setNum1,setNum2,sequence1,sequence2,username1,username2,user-ID1,user-ID2,time-spent1 (seconds),time-spent2 (seconds),date1,date2,time1,time2,dejavu-score (%),hit-id1,hit-id2,is-test1,is-test2
24688178,24688178,Oenothera_howardii,Oenothera_howardii,9046512,9046965,323927,323927,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_howardii/images/Oenothera_howardii.24688178.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_howardii/images/Oenothera_howardii.24688178.jpg,0,0,3,3,0,0,FALSE,TRUE,1,1,2,4,A37GR0H4FC84HY,A37GR0H4FC84HY,22320,22320,102.57,19.96,2024/4/16,2024/4/16,19:54:05,19:55:02,100,3L1EFR8WXCPDTEH6674Q2ZKHFT5F95,3L1EFR8WXCPDTEH6674Q2ZKHFT5F95,FALSE,FALSE
13816399,13816399,Oenothera_howardii,Oenothera_howardii,9053523,9053930,323918,323918,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_howardii/images/Oenothera_howardii.13816399.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_howardii/images/Oenothera_howardii.13816399.jpg,1,1,2,2,0,0,FALSE,TRUE,1,1,3,6,A1QRN1WYHTNNY0,A1QRN1WYHTNNY0,22602,22602,44.82,26.41,2024/4/16,2024/4/16,20:20:22,20:22:29,100,3L1EFR8WXCPDTEH6674Q2ZKHFT5F95,3L1EFR8WXCPDTEH6674Q2ZKHFT5F95,FALSE,FALSE
13815234,13815234,Oenothera_howardii,Oenothera_howardii,9057212,9058051,323908,323908,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_howardii/images/Oenothera_howardii.13815234.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_howardii/images/Oenothera_howardii.13815234.jpg,0,0,3,3,0,0,FALSE,TRUE,1,1,2,9,A2XVFL6QU6HY11,A2XVFL6QU6HY11,19427,19427,10.31,16.88,2024/4/16,2024/4/16,20:40:43,20:43:06,100,3L1EFR8WXCPDTEH6674Q2ZKHFT5F95,3L1EFR8WXCPDTEH6674Q2ZKHFT5F95,FALSE,FALSE
498848,498848,Oenothera_howardii,Oenothera_howardii,9060224,9060679,323889,323889,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_howardii/images/Oenothera_howardii.498848.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_howardii/images/Oenothera_howardii.498848.jpg,0,0,2,2,0,0,FALSE,TRUE,1,1,3,8,A3EPXUXQW7T8BL,A3EPXUXQW7T8BL,18918,18918,11.45,8.8,2024/4/16,2024/4/16,20:48:56,20:49:57,100,3L1EFR8WXCPDTEH6674Q2ZKHFT5F95,3L1EFR8WXCPDTEH6674Q2ZKHFT5F95,FALSE,FALSE
498845,498845,Oenothera_howardii,Oenothera_howardii,9061379,9061615,323886,323886,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_howardii/images/Oenothera_howardii.498845.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_howardii/images/Oenothera_howardii.498845.jpg,0,0,2,2,0,0,FALSE,TRUE,2,2,5,9,A3EPXUXQW7T8BL,A3EPXUXQW7T8BL,18918,18918,17.69,9.08,2024/4/16,2024/4/16,20:51:48,20:52:32,100,3L1EFR8WXCPDTEH6674Q2ZKHFT5F95,3L1EFR8WXCPDTEH6674Q2ZKHFT5F95,FALSE,FALSE
13294728,13294728,Oenothera_howardii,Oenothera_howardii,9062178,9062303,323906,323906,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_howardii/images/Oenothera_howardii.13294728.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_howardii/images/Oenothera_howardii.13294728.jpg,0,0,2,2,0,0,FALSE,TRUE,3,3,4,7,A3EPXUXQW7T8BL,A3EPXUXQW7T8BL,18918,18918,21.16,8.42,2024/4/16,2024/4/16,20:54:15,20:54:46,100,3L1EFR8WXCPDTEH6674Q2ZKHFT5F95,3L1EFR8WXCPDTEH6674Q2ZKHFT5F95,FALSE,FALSE
24688178,24688178,Oenothera_howardii,Oenothera_howardii,9062926,9063223,323927,323927,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_howardii/images/Oenothera_howardii.24688178.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_howardii/images/Oenothera_howardii.24688178.jpg,0,0,3,3,0,0,FALSE,TRUE,4,4,6,8,A3EPXUXQW7T8BL,A3EPXUXQW7T8BL,18918,18918,7.3,31.53,2024/4/16,2024/4/16,20:56:39,20:57:31,100,3L1EFR8WXCPDTEH6674Q2ZKHFT5F95,3L1EFR8WXCPDTEH6674Q2ZKHFT5F95,FALSE,FALSE
27847132,27847132,Oenothera_howardii,Oenothera_howardii,9063451,9063996,323933,323933,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_howardii/images/Oenothera_howardii.27847132.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_howardii/images/Oenothera_howardii.27847132.jpg,0,0,3,2,0,1,FALSE,TRUE,5,5,1,10,A3EPXUXQW7T8BL,A3EPXUXQW7T8BL,18918,18918,12.06,14.57,2024/4/16,2024/4/16,20:58:19,21:00:13,67,3L1EFR8WXCPDTEH6674Q2ZKHFT5F95,3L1EFR8WXCPDTEH6674Q2ZKHFT5F95,FALSE,FALSE
13816587,13816587,Oenothera_howardii,Oenothera_howardii,9073663,9073778,323919,323919,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_howardii/images/Oenothera_howardii.13816587.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_howardii/images/Oenothera_howardii.13816587.jpg,0,0,1,1,0,0,FALSE,TRUE,1,1,5,8,A31UH0A9NEL2XF,A31UH0A9NEL2XF,20842,20842,5.51,5.6,2024/4/16,2024/4/16,21:43:23,21:43:47,100,3L1EFR8WXCPDTEH6674Q2ZKHFT5F95,3L1EFR8WXCPDTEH6674Q2ZKHFT5F95,FALSE,FALSE
13294731,13294731,Oenothera_howardii,Oenothera_howardii,9079460,9079657,323907,323907,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_howardii/images/Oenothera_howardii.13294731.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_howardii/images/Oenothera_howardii.13294731.jpg,0,0,3,3,0,0,FALSE,TRUE,1,1,3,6,A1SI3YIH8M6FDH,A1SI3YIH8M6FDH,20609,20609,11.28,9.18,2024/4/16,2024/4/16,22:07:35,22:08:25,100,3L1EFR8WXCPDTEH6674Q2ZKHFT5F95,3L1EFR8WXCPDTEH6674Q2ZKHFT5F95,FALSE,FALSE
521631,521631,Oenothera_howardii,Oenothera_howardii,9081808,9082251,323895,323895,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_howardii/images/Oenothera_howardii.521631.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_howardii/images/Oenothera_howardii.521631.jpg,0,0,1,0,0,0,FALSE,TRUE,1,1,4,9,A3L1IIBIKBL107,A3L1IIBIKBL107,19704,19704,6.54,6.82,2024/4/16,2024/4/16,22:17:30,22:19:11,0,3L1EFR8WXCPDTEH6674Q2ZKHFT5F95,3L1EFR8WXCPDTEH6674Q2ZKHFT5F95,FALSE,FALSE
24688380,24688380,Oenothera_howardii,Oenothera_howardii,9084460,9084700,323928,323928,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_howardii/images/Oenothera_howardii.24688380.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Oenothera_howardii/images/Oenothera_howardii.24688380.jpg,0,0,1,1,0,0,FALSE,TRUE,1,1,4,8,A7ZR241IXPKLP,A7ZR241IXPKLP,20286,20286,5.37,8.88,2024/4/16,2024/4/16,22:27:11,22:27:59,100,3L1EFR8WXCPDTEH6674Q2ZKHFT5F95,3L1EFR8WXCPDTEH6674Q2ZKHFT5F95,FALSE,FALSE
