coreID1,coreID2,species1,species2,annotation-ID1,annotation-ID2,image-ID1,image-ID2,image-URL1,image-URL2,bud1,bud2,flower1,flower2,fruit1,fruit2,is-duplicated1,is-duplicated2,setNum1,setNum2,sequence1,sequence2,username1,username2,user-ID1,user-ID2,time-spent1 (seconds),time-spent2 (seconds),date1,date2,time1,time2,dejavu-score (%),hit-id1,hit-id2,is-test1,is-test2
24775746,24775746,Opuntia_phaeacantha,Opuntia_phaeacantha,9040160,9040840,324112,324112,https://crowdcurio-experiment-images.s3.amazonaws.com/Opuntia_phaeacantha/images/Opuntia_phaeacantha.24775746.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Opuntia_phaeacantha/images/Opuntia_phaeacantha.24775746.jpg,1,1,0,0,0,0,FALSE,TRUE,1,1,5,10,ATP957KDVSIFX,ATP957KDVSIFX,19546,19546,11.33,13.66,2024/4/16,2024/4/16,19:41:04,19:42:23,100,3GVPRXWRQ0ETPMV3SICRR0630V97IC,3GVPRXWRQ0ETPMV3SICRR0630V97IC,FALSE,FALSE
4850611,4850611,Opuntia_phaeacantha,Opuntia_phaeacantha,9041355,9042830,324094,324094,https://crowdcurio-experiment-images.s3.amazonaws.com/Opuntia_phaeacantha/images/Opuntia_phaeacantha.4850611.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Opuntia_phaeacantha/images/Opuntia_phaeacantha.4850611.jpg,0,0,0,0,2,3,FALSE,TRUE,2,2,2,8,ATP957KDVSIFX,ATP957KDVSIFX,19546,19546,16.76,18.77,2024/4/16,2024/4/16,19:43:20,19:45:46,80,3GVPRXWRQ0ETPMV3SICRR0630V97IC,3GVPRXWRQ0ETPMV3SICRR0630V97IC,FALSE,FALSE
4727393,4727393,Opuntia_phaeacantha,Opuntia_phaeacantha,9044535,9045181,324089,324089,https://crowdcurio-experiment-images.s3.amazonaws.com/Opuntia_phaeacantha/images/Opuntia_phaeacantha.4727393.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Opuntia_phaeacantha/images/Opuntia_phaeacantha.4727393.jpg,0,0,0,0,1,1,FALSE,TRUE,3,3,7,10,ATP957KDVSIFX,ATP957KDVSIFX,19546,19546,12.98,12.34,2024/4/16,2024/4/16,19:49:48,19:51:14,100,3GVPRXWRQ0ETPMV3SICRR0630V97IC,3GVPRXWRQ0ETPMV3SICRR0630V97IC,FALSE,FALSE
3105883,3105883,Opuntia_phaeacantha,Opuntia_phaeacantha,9046047,9046762,324075,324075,https://crowdcurio-experiment-images.s3.amazonaws.com/Opuntia_phaeacantha/images/Opuntia_phaeacantha.3105883.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Opuntia_phaeacantha/images/Opuntia_phaeacantha.3105883.jpg,0,0,2,2,0,0,FALSE,TRUE,1,1,2,7,A125AOX978LDG7,A125AOX978LDG7,978,978,11.29,6.09,2024/4/16,2024/4/16,19:53:13,19:54:37,100,3GVPRXWRQ0ETPMV3SICRR0630V97IC,3GVPRXWRQ0ETPMV3SICRR0630V97IC,FALSE,FALSE
1397009,1397009,Opuntia_phaeacantha,Opuntia_phaeacantha,9047909,9048288,324065,324065,https://crowdcurio-experiment-images.s3.amazonaws.com/Opuntia_phaeacantha/images/Opuntia_phaeacantha.1397009.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Opuntia_phaeacantha/images/Opuntia_phaeacantha.1397009.jpg,4,2,6,3,0,0,FALSE,TRUE,4,1,4,4,ATP957KDVSIFX,ATP957KDVSIFX,19546,19546,23.05,20.36,2024/4/16,2024/4/16,19:57:05,19:57:55,67,3GVPRXWRQ0ETPMV3SICRR0630V97IC,3GVPRXWRQ0ETPMV3SICRR0630V97IC,FALSE,FALSE
1315507,1315507,Opuntia_phaeacantha,Opuntia_phaeacantha,9068706,9069175,324057,324057,https://crowdcurio-experiment-images.s3.amazonaws.com/Opuntia_phaeacantha/images/Opuntia_phaeacantha.1315507.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Opuntia_phaeacantha/images/Opuntia_phaeacantha.1315507.jpg,0,0,0,0,4,4,FALSE,TRUE,1,1,2,7,AIKRB1U3EGMQR,AIKRB1U3EGMQR,22321,22321,15.1,13,2024/4/16,2024/4/16,21:22:11,21:24:21,100,3GVPRXWRQ0ETPMV3SICRR0630V97IC,3GVPRXWRQ0ETPMV3SICRR0630V97IC,FALSE,FALSE
1310691,1310691,Opuntia_phaeacantha,Opuntia_phaeacantha,9070162,9070369,324049,324049,https://crowdcurio-experiment-images.s3.amazonaws.com/Opuntia_phaeacantha/images/Opuntia_phaeacantha.1310691.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Opuntia_phaeacantha/images/Opuntia_phaeacantha.1310691.jpg,0,0,4,2,0,0,FALSE,TRUE,1,1,6,10,A31UH0A9NEL2XF,A31UH0A9NEL2XF,20842,20842,13.51,7.85,2024/4/16,2024/4/16,21:28:33,21:29:21,67,3GVPRXWRQ0ETPMV3SICRR0630V97IC,3GVPRXWRQ0ETPMV3SICRR0630V97IC,FALSE,FALSE
1309820,1309820,Opuntia_phaeacantha,Opuntia_phaeacantha,9071008,9071296,324045,324045,https://crowdcurio-experiment-images.s3.amazonaws.com/Opuntia_phaeacantha/images/Opuntia_phaeacantha.1309820.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Opuntia_phaeacantha/images/Opuntia_phaeacantha.1309820.jpg,0,0,0,0,2,2,FALSE,TRUE,2,2,8,10,AIKRB1U3EGMQR,AIKRB1U3EGMQR,22321,22321,15.12,11.4,2024/4/16,2024/4/16,21:31:53,21:32:50,100,3GVPRXWRQ0ETPMV3SICRR0630V97IC,3GVPRXWRQ0ETPMV3SICRR0630V97IC,FALSE,FALSE
21990518,21990518,Opuntia_phaeacantha,Opuntia_phaeacantha,9071515,9072205,324108,324108,https://crowdcurio-experiment-images.s3.amazonaws.com/Opuntia_phaeacantha/images/Opuntia_phaeacantha.21990518.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Opuntia_phaeacantha/images/Opuntia_phaeacantha.21990518.jpg,0,0,3,3,0,0,FALSE,TRUE,3,3,2,9,AIKRB1U3EGMQR,AIKRB1U3EGMQR,22321,22321,22.71,19.31,2024/4/16,2024/4/16,21:33:43,21:36:46,100,3GVPRXWRQ0ETPMV3SICRR0630V97IC,3GVPRXWRQ0ETPMV3SICRR0630V97IC,FALSE,FALSE
13846544,13846544,Opuntia_phaeacantha,Opuntia_phaeacantha,9073296,9073666,324100,324100,https://crowdcurio-experiment-images.s3.amazonaws.com/Opuntia_phaeacantha/images/Opuntia_phaeacantha.13846544.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Opuntia_phaeacantha/images/Opuntia_phaeacantha.13846544.jpg,0,0,0,0,0,0,FALSE,TRUE,4,4,6,10,AIKRB1U3EGMQR,AIKRB1U3EGMQR,22321,22321,15.49,21.41,2024/4/16,2024/4/16,21:41:51,21:43:24,100,3GVPRXWRQ0ETPMV3SICRR0630V97IC,3GVPRXWRQ0ETPMV3SICRR0630V97IC,FALSE,FALSE
