coreID1,coreID2,species1,species2,annotation-ID1,annotation-ID2,image-ID1,image-ID2,image-URL1,image-URL2,bud1,bud2,flower1,flower2,fruit1,fruit2,is-duplicated1,is-duplicated2,setNum1,setNum2,sequence1,sequence2,username1,username2,user-ID1,user-ID2,time-spent1 (seconds),time-spent2 (seconds),date1,date2,time1,time2,dejavu-score (%),hit-id1,hit-id2,is-test1,is-test2
30508165,30508165,Orobanche_fasciculata,Orobanche_fasciculata,9041784,9042212,324510,324510,https://crowdcurio-experiment-images.s3.amazonaws.com/Orobanche_fasciculata/images/Orobanche_fasciculata.30508165.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Orobanche_fasciculata/images/Orobanche_fasciculata.30508165.jpg,9,7,0,9,0,0,FALSE,TRUE,1,1,3,5,ABPGLXNWXQ9V4,ABPGLXNWXQ9V4,21942,21942,14.97,31.09,2024/4/16,2024/4/16,19:44:01,19:44:47,56,3FO95NVK6VKS1JIE684B0J3QA54SRN,3FO95NVK6VKS1JIE684B0J3QA54SRN,FALSE,FALSE
27161951,27161951,Orobanche_fasciculata,Orobanche_fasciculata,9038253,9042631,324502,324502,https://crowdcurio-experiment-images.s3.amazonaws.com/Orobanche_fasciculata/images/Orobanche_fasciculata.27161951.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Orobanche_fasciculata/images/Orobanche_fasciculata.27161951.jpg,4,5,9,9,1,0,FALSE,TRUE,1,1,2,9,A37GR0H4FC84HY,A37GR0H4FC84HY,22320,22320,62.42,49.43,2024/4/16,2024/4/16,19:37:07,19:45:24,93,3FO95NVK6VKS1JIE684B0J3QA54SRN,3FO95NVK6VKS1JIE684B0J3QA54SRN,FALSE,FALSE
27161900,27161900,Orobanche_fasciculata,Orobanche_fasciculata,9050901,9051341,324484,324484,https://crowdcurio-experiment-images.s3.amazonaws.com/Orobanche_fasciculata/images/Orobanche_fasciculata.27161900.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Orobanche_fasciculata/images/Orobanche_fasciculata.27161900.jpg,0,0,5,10,0,6,FALSE,TRUE,1,1,8,10,A24LKC3LQ8ZOLY,A24LKC3LQ8ZOLY,13390,13390,12.11,46.53,2024/4/16,2024/4/16,20:08:20,20:09:49,48,3FO95NVK6VKS1JIE684B0J3QA54SRN,3FO95NVK6VKS1JIE684B0J3QA54SRN,FALSE,FALSE
24459503,24459503,Orobanche_fasciculata,Orobanche_fasciculata,9050524,9051231,324474,324474,https://crowdcurio-experiment-images.s3.amazonaws.com/Orobanche_fasciculata/images/Orobanche_fasciculata.24459503.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Orobanche_fasciculata/images/Orobanche_fasciculata.24459503.jpg,0,0,6,12,0,0,FALSE,TRUE,1,1,3,10,A2XVFL6QU6HY11,A2XVFL6QU6HY11,19427,19427,24.18,17.63,2024/4/16,2024/4/16,20:06:46,20:09:24,67,3FO95NVK6VKS1JIE684B0J3QA54SRN,3FO95NVK6VKS1JIE684B0J3QA54SRN,FALSE,FALSE
5322708,5322708,Orobanche_fasciculata,Orobanche_fasciculata,9056596,9057252,324443,324443,https://crowdcurio-experiment-images.s3.amazonaws.com/Orobanche_fasciculata/images/Orobanche_fasciculata.5322708.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Orobanche_fasciculata/images/Orobanche_fasciculata.5322708.jpg,0,0,10,12,0,0,FALSE,TRUE,1,1,1,4,A3E2MJ4Y4M1HPD,A3E2MJ4Y4M1HPD,22581,22581,149.15,28.21,2024/4/16,2024/4/16,20:38:00,20:40:50,91,3FO95NVK6VKS1JIE684B0J3QA54SRN,3FO95NVK6VKS1JIE684B0J3QA54SRN,FALSE,FALSE
4733242,4733242,Orobanche_fasciculata,Orobanche_fasciculata,9056800,9057864,324427,324427,https://crowdcurio-experiment-images.s3.amazonaws.com/Orobanche_fasciculata/images/Orobanche_fasciculata.4733242.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Orobanche_fasciculata/images/Orobanche_fasciculata.4733242.jpg,0,0,12,12,1,1,FALSE,TRUE,1,1,1,9,A1MBXSGIU0THL6,A1MBXSGIU0THL6,22555,22555,27.89,20.22,2024/4/16,2024/4/16,20:39:16,20:42:38,100,3FO95NVK6VKS1JIE684B0J3QA54SRN,3FO95NVK6VKS1JIE684B0J3QA54SRN,FALSE,FALSE
8466933,8466933,Orobanche_fasciculata,Orobanche_fasciculata,9058024,9058518,324447,324447,https://crowdcurio-experiment-images.s3.amazonaws.com/Orobanche_fasciculata/images/Orobanche_fasciculata.8466933.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Orobanche_fasciculata/images/Orobanche_fasciculata.8466933.jpg,0,0,1,1,0,0,FALSE,TRUE,1,1,6,8,A3NMD1F4A5H4XO,A3NMD1F4A5H4XO,18968,18968,5.67,45.9,2024/4/16,2024/4/16,20:43:04,20:44:16,100,3FO95NVK6VKS1JIE684B0J3QA54SRN,3FO95NVK6VKS1JIE684B0J3QA54SRN,FALSE,FALSE
4724153,4724153,Orobanche_fasciculata,Orobanche_fasciculata,9059351,9059724,324419,324419,https://crowdcurio-experiment-images.s3.amazonaws.com/Orobanche_fasciculata/images/Orobanche_fasciculata.4724153.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Orobanche_fasciculata/images/Orobanche_fasciculata.4724153.jpg,3,4,4,6,0,0,FALSE,TRUE,2,2,7,9,A1MBXSGIU0THL6,A1MBXSGIU0THL6,22555,22555,18.89,15.84,2024/4/16,2024/4/16,20:46:22,20:47:33,83,3FO95NVK6VKS1JIE684B0J3QA54SRN,3FO95NVK6VKS1JIE684B0J3QA54SRN,FALSE,FALSE
4709312,4709312,Orobanche_fasciculata,Orobanche_fasciculata,9060412,9060612,324417,324417,https://crowdcurio-experiment-images.s3.amazonaws.com/Orobanche_fasciculata/images/Orobanche_fasciculata.4709312.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Orobanche_fasciculata/images/Orobanche_fasciculata.4709312.jpg,0,0,1,4,0,0,FALSE,TRUE,1,1,6,9,A3NMD1F4A5H4XO,A3NMD1F4A5H4XO,18968,18968,8.8,11.73,2024/4/16,2024/4/16,20:49:22,20:49:49,40,3FO95NVK6VKS1JIE684B0J3QA54SRN,3FO95NVK6VKS1JIE684B0J3QA54SRN,FALSE,FALSE
4570684,4570684,Orobanche_fasciculata,Orobanche_fasciculata,9063347,9064114,324404,324404,https://crowdcurio-experiment-images.s3.amazonaws.com/Orobanche_fasciculata/images/Orobanche_fasciculata.4570684.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Orobanche_fasciculata/images/Orobanche_fasciculata.4570684.jpg,0,0,25,27,4,5,FALSE,TRUE,2,2,8,10,A3E2MJ4Y4M1HPD,A3E2MJ4Y4M1HPD,22581,22581,58.39,122.86,2024/4/16,2024/4/16,20:57:57,21:00:38,96,3FO95NVK6VKS1JIE684B0J3QA54SRN,3FO95NVK6VKS1JIE684B0J3QA54SRN,FALSE,FALSE
