coreID,species,annotation-ID,image-ID,image-URL,bud,flower,fruit,is-duplicated,set-number,sequence,username,user-ID,time-spent (seconds),date,time,hit-id,is-test
28903216,Orobanche_uniflora,9038800,324611,https://crowdcurio-experiment-images.s3.amazonaws.com/Orobanche_uniflora/images/Orobanche_uniflora.28903216.jpg,1,17,0,FALSE,1,1,A1JKXT5WHRAPVJ,22068,70.96,2024/4/16,19:38:09,3IH9TRB0GUJFE0G132VIQQFQX99I1Q,FALSE
14820880,Orobanche_uniflora,9038889,324596,https://crowdcurio-experiment-images.s3.amazonaws.com/Orobanche_uniflora/images/Orobanche_uniflora.14820880.jpg,0,20,0,FALSE,1,1,ADWPNK84KYXXU,21098,47.63,2024/4/16,19:38:17,3IH9TRB0GUJFE0G132VIQQFQX99I1Q,FALSE
16600665,Orobanche_uniflora,9039023,324598,https://crowdcurio-experiment-images.s3.amazonaws.com/Orobanche_uniflora/images/Orobanche_uniflora.16600665.jpg,2,2,0,FALSE,1,2,ADWPNK84KYXXU,21098,15.08,2024/4/16,19:38:36,3IH9TRB0GUJFE0G132VIQQFQX99I1Q,FALSE
27161961,Orobanche_uniflora,9039254,324603,https://crowdcurio-experiment-images.s3.amazonaws.com/Orobanche_uniflora/images/Orobanche_uniflora.27161961.jpg,3,5,1,FALSE,1,2,A1JKXT5WHRAPVJ,22068,49.69,2024/4/16,19:39:03,3IH9TRB0GUJFE0G132VIQQFQX99I1Q,FALSE
27161958,Orobanche_uniflora,9039376,324601,https://crowdcurio-experiment-images.s3.amazonaws.com/Orobanche_uniflora/images/Orobanche_uniflora.27161958.jpg,2,7,0,FALSE,1,3,ADWPNK84KYXXU,21098,37.24,2024/4/16,19:39:17,3IH9TRB0GUJFE0G132VIQQFQX99I1Q,FALSE
27161962,Orobanche_uniflora,9039718,324604,https://crowdcurio-experiment-images.s3.amazonaws.com/Orobanche_uniflora/images/Orobanche_uniflora.27161962.jpg,2,9,1,FALSE,1,3,A1JKXT5WHRAPVJ,22068,53.54,2024/4/16,19:39:59,3IH9TRB0GUJFE0G132VIQQFQX99I1Q,FALSE
20607022,Orobanche_uniflora,9039666,324599,https://crowdcurio-experiment-images.s3.amazonaws.com/Orobanche_uniflora/images/Orobanche_uniflora.20607022.jpg,1,6,0,FALSE,1,4,ADWPNK84KYXXU,21098,33.11,2024/4/16,19:39:54,3IH9TRB0GUJFE0G132VIQQFQX99I1Q,FALSE
27161960,Orobanche_uniflora,9040251,324602,https://crowdcurio-experiment-images.s3.amazonaws.com/Orobanche_uniflora/images/Orobanche_uniflora.27161960.jpg,3,4,2,FALSE,1,5,ADWPNK84KYXXU,21098,79.13,2024/4/16,19:41:15,3IH9TRB0GUJFE0G132VIQQFQX99I1Q,FALSE
27161969,Orobanche_uniflora,9040311,324607,https://crowdcurio-experiment-images.s3.amazonaws.com/Orobanche_uniflora/images/Orobanche_uniflora.27161969.jpg,0,10,1,FALSE,1,4,A1JKXT5WHRAPVJ,22068,79.2,2024/4/16,19:41:21,3IH9TRB0GUJFE0G132VIQQFQX99I1Q,FALSE
14837275,Orobanche_uniflora,9040410,324597,https://crowdcurio-experiment-images.s3.amazonaws.com/Orobanche_uniflora/images/Orobanche_uniflora.14837275.jpg,0,3,0,FALSE,1,6,ADWPNK84KYXXU,21098,12.98,2024/4/16,19:41:31,3IH9TRB0GUJFE0G132VIQQFQX99I1Q,FALSE
20607022,Orobanche_uniflora,9040645,324599,https://crowdcurio-experiment-images.s3.amazonaws.com/Orobanche_uniflora/images/Orobanche_uniflora.20607022.jpg,1,6,0,TRUE,1,7,ADWPNK84KYXXU,21098,27.08,2024/4/16,19:41:59,3IH9TRB0GUJFE0G132VIQQFQX99I1Q,FALSE
27161967,Orobanche_uniflora,9040845,324606,https://crowdcurio-experiment-images.s3.amazonaws.com/Orobanche_uniflora/images/Orobanche_uniflora.27161967.jpg,3,10,0,FALSE,1,5,A1JKXT5WHRAPVJ,22068,59.74,2024/4/16,19:42:24,3IH9TRB0GUJFE0G132VIQQFQX99I1Q,FALSE
20607325,Orobanche_uniflora,9040835,324600,https://crowdcurio-experiment-images.s3.amazonaws.com/Orobanche_uniflora/images/Orobanche_uniflora.20607325.jpg,0,4,0,FALSE,1,8,ADWPNK84KYXXU,21098,20.23,2024/4/16,19:42:23,3IH9TRB0GUJFE0G132VIQQFQX99I1Q,FALSE
27203703,Orobanche_uniflora,9041184,324609,https://crowdcurio-experiment-images.s3.amazonaws.com/Orobanche_uniflora/images/Orobanche_uniflora.27203703.jpg,1,14,0,FALSE,1,6,A1JKXT5WHRAPVJ,22068,35.05,2024/4/16,19:43:02,3IH9TRB0GUJFE0G132VIQQFQX99I1Q,FALSE
14293636,Orobanche_uniflora,9041084,324594,https://crowdcurio-experiment-images.s3.amazonaws.com/Orobanche_uniflora/images/Orobanche_uniflora.14293636.jpg,0,4,0,FALSE,1,9,ADWPNK84KYXXU,21098,24.99,2024/4/16,19:42:52,3IH9TRB0GUJFE0G132VIQQFQX99I1Q,FALSE
14688178,Orobanche_uniflora,9041226,324595,https://crowdcurio-experiment-images.s3.amazonaws.com/Orobanche_uniflora/images/Orobanche_uniflora.14688178.jpg,0,3,0,FALSE,1,10,ADWPNK84KYXXU,21098,11.59,2024/4/16,19:43:06,3IH9TRB0GUJFE0G132VIQQFQX99I1Q,FALSE
27163189,Orobanche_uniflora,9041504,324608,https://crowdcurio-experiment-images.s3.amazonaws.com/Orobanche_uniflora/images/Orobanche_uniflora.27163189.jpg,0,5,0,FALSE,1,7,A1JKXT5WHRAPVJ,22068,29.74,2024/4/16,19:43:35,3IH9TRB0GUJFE0G132VIQQFQX99I1Q,FALSE
13813836,Orobanche_uniflora,9041548,324590,https://crowdcurio-experiment-images.s3.amazonaws.com/Orobanche_uniflora/images/Orobanche_uniflora.13813836.jpg,0,1,0,FALSE,2,1,ADWPNK84KYXXU,21098,13.36,2024/4/16,19:43:40,3IH9TRB0GUJFE0G132VIQQFQX99I1Q,FALSE
27161969,Orobanche_uniflora,9041994,324607,https://crowdcurio-experiment-images.s3.amazonaws.com/Orobanche_uniflora/images/Orobanche_uniflora.27161969.jpg,2,9,1,TRUE,1,8,A1JKXT5WHRAPVJ,22068,44.74,2024/4/16,19:44:21,3IH9TRB0GUJFE0G132VIQQFQX99I1Q,FALSE
13813841,Orobanche_uniflora,9041865,324591,https://crowdcurio-experiment-images.s3.amazonaws.com/Orobanche_uniflora/images/Orobanche_uniflora.13813841.jpg,0,11,0,FALSE,2,2,ADWPNK84KYXXU,21098,24.27,2024/4/16,19:44:08,3IH9TRB0GUJFE0G132VIQQFQX99I1Q,FALSE
13814937,Orobanche_uniflora,9042366,324593,https://crowdcurio-experiment-images.s3.amazonaws.com/Orobanche_uniflora/images/Orobanche_uniflora.13814937.jpg,3,5,0,FALSE,2,3,ADWPNK84KYXXU,21098,44.7,2024/4/16,19:44:59,3IH9TRB0GUJFE0G132VIQQFQX99I1Q,FALSE
27161964,Orobanche_uniflora,9042396,324605,https://crowdcurio-experiment-images.s3.amazonaws.com/Orobanche_uniflora/images/Orobanche_uniflora.27161964.jpg,3,0,4,FALSE,1,9,A1JKXT5WHRAPVJ,22068,37.19,2024/4/16,19:45:02,3IH9TRB0GUJFE0G132VIQQFQX99I1Q,FALSE
13813831,Orobanche_uniflora,9042588,324585,https://crowdcurio-experiment-images.s3.amazonaws.com/Orobanche_uniflora/images/Orobanche_uniflora.13813831.jpg,0,4,0,FALSE,2,4,ADWPNK84KYXXU,21098,16.52,2024/4/16,19:45:19,3IH9TRB0GUJFE0G132VIQQFQX99I1Q,FALSE
27205792,Orobanche_uniflora,9042714,324610,https://crowdcurio-experiment-images.s3.amazonaws.com/Orobanche_uniflora/images/Orobanche_uniflora.27205792.jpg,3,7,0,FALSE,1,10,A1JKXT5WHRAPVJ,22068,28.53,2024/4/16,19:45:33,3IH9TRB0GUJFE0G132VIQQFQX99I1Q,FALSE
13813834,Orobanche_uniflora,9042810,324588,https://crowdcurio-experiment-images.s3.amazonaws.com/Orobanche_uniflora/images/Orobanche_uniflora.13813834.jpg,1,2,0,FALSE,2,5,ADWPNK84KYXXU,21098,21.41,2024/4/16,19:45:44,3IH9TRB0GUJFE0G132VIQQFQX99I1Q,FALSE
