coreID1,coreID2,species1,species2,annotation-ID1,annotation-ID2,image-ID1,image-ID2,image-URL1,image-URL2,bud1,bud2,flower1,flower2,fruit1,fruit2,is-duplicated1,is-duplicated2,setNum1,setNum2,sequence1,sequence2,username1,username2,user-ID1,user-ID2,time-spent1 (seconds),time-spent2 (seconds),date1,date2,time1,time2,dejavu-score (%),hit-id1,hit-id2,is-test1,is-test2
25300529,25300529,Parnassia_fimbriata,Parnassia_fimbriata,9044845,9045085,325443,325443,https://crowdcurio-experiment-images.s3.amazonaws.com/Parnassia_fimbriata/images/Parnassia_fimbriata.25300529.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Parnassia_fimbriata/images/Parnassia_fimbriata.25300529.jpg,0,0,2,2,0,1,FALSE,TRUE,1,1,6,9,ABPGLXNWXQ9V4,ABPGLXNWXQ9V4,21942,21942,7.06,12.28,2024/4/16,2024/4/16,19:50:30,19:51:01,80,3OKP4QVBQLHXCXN69XO8GFVDMQNAGE,3OKP4QVBQLHXCXN69XO8GFVDMQNAGE,FALSE,FALSE
24673017,24673017,Parnassia_fimbriata,Parnassia_fimbriata,9045966,9046309,325432,325432,https://crowdcurio-experiment-images.s3.amazonaws.com/Parnassia_fimbriata/images/Parnassia_fimbriata.24673017.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Parnassia_fimbriata/images/Parnassia_fimbriata.24673017.jpg,4,0,0,0,0,4,FALSE,TRUE,2,2,6,9,ABPGLXNWXQ9V4,ABPGLXNWXQ9V4,21942,21942,15.36,16.55,2024/4/16,2024/4/16,19:53:04,19:53:43,0,3OKP4QVBQLHXCXN69XO8GFVDMQNAGE,3OKP4QVBQLHXCXN69XO8GFVDMQNAGE,FALSE,FALSE
12967808,12967808,Parnassia_fimbriata,Parnassia_fimbriata,9092342,9092452,325367,325367,https://crowdcurio-experiment-images.s3.amazonaws.com/Parnassia_fimbriata/images/Parnassia_fimbriata.12967808.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Parnassia_fimbriata/images/Parnassia_fimbriata.12967808.jpg,0,0,0,0,1,1,FALSE,TRUE,1,1,3,6,AWBIFOUGSSLYA,AWBIFOUGSSLYA,19725,19725,5.39,5.59,2024/4/16,2024/4/16,22:48:34,22:48:56,100,3OKP4QVBQLHXCXN69XO8GFVDMQNAGE,3OKP4QVBQLHXCXN69XO8GFVDMQNAGE,FALSE,FALSE
4730884,4730884,Parnassia_fimbriata,Parnassia_fimbriata,9094873,9095139,325348,325348,https://crowdcurio-experiment-images.s3.amazonaws.com/Parnassia_fimbriata/images/Parnassia_fimbriata.4730884.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Parnassia_fimbriata/images/Parnassia_fimbriata.4730884.jpg,1,1,0,0,0,0,FALSE,TRUE,1,1,5,10,AWBIFOUGSSLYA,AWBIFOUGSSLYA,19725,19725,8.75,7.71,2024/4/16,2024/4/16,22:56:25,22:57:13,100,3OKP4QVBQLHXCXN69XO8GFVDMQNAGE,3OKP4QVBQLHXCXN69XO8GFVDMQNAGE,FALSE,FALSE
3230207,3230207,Parnassia_fimbriata,Parnassia_fimbriata,9095546,9095624,325327,325327,https://crowdcurio-experiment-images.s3.amazonaws.com/Parnassia_fimbriata/images/Parnassia_fimbriata.3230207.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Parnassia_fimbriata/images/Parnassia_fimbriata.3230207.jpg,0,0,0,0,4,3,FALSE,TRUE,1,1,6,8,A31UH0A9NEL2XF,A31UH0A9NEL2XF,20842,20842,9.84,10.7,2024/4/16,2024/4/16,22:58:34,22:58:59,86,3OKP4QVBQLHXCXN69XO8GFVDMQNAGE,3OKP4QVBQLHXCXN69XO8GFVDMQNAGE,FALSE,FALSE
3053963,3053963,Parnassia_fimbriata,Parnassia_fimbriata,9096317,9096426,325323,325323,https://crowdcurio-experiment-images.s3.amazonaws.com/Parnassia_fimbriata/images/Parnassia_fimbriata.3053963.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Parnassia_fimbriata/images/Parnassia_fimbriata.3053963.jpg,1,1,0,0,0,0,FALSE,TRUE,1,1,1,3,AWBIFOUGSSLYA,AWBIFOUGSSLYA,19725,19725,7.69,9.83,2024/4/16,2024/4/16,23:00:56,23:01:15,100,3OKP4QVBQLHXCXN69XO8GFVDMQNAGE,3OKP4QVBQLHXCXN69XO8GFVDMQNAGE,FALSE,FALSE
3043169,3043169,Parnassia_fimbriata,Parnassia_fimbriata,9097051,9097353,325313,325313,https://crowdcurio-experiment-images.s3.amazonaws.com/Parnassia_fimbriata/images/Parnassia_fimbriata.3043169.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Parnassia_fimbriata/images/Parnassia_fimbriata.3043169.jpg,1,1,0,0,0,0,FALSE,TRUE,2,2,2,8,AWBIFOUGSSLYA,AWBIFOUGSSLYA,19725,19725,6.84,7.42,2024/4/16,2024/4/16,23:03:08,23:04:04,100,3OKP4QVBQLHXCXN69XO8GFVDMQNAGE,3OKP4QVBQLHXCXN69XO8GFVDMQNAGE,FALSE,FALSE
2116871,2116871,Parnassia_fimbriata,Parnassia_fimbriata,9097781,9098120,325297,325297,https://crowdcurio-experiment-images.s3.amazonaws.com/Parnassia_fimbriata/images/Parnassia_fimbriata.2116871.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Parnassia_fimbriata/images/Parnassia_fimbriata.2116871.jpg,1,1,0,0,0,0,FALSE,TRUE,3,3,1,7,AWBIFOUGSSLYA,AWBIFOUGSSLYA,19725,19725,49.61,5.83,2024/4/16,2024/4/16,23:05:23,23:06:29,100,3OKP4QVBQLHXCXN69XO8GFVDMQNAGE,3OKP4QVBQLHXCXN69XO8GFVDMQNAGE,FALSE,FALSE
1684395,1684395,Parnassia_fimbriata,Parnassia_fimbriata,9099010,9099211,325289,325289,https://crowdcurio-experiment-images.s3.amazonaws.com/Parnassia_fimbriata/images/Parnassia_fimbriata.1684395.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Parnassia_fimbriata/images/Parnassia_fimbriata.1684395.jpg,1,1,0,0,0,0,FALSE,TRUE,4,4,6,9,AWBIFOUGSSLYA,AWBIFOUGSSLYA,19725,19725,54.65,5.53,2024/4/16,2024/4/16,23:09:18,23:09:46,100,3OKP4QVBQLHXCXN69XO8GFVDMQNAGE,3OKP4QVBQLHXCXN69XO8GFVDMQNAGE,FALSE,FALSE
1565114,1565114,Parnassia_fimbriata,Parnassia_fimbriata,9099713,9099825,325282,325282,https://crowdcurio-experiment-images.s3.amazonaws.com/Parnassia_fimbriata/images/Parnassia_fimbriata.1565114.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Parnassia_fimbriata/images/Parnassia_fimbriata.1565114.jpg,1,1,0,0,0,0,FALSE,TRUE,5,5,6,8,AWBIFOUGSSLYA,AWBIFOUGSSLYA,19725,19725,5.02,6.01,2024/4/16,2024/4/16,23:11:04,23:11:29,100,3OKP4QVBQLHXCXN69XO8GFVDMQNAGE,3OKP4QVBQLHXCXN69XO8GFVDMQNAGE,FALSE,FALSE
